,Gene,U,pval,adj_pvals
0,SBDS,469.5,0.9539623430462956,0.9953111336674877
1,CCNC,451.5,0.8512013349181744,0.9953111336674877
2,IL6ST,332.5,0.05677746453287848,0.9461776877327694
3,KRAS,460.5,0.9539830190934193,0.9953111336674877
4,MLLT6,420.0,0.5208223677299058,0.9915410123435804
5,STAG2,426.0,0.578533594192168,0.9915410123435804
6,CCND3,483.0,0.800626723140702,0.9947001880226342
7,BUB1B,583.0,0.09000851942597647,0.9461776877327694
8,TRRAP,414.5,0.47068222257934234,0.9915410123435804
9,CHIC2,507.5,0.5442441405128828,0.9915410123435804
10,ZRSR2,591.5,0.06907587337822552,0.9461776877327694
11,STRN,548.0,0.2339134403871671,0.9915410123435804
12,SMAD2,511.5,0.5068630515433326,0.9915410123435804
13,MED12,386.5,0.26046542752011315,0.9915410123435804
14,PBRM1,580.5,0.09710771005678423,0.9461776877327694
15,SET,562.5,0.16007578982805926,0.9915410123435804
16,MSI2,538.0,0.2942102328164078,0.9915410123435804
17,TFG,524.0,0.3985184061537347,0.9915410123435804
18,NBN,561.0,0.16821518578873174,0.9915410123435804
19,B2M,355.5,0.11467687660341276,0.96838251353993
20,PICALM,408.5,0.41760993858613904,0.9915410123435804
21,SDHAF2,531.0,0.34443855001085444,0.9915410123435804
22,DAXX,442.5,0.7508202617324511,0.9915410123435804
23,SDHD,451.0,0.8455005626991792,0.9953111336674877
24,PCM1,422.5,0.5443453999312647,0.9915410123435804
25,ETV6,383.0,0.23969920136926848,0.9915410123435804
26,PSIP1,478.5,0.8512207826564024,0.9953111336674877
27,DGCR8,599.5,0.05313368608048319,0.9461776877327694
28,MAP2K2,457.0,0.9138145803398944,0.9953111336674877
29,TMSB4X,465.0,1.0,1.0
30,ASPSCR1,439.0,0.7129235743928231,0.9915410123435804
31,BRD3,575.5,0.11250498319138456,0.96838251353993
32,FANCA,622.5,0.02348999888430292,0.8114726887304645
33,TFE3,514.0,0.4840391415362474,0.9915410123435804
34,RANBP2,445.5,0.7840032375386065,0.9930707675489014
35,TFPT,560.5,0.17036902721920777,0.9915410123435804
36,BLM,519.5,0.4359574307666144,0.9915410123435804
37,NUMA1,415.0,0.4748269952651789,0.9915410123435804
38,NDRG1,323.5,0.04170577254605892,0.9461776877327694
39,MAP2K1,533.5,0.3264915551677495,0.9915410123435804
40,NCKIPSD,599.5,0.05313997963196112,0.9461776877327694
41,NFKB2,395.0,0.31592070693946295,0.9915410123435804
42,CREB1,584.0,0.08733978349236914,0.9461776877327694
43,CIC,536.5,0.3026031181278491,0.9915410123435804
44,ZMYM3,390.0,0.2823251916835666,0.9915410123435804
45,NCOR2,416.0,0.4840969430795673,0.9915410123435804
46,SPOP,430.5,0.6237259035600335,0.9915410123435804
47,RFWD3,487.5,0.7507309313414176,0.9915410123435804
48,PML,492.0,0.7022421973933268,0.9915410123435804
49,ELK4,470.0,0.9481563239808191,0.9953111336674877
50,ZNF384,401.0,0.3594604241251642,0.9915410123435804
51,HIF1A,441.5,0.740034226409219,0.9915410123435804
52,EPS15,623.5,0.02262498828495604,0.8114726887304645
53,GPHN,517.0,0.45623391780751754,0.9915410123435804
54,RAC1,602.5,0.04808338142985103,0.9461776877327694
55,PHF6,432.5,0.6443352417035753,0.9915410123435804
56,TAF15,458.5,0.9308964852084186,0.9953111336674877
57,TBL1XR1,467.5,0.9769712774654216,0.9953111336674877
58,ABL2,334.0,0.059744458653038686,0.9461776877327694
59,RALGDS,450.5,0.8399150428572648,0.9953111336674877
60,DDB2,528.0,0.3672099602329173,0.9915410123435804
61,LATS1,385.5,0.25419625725471295,0.9915410123435804
62,BCR,472.5,0.9195538476121536,0.9953111336674877
63,CASP9,436.5,0.6862488387279715,0.9915410123435804
64,FLNA,433.0,0.6494828099032126,0.9915410123435804
65,GOLGA5,444.5,0.7727842348276915,0.9922904739257956
66,MET,498.0,0.6391525831390252,0.9915410123435804
67,POLQ,427.5,0.5934657502347428,0.9915410123435804
68,STAG1,452.5,0.8625466879370348,0.9953111336674877
69,TRIM24,500.0,0.6186731089485711,0.9915410123435804
70,SPEN,355.0,0.11402365543077056,0.96838251353993
71,KNSTRN,465.0,1.0,1.0
72,TCF12,485.0,0.7784598675307979,0.9930707675489014
73,BCL10,340.0,0.07246490221002454,0.9461776877327694
74,ATR,503.5,0.583546476479974,0.9915410123435804
75,NUP98,360.5,0.1334982626100075,0.9915410123435804
76,NTHL1,427.0,0.588429717824241,0.9915410123435804
77,NRAS,474.0,0.9024055750844743,0.9953111336674877
78,CALR,667.5,0.0035570222603560843,0.6493744603907524
79,CRTC1,529.0,0.35958116689973907,0.9915410123435804
80,PRPF40B,439.5,0.7183137395390478,0.9915410123435804
81,FANCC,436.0,0.6809440984675176,0.9915410123435804
82,ATRX,390.5,0.2857143600168156,0.9915410123435804
83,PMS2,576.0,0.11091362229832773,0.96838251353993
84,MAP2K4,640.0,0.01181084846244637,0.6493744603907524
85,FANCD2,505.5,0.5638955069285907,0.9915410123435804
86,FEN1,544.5,0.25439101199016123,0.9915410123435804
87,TPM3,533.0,0.330118834058335,0.9915410123435804
88,PPM1D,549.0,0.22831799618625448,0.9915410123435804
89,FLCN,579.0,0.10143833054771588,0.9636641402033009
90,RBM10,480.5,0.8286474391913877,0.9953111336674877
91,FH,562.0,0.16376520016238383,0.9915410123435804
92,XPO1,451.5,0.851174095268619,0.9953111336674877
93,ABI1,522.5,0.4108651676324131,0.9915410123435804
94,CDKN1B,457.0,0.913833879644731,0.9953111336674877
95,POLE,533.5,0.32659391004615845,0.9915410123435804
96,CTCF,562.0,0.1638320812406978,0.9915410123435804
97,MAPK1,436.0,0.68095207060121,0.9915410123435804
98,NIN,487.0,0.7563954961627126,0.9915410123435804
99,FANCG,488.5,0.7400209746687912,0.9915410123435804
100,CRNKL1,439.5,0.7182994727046621,0.9915410123435804
101,CREBBP,435.5,0.6756790759533089,0.9915410123435804
102,RAF1,484.0,0.7895464281512231,0.9934792717569512
103,KMT2A,281.0,0.008114910644136851,0.6493744603907524
104,BCL9L,437.0,0.6911812468094035,0.9915410123435804
105,ARID1A,497.5,0.6443221083225883,0.9915410123435804
106,MALT1,462.0,0.9712281405642222,0.9953111336674877
107,SF3B1,537.5,0.29890437683781834,0.9915410123435804
108,ERCC3,641.5,0.011112108808727143,0.6493744603907524
109,VHL,475.5,0.885288710274603,0.9953111336674877
110,NCOA4,535.5,0.3125349306576135,0.9915410123435804
111,BTG1,454.0,0.8789829718465377,0.9953111336674877
112,CASP8,508.0,0.5397893106202731,0.9915410123435804
113,BARD1,485.5,0.7729420533737776,0.9922904739257956
114,ARHGAP35,539.5,0.2857016201591164,0.9915410123435804
115,ACVR1B,472.0,0.925274645284882,0.9953111336674877
116,ERCC4,376.5,0.20424741800400303,0.9915410123435804
117,ACVR1,348.0,0.09276899455107897,0.9461776877327694
118,MYC,479.5,0.8399400988987641,0.9953111336674877
119,IDH2,488.5,0.7400309136639838,0.9915410123435804
120,MDM4,539.5,0.2856825091974715,0.9915410123435804
121,POLG,438.0,0.7018854552147821,0.9915410123435804
122,ATM,450.0,0.8343072932755606,0.9953111336674877
123,SKI,362.5,0.14111484707473793,0.9915410123435804
124,CDK4,555.5,0.19413347351154275,0.9915410123435804
125,AKAP9,474.0,0.9023863124592699,0.9953111336674877
126,PATZ1,503.0,0.5882223803390132,0.9915410123435804
127,RPL5,606.0,0.04266296295545456,0.9461776877327694
128,HLA-A,368.5,0.16564570303051585,0.9915410123435804
129,CNBP,345.5,0.0847850059847971,0.9461776877327694
130,BRCA2,505.0,0.5687884760776418,0.9915410123435804
131,SND1,372.0,0.18129438317692548,0.9915410123435804
132,GNA11,398.0,0.33734010981100604,0.9915410123435804
133,RAD51B,474.0,0.9024055750844743,0.9953111336674877
134,EWSR1,469.0,0.9597240531541111,0.9953111336674877
135,EED,438.5,0.7075328051812358,0.9915410123435804
136,XPC,410.5,0.43587854183268104,0.9915410123435804
137,JAK1,441.0,0.7345734681076301,0.9915410123435804
138,KTN1,489.5,0.7281460308783695,0.9915410123435804
139,CLP1,381.5,0.23102958284221242,0.9915410123435804
140,CNTRL,488.0,0.7454455210962052,0.9915410123435804
141,SDHB,548.0,0.2337154684317585,0.9915410123435804
142,CBFB,495.5,0.6651484764392495,0.9915410123435804
143,CDKN2C,455.5,0.8966810757151363,0.9953111336674877
144,SMC1A,517.5,0.4531435465062348,0.9915410123435804
145,STAT3,411.5,0.4444910526675949,0.9915410123435804
146,CTNNB1,469.5,0.9539830190934193,0.9953111336674877
147,RPL10,425.5,0.573127807236818,0.9915410123435804
148,USP9X,523.0,0.40677297133073853,0.9915410123435804
149,ZNRF3,432.5,0.6442388965159784,0.9915410123435804
150,DDX6,369.0,0.1681926773853728,0.9915410123435804
