,Edge,U,pval,adj_pvals
0,IL6ST;PIK3CA,358.5,0.12305924557933988,0.6749773212463364
1,IL6ST;STAT3,345.0,0.08325849880131167,0.655007317815334
2,IL6ST;PIK3CB,358.0,0.12167194235359091,0.6702445789995223
3,IL6ST;JAK1,357.5,0.11632431609094973,0.6636717676974722
4,IL6ST;PIK3R1,353.5,0.10641094820429349,0.660697558238849
5,IL6ST;PTPN11,342.5,0.07613211719761151,0.655007317815334
6,CCNC;CDK4,517.5,0.4509626776849869,0.8891511668658945
7,CCNC;MED12,549.5,0.22256035573764865,0.770818793042588
8,KRAS;MAPK1,440.5,0.7279370592921519,0.9690662101826772
9,KRAS;PTPN11,489.5,0.726976597007611,0.9690662101826772
10,KRAS;ARAF,484.0,0.7883378346707209,0.9754352813249036
11,KRAS;MAP2K1,472.0,0.9245558618836921,1.0
12,KRAS;PTEN,518.5,0.44231674280592803,0.8891511668658945
13,KRAS;LZTR1,468.5,0.9653932754344607,1.0
14,KRAS;ARHGEF12,477.5,0.8619854239278892,0.9953995367030615
15,KRAS;CTNNB1,461.0,0.9596112902625125,1.0
16,KRAS;ERBB2,443.0,0.7547855365497418,0.9740947900346469
17,KRAS;MYC,440.0,0.7227031074446901,0.9690662101826772
18,KRAS;HRAS,464.5,1.0,1.0
19,KRAS;MAP2K2,459.5,0.9419751552909056,1.0
20,KRAS;NF1,481.5,0.816436290813309,0.9837460702094359
21,KRAS;RALGDS,443.5,0.7607710543500348,0.9740947900346469
22,KRAS;BRAF,467.0,0.9825552974628298,1.0
23,KRAS;AKT1,455.5,0.8963753835175534,1.0
24,KRAS;NRAS,465.0,1.0,1.0
25,KRAS;PIK3R1,523.0,0.40394914839746854,0.8852481904116247
26,KRAS;EML4,457.0,0.9135281141022612,1.0
27,KRAS;MET,479.0,0.8442953477662725,0.989916930683758
28,KRAS;ARID1A,456.0,0.9021089554468499,1.0
29,KRAS;PIK3CA,518.0,0.4457397536569687,0.8891511668658945
30,KRAS;RAF1,519.0,0.433676044973198,0.8854791031230327
31,KRAS;SRC,448.5,0.8170479448656712,0.9837460702094359
32,KRAS;PIK3CB,518.0,0.4459286511643533,0.8891511668658945
33,MLLT6;MLLT1,454.5,0.8817929824683923,1.0
34,MLLT6;MLLT10,441.0,0.7332635840630504,0.9698280209369182
35,MLLT6;AFF1,463.5,0.9881904367354373,1.0
36,STAG2;RAD21,470.5,0.9395283499570012,1.0
37,STAG2;STAG1,425.0,0.46563211388636205,0.8962015685945343
38,STAG2;CTCF,379.5,0.21416367510263312,0.7663506440653208
39,STAG2;SMC1A,393.5,0.29699863585696595,0.8258285401714385
40,CCND3;CCND1,473.0,0.9130189741519015,1.0
41,CCND3;CDKN1B,503.5,0.581025813485444,0.9290078893093775
42,CCND3;CDK4,505.0,0.5627363542357818,0.9259747293186987
43,CCND3;CREBBP,503.5,0.5821310552060512,0.9290078893093775
44,CCND3;CDKN2C,522.0,0.4079953051676395,0.8852481904116247
45,CCND3;RB1,541.0,0.26905575028544393,0.80855543973885
46,CCND3;CDKN1A,521.0,0.4129554437697509,0.8852481904116247
47,BUB1B;TRIM33,526.0,0.3783678293801389,0.8728413103751219
48,BUB1B;BRCA2,494.5,0.6741315836334835,0.9518313170164585
49,BUB1B;JUN,521.0,0.41726805659129007,0.8852481904116247
50,BUB1B;BRCA1,479.0,0.8438803546332795,0.989916930683758
51,TRRAP;MAX,496.5,0.6482340297691058,0.9504280212745558
52,TRRAP;TFPT,465.0,1.0,1.0
53,TRRAP;MYC,524.0,0.39574775807369555,0.8852481904116247
54,TRRAP;CTNNB1,481.5,0.8169045763753987,0.9837460702094359
55,CHIC2;ETV6,545.5,0.24516287004535364,0.7934820502398534
56,ZRSR2;U2AF1,588.0,0.07673465365221857,0.655007317815334
57,ZRSR2;SF3B1,546.0,0.24450184799264119,0.7934820502398534
58,ZRSR2;SRSF2,554.0,0.20133633850012989,0.7567877664799
59,STRN;SRC,494.0,0.6802121129588053,0.9542382879927039
60,STRN;PPP2R1A,552.5,0.2084169456060323,0.7655616876035555
61,SMAD2;MAPK1,501.0,0.6066593297665686,0.9311907927453748
62,SMAD2;TRIM33,461.5,0.9653195177351852,1.0
63,SMAD2;SMAD3,502.5,0.5885124540765755,0.9307782899129892
64,SMAD2;ACVR1B,508.0,0.5377337053205377,0.9146396389853391
65,SMAD2;ACVR1,514.0,0.4815412427249408,0.8962409735849772
66,SMAD2;SKI,513.0,0.48984649984157325,0.8968822733488977
67,SMAD2;JUN,502.5,0.5909269433552933,0.9307782899129892
68,SMAD2;EP300,514.5,0.47653181674593825,0.8962409735849772
69,SMAD2;MYC,493.0,0.6892886007609312,0.9594428183296924
70,SMAD2;BMPR1A,487.0,0.7551126163591428,0.9740947900346469
71,SMAD2;CREBBP,493.0,0.6893399975029677,0.9594428183296924
