,Gene,U,pval,adj_pvals
0,INCENP,8818.0,0.11006526512875853,0.1345242129351493
1,PRIM1,9526.0,0.006294190661693136,0.009441285992539704
2,RFC3,9600.0,0.004363829807622683,0.007579283350081501
3,FBXO5,5760.0,0.0009698755347591452,0.0024619917420809073
4,CENPF,9527.0,0.0062636540813701515,0.009441285992539704
5,NUSAP1,9919.0,0.0007749317520075344,0.0022192429201338963
6,FANCI,8414.0,0.3417412553431025,0.38887798021801323
7,MCM4,7438.0,0.5411157623490658,0.5580256299224741
8,FANCB,10196.0,0.00014161844034452968,0.0011683521328423698
9,RAD51AP1,8365.0,0.38307900813325224,0.4213869089465775
10,BRIP1,10141.0,0.00020142728975693498,0.0013294201123957709
11,PRC1,10050.0,0.0003550152699571395,0.0014644379885732004
12,LIN54,6271.0,0.013118011931184911,0.01803726640537925
13,CCNA2,9496.0,0.007274902231280317,0.010437903201402194
14,BLM,8217.0,0.5253271628696848,0.5580256299224741
15,RNASEH2A,9721.0,0.002331296301429812,0.004525457526304929
16,SMC3,6670.0,0.06556452044821065,0.08654516699163806
17,RFC5,9699.0,0.002619557365983659,0.004802521837636709
18,CCNB2,9770.0,0.0017907063497782526,0.003939553969512156
19,NUF2,10254.0,9.689640138714341e-05,0.0010658604152585776
20,NDC80,9994.0,0.0004981677016705968,0.0016439534155129696
21,SPAG5,9842.0,0.0012026529094900788,0.002834824715226614
22,NCAPG,10081.0,0.0002933469689489739,0.0014352084840157746
23,KIF11,9568.0,0.005120903852425551,0.008449491356502158
24,ERCC4,10379.0,4.158847831072284e-05,0.0010658604152585776
25,POLE,9721.0,0.002331296301429812,0.004525457526304929
26,CENPJ,6776.0,0.09460554705932944,0.12007627126761045
27,MYBL2,8459.0,0.3063948036742359,0.36110816147320657
28,PLK1,10008.0,0.00045803911974786547,0.0016439534155129696
29,POLA2,10075.0,0.0003044381632760734,0.0014352084840157746
30,DSN1,9912.0,0.000806997425503235,0.0022192429201338963
31,ZWINT,10285.0,7.884171608352521e-05,0.0010658604152585776
32,KNTC1,8051.0,0.7119495772415529,0.7119495772415529
