,Edge,U,pval,adj_pvals
0,SPAG5;NCAPG,9064.0,0.0433509593767486,0.13371842772281942
1,SPAG5;KIF11,7454.0,0.5465220045785792,0.7856253815817077
2,SPAG5;NUF2,7206.5,0.30076351878537655,0.5341374327327029
3,SPAG5;CCNB2,7131.0,0.2528262004105478,0.4948938391014978
4,SPAG5;NUSAP1,7768.0,0.9309194267874907,0.9673618019866294
5,SPAG5;ZWINT,7967.0,0.7982052366334437,0.9253146065156865
6,SPAG5;PRC1,7965.0,0.8052950711218667,0.9253146065156865
7,KIF11;RAD51AP1,8141.5,0.603206168165819,0.8160930019208882
8,KIF11;NCAPG,9137.0,0.03414040291248868,0.12389265904405189
9,KIF11;CENPJ,8996.5,0.059313974453518686,0.16049663675658
10,KIF11;HELLS,8220.5,0.5192178409831247,0.7582228788959916
11,KIF11;NUF2,7649.0,0.7806846518211128,0.9253146065156865
12,KIF11;RFC3,9239.0,0.02287190162047495,0.10571602882645383
13,KIF11;PRC1,8112.0,0.6238086237977214,0.8198627627055767
14,KIF11;CCNB2,6934.5,0.14792569987973475,0.3319308387545268
15,KIF11;INCENP,8260.0,0.47778425531045754,0.7370722835994958
16,KIF11;ZWINT,7921.5,0.863234239921669,0.9343241185034535
17,KIF11;CIT,8176.5,0.5648608677965189,0.7994953821119959
18,KIF11;NUSAP1,8241.0,0.4923617501012223,0.7413634442257158
19,SMC3;NCAPG,5529.5,0.00020997558743144566,0.00482943851092325
20,SMC3;RFC3,5484.5,0.00010390237863686174,0.003186339611530427
21,SMC3;RFC5,5380.5,6.0438568503730304e-05,0.003186339611530427
22,MYBL2;CCNB2,8491.5,0.27903984701676254,0.5239115495008603
23,MYBL2;NUF2,8840.5,0.10060605013896122,0.23139391531961082
24,MYBL2;NCAPG,9360.5,0.013420633082687797,0.08991411130326153
25,MYBL2;LIN54,8286.5,0.44980160496584487,0.7147081665260457
26,CCNB2;RAD51AP1,8061.5,0.6956295978245796,0.876683876710429
27,CCNB2;NCAPG,9734.5,0.002027346891714833,0.02072399044864051
28,CCNB2;NUF2,8642.5,0.17683536055256488,0.38735364692466595
29,CCNB2;KPNA2,8235.5,0.499614495021678,0.7413634442257158
30,CCNB2;INCENP,8517.5,0.2596065579193756,0.49757923601213655
31,CCNB2;NUSAP1,8467.5,0.29012799024480806,0.5338355020504468
32,CCNB2;ZWINT,7791.0,0.9622312052358061,0.9715133182857857
33,CCNB2;LIN54,7662.5,0.8001881553996566,0.9253146065156865
34,CCNB2;PRC1,8009.0,0.7554889247995283,0.9253146065156865
35,NUSAP1;RAD51AP1,7509.0,0.6043555318583402,0.8160930019208882
36,NUSAP1;NCAPG,9117.0,0.03501314277331901,0.12389265904405189
37,NUSAP1;TMPO,6672.0,0.05613248852754,0.16049663675658
38,NUSAP1;NUF2,7780.5,0.9463321975956157,0.9673618019866294
39,NUSAP1;ZWINT,8303.0,0.403184710763005,0.6623748819677939
40,NUSAP1;HELLS,7945.5,0.8371774447548893,0.9343241185034535
41,NUSAP1;PRC1,8793.0,0.08991761080967646,0.21769526827605878
42,NUSAP1;KPNA2,7777.5,0.94163167938116,0.9673618019866294
43,BLM;RAD51AP1,7697.0,0.8438128304547293,0.9343241185034535
44,BLM;ERCC4,8641.5,0.18116073519817255,0.3875997125170203
45,BLM;POLE,7934.5,0.8541135727415767,0.9343241185034535
46,BLM;RFC5,9550.0,0.005476466473198377,0.045803174139477335
