,Gene,U,pval,adj_pvals
0,SPAG5,8053.5,0.7087227333434631,0.7612207135911271
1,KIF11,8753.5,0.13501942681248083,0.21677478393977392
2,SMC3,5267.5,4.191041564739626e-05,0.0012154020537744916
3,MYBL2,8961.0,0.06761563165154783,0.1400609512782062
4,CCNB2,8474.0,0.29511817205741153,0.4249232822187123
5,NUSAP1,8457.0,0.30770306643423995,0.4249232822187123
6,BLM,8737.0,0.14202485844330015,0.21677478393977392
7,RAD51AP1,9439.0,0.009521099347099332,0.03451398513323508
8,INCENP,7337.0,0.43914325790626474,0.5306314366367366
9,CENPJ,8973.0,0.06420732045659731,0.1400609512782062
10,ERCC4,8105.0,0.6481708767665966,0.7229598240858193
11,DSN1,7227.0,0.34238273230298366,0.43169996681680545
12,ZWINT,8863.5,0.09465494037616917,0.17156207943180662
13,HELLS,7669.0,0.8094143334729618,0.8094143334729618
14,NUF2,9691.0,0.0027287782026505407,0.017337086358417457
15,POLA2,9089.0,0.04188545272630074,0.1349642365625246
16,RFC5,10007.0,0.0004602516696712688,0.004449099473488932
17,POLE,7481.5,0.5879787908238745,0.6820553973556944
18,NCAPG,9638.5,0.0035869833845001632,0.017337086358417457
19,LIN54,8403.0,0.3413733933137737,0.43169996681680545
20,TMPO,6672.0,0.05613248852754,0.135653513941555
21,CIT,7642.5,0.7759354718057023,0.8036474529416202
22,PRC1,9502.5,0.007026200494428975,0.029108544905491467
23,KPNA2,8786.0,0.12165554598843635,0.20753004903909733
24,RFC3,10056.5,0.00034094191679746524,0.004449099473488932
25,RTTN,6625.5,0.05327088302556467,0.135653513941555
26,FANCB,6834.0,0.08896697676652414,0.17156207943180662
27,CHAF1B,9056.5,0.04755590337611349,0.135653513941555
28,PRIM1,9642.0,0.003520949544813067,0.017337086358417457
