,Edge,U,pval,adj_pvals
0,TSC22D3;NR3C1,7357.5,0.4592027700840846,0.6506953852947687
1,TSC22D3;TP53,6997.0,0.187615167322561,0.3775777220539647
2,TSC22D3;FOS,7355.0,0.4567768552442738,0.6488218016327879
3,XPO7;IPO13,7820.0,1.0,1.0
4,XPO7;USP14,6496.5,0.03395332120813838,0.12724764733286836
5,XPO7;TLK2,7820.0,1.0,1.0
6,EED;DNMT3A,8605.5,0.20826389738079631,0.3991643864564401
7,EED;RB1,7820.5,1.0,1.0
8,EED;TP53,8730.0,0.1450421471627993,0.320806195718719
9,EED;SUZ12,8730.0,0.14481775908553704,0.32056217247820595
10,EED;EZH2,8456.0,0.3084639749226341,0.5083417127779893
11,EED;MTA1,8134.0,0.6152861940611289,0.7688741841972504
12,EED;MTF2,7972.5,0.8073050011676717,0.8961586403574235
13,EED;USP7,8621.0,0.19961080973304535,0.39095596480318023
14,EED;HDAC2,8391.0,0.36057779581661353,0.5588616308042804
15,EED;DNMT1,7999.5,0.7741934910517984,0.873886342577276
16,HSPA4;FKBP4,8402.0,0.3499131685316008,0.5479376573789495
17,HSPA4;HMOX1,7754.0,0.9162553874504844,0.957361864904874
18,HSPA4;NFKBIA,7969.0,0.8111359929305619,0.8988212864394016
19,HSPA4;AURKA,6652.5,0.061035557140348536,0.1839746865851135
20,HSPA4;MMP2,8834.5,0.1034776739263442,0.26051900602126243
21,HSPA4;STUB1,8002.5,0.7695953392969024,0.8711630623532853
22,HSPA4;CCND1,6456.5,0.028352609165667682,0.11327280263759466
23,HSPA4;SKP1,8020.0,0.748443058648104,0.8583320698629697
24,HSPA4;NR3C1,8280.5,0.45909038824390724,0.6506953852947687
25,HSPA4;EGR1,8991.5,0.060133746753059526,0.18232858421401082
26,HSPA4;TRAP1,8082.0,0.674700605103187,0.8113363500875553
27,HSPA4;HSPB1,8127.5,0.6210942685734185,0.7721458958246579
28,HSPA4;DNAJB1,7892.0,0.9084980751959738,0.9524763259697916
29,HSPA4;DNAJB6,8315.5,0.42661564782293904,0.6188054612317313
30,HSPA4;PIH1D1,7050.0,0.21742827260034137,0.40892017447459084
31,HSPA4;AXIN1,8569.0,0.22939918541140336,0.42483242482804895
32,HSPA4;DNAJA3,8166.0,0.5789924960772439,0.7422286982423236
33,HSPA4;STAT3,7809.5,0.9871393006228005,0.9958391517865133
34,HSPA4;TP53,7661.5,0.7988484261655815,0.890446277546803
35,HSPA4;ERBB2,8027.0,0.7397355397844818,0.8526643546815525
36,HSPA4;EGFR,8454.5,0.3078577476247515,0.5075459260720562
37,HSPA4;TOMM70,7385.0,0.4856953766898453,0.6713592459115597
38,HSPA4;APP,7888.0,0.913664827106883,0.9561762548895906
39,HSPA4;CALM3,7814.0,0.9929553157767194,0.9989487621798422
40,HSPA4;TLR4,8589.0,0.21664426477906096,0.40861143467593514
41,HSPA4;ABL1,7840.0,0.9750159633304313,0.9907121857397334
42,HSPA4;HDAC2,7278.5,0.3846831596543385,0.5819747066094129
43,HSPA4;TJP1,8273.0,0.46759505984355243,0.6551425506490358
44,HSPA4;PRKACA,8010.5,0.7603031952424636,0.8663338651482027
45,HSPA4;RUVBL1,7164.0,0.2928186864382051,0.4923820694641588
46,HSPA4;ATF6,7407.5,0.5085631289522137,0.6902057481495665
47,HSPA4;NOTCH1,8226.5,0.5135874165136924,0.6948644856629769
48,HSPA4;CD40,8217.0,0.5246065882767073,0.7029249410104409
49,HSPA4;EIF4G1,7551.5,0.6670154367097719,0.8044798028906337
50,HSPA4;HSPA8,8075.5,0.6805988432635595,0.8150943655499264
