,Edge,U,pval,adj_pvals
0,TSC22D3;NR3C1,3555.0,0.019654934022245024,0.5479842798065636
1,TSC22D3;TP53,3529.5,0.024884513069765597,0.5858229118507318
2,TSC22D3;FOS,3635.0,0.008938150172114185,0.3721093045338063
3,CEBPD;STAT3,2849.5,0.8854109415460646,1.0
4,CEBPD;MBNL1,2938.0,0.8701707051820694,1.0
5,CEBPD;PPARG,2968.5,0.7866595391133876,1.0
6,CEBPD;FOS,2946.0,0.8480831754840158,1.0
7,CEBPD;SMAD3,2850.5,0.888188272436042,1.0
8,CEBPD;JUN,2904.0,0.9649552044693356,1.0
9,CEBPD;NCOA3,2781.5,0.7016151823005491,1.0
10,CEBPD;CREB1,2891.5,1.0,1.0
11,CEBPD;MYC,2896.0,0.9873802268513725,1.0
12,XPO7;IPO13,2891.0,1.0,1.0
13,XPO7;USP14,2829.0,0.8286542354698723,1.0
14,XPO7;TLK2,2891.0,1.0,1.0
15,EED;DNMT3A,3133.0,0.39556247175952897,0.9824142998872754
16,EED;RB1,3108.0,0.4464190142189641,0.9824142998872754
17,EED;TP53,3126.0,0.4096851348128686,0.9824142998872754
18,EED;SUZ12,3476.5,0.0396319541798856,0.6874753455326648
19,EED;EZH2,3436.5,0.055246413526137884,0.7381742077563356
20,EED;MTA1,3022.5,0.6448560055069473,1.0
21,EED;MTF2,3192.0,0.2892475777659652,0.9815859144168819
22,EED;USP7,3051.5,0.5737332747280781,0.9963157246808214
23,EED;HDAC2,3241.5,0.21836737825663244,0.9751357659999094
24,EED;DNMT1,3292.0,0.1589751461847233,0.9669645990006351
25,HSPA4;FKBP4,3175.0,0.31714402027438926,0.9824142998872754
26,HSPA4;HMOX1,3417.0,0.0641311952668128,0.7652711604847506
27,HSPA4;NFKBIA,3017.5,0.6554090486144712,1.0
28,HSPA4;AURKA,3142.0,0.37744353472015957,0.9824142998872754
29,HSPA4;MMP2,3349.0,0.10700470296128715,0.9107050415655258
30,HSPA4;STUB1,3182.5,0.30373094759898156,0.9824142998872754
31,HSPA4;CCND1,3185.0,0.29915862770605006,0.9824142998872754
