,Gene,U,pval,adj_pvals
0,CEBPD,3787.0,0.0016468621075454814,0.14558261030702058
1,EED,3099.0,0.46580910805160003,0.9053342491854948
2,HSPA4,3270.0,0.18340609919576656,0.8209353458511892
3,MTA1,3035.0,0.6140017277668481,0.9199084087519462
4,DNMT3A,2689.0,0.47880479837447465,0.9053342491854948
5,IKZF1,3948.0,0.0002045298792754771,0.031853264299080315
6,RALB,3087.0,0.49199603542747383,0.9053342491854948
7,ZFP36,2978.0,0.7611068455088278,0.9437715089043239
8,CASP3,3109.0,0.4445916616004485,0.901419790951368
9,CAST,3374.0,0.0899092457781992,0.6081281856371361
10,HMOX1,2486.0,0.1551059627562631,0.7683585863305992
11,MCM3,2867.0,0.9341719070594647,0.987820216111334
12,TEX10,3070.0,0.5304059247118902,0.9158950420859258
13,MYCBP2,3568.0,0.017419006157058194,0.4019566704776934
14,PLCB3,2859.0,0.9118421430276838,0.987820216111334
15,PIK3R4,2731.0,0.5750662621816399,0.9158950420859258
16,RRAGA,3083.5,0.49977727783090664,0.9053342491854948
17,GNB5,3109.0,0.4445916616004485,0.901419790951368
18,CALM3,3365.0,0.09606373813662207,0.6081281856371361
19,PMM2,2916.0,0.9313774433065019,0.987820216111334
20,PNKP,2693.0,0.4875774103889746,0.9053342491854948
21,PIH1D1,3197.0,0.2829292293518172,0.8256878719154931
22,PARP1,3130.0,0.40187756564127786,0.870734725556102
23,NFE2L2,2726.0,0.5631428014472557,0.9158950420859258
24,DNAJB6,2732.0,0.5774652013885879,0.9158950420859258
25,HEATR1,3052.0,0.572672045187592,0.9158950420859258
26,DDX42,2710.0,0.5258093539242841,0.9158950420859258
27,PSMD10,2725.0,0.5607724957186275,0.9158950420859258
28,TOMM70,2597.0,0.30226654185487656,0.8304223389625663
29,PSMD2,2216.0,0.017753834236374087,0.4019566704776934
30,G3BP1,3189.0,0.29572536128238347,0.8304223389625663
31,KAT6A,3115.0,0.43213049580002916,0.896721498326821
32,SPTAN1,3422.0,0.06223951233454292,0.5503362145185853
33,MAPKAPK5,2956.0,0.8206526722463898,0.9627990837697041
34,INPP1,2964.0,0.7988614775650829,0.9595021007711049
35,PSMB8,3360.0,0.09962592463933609,0.6081281856371361
36,MRPS16,3018.0,0.6565955239997314,0.9199084087519462
37,POLB,2604.0,0.31394358327294836,0.8304223389625663
38,COASY,3024.0,0.6414252020429092,0.9199084087519462
39,IKBKE,2976.0,0.7664679720042712,0.9437715089043239
40,STAT5B,3084.0,0.49866405154739346,0.9053342491854948
41,SKIV2L,2890.0,0.9985977786598773,0.9985978102736611
