,Edge,U,pval,adj_pvals
0,TCEA2;PAF1,121.0,0.713741509539631,1.0
1,TCEA2;POLR2I,151.0,0.5413559418977688,1.0
2,TCEA2;TBP,159.5,0.3737476704559105,1.0
3,TCEA2;WDR61,157.5,0.4090253235983454,1.0
4,RPA1;RFC2,126.5,0.8564127334239613,1.0
5,RPA1;RPA3,119.0,0.6653765857880259,1.0
6,RPA1;MSH6,119.5,0.6844706560546661,1.0
7,RPA1;MCM3,140.0,0.7937073763241381,1.0
8,RPA1;PCNA,122.5,0.7636245330858681,1.0
9,RPA1;RPA2,139.0,0.8144462962385159,1.0
10,RPA1;TP53,129.5,0.9469940319066411,1.0
11,RPA1;BRCA1,135.0,0.933189444599528,1.0
12,RPA1;CHEK1,139.5,0.8086966094165708,1.0
13,RPA1;TP53BP1,135.0,0.9313844759593719,1.0
14,RPA1;RAD9A,111.5,0.490415465821209,1.0
15,RPA1;TOPBP1,112.5,0.5037440114685461,1.0
16,RPA1;TIMELESS,139.0,0.8268071501103096,1.0
17,RPA1;RFC5,130.0,0.9591970815718106,1.0
18,PARP1;PARP2,114.5,0.566538219239147,1.0
19,PARP1;DDB2,160.0,0.35929975860526575,1.0
20,PARP1;POLB,123.0,0.7757683216675432,1.0
21,PARP1;TP53,137.0,0.8731573766846383,1.0
22,PARP1;CYCS,125.5,0.8384156526130447,1.0
23,PARP1;CASP3,129.0,0.9330836232274612,1.0
24,PARP1;SMAD3,113.0,0.5205949636759276,1.0
25,PARP1;SMARCA4,140.0,0.7959203938658173,1.0
26,PARP1;DNMT1,139.5,0.8099839819931717,1.0
27,PARP1;TIMELESS,109.0,0.44340885773044436,1.0
28,PARP1;TP53BP1,104.5,0.33972480941562067,1.0
29,PARP1;HDAC2,110.5,0.4707002991180197,1.0
30,PARP1;CDKN1A,116.0,0.5823668063446834,1.0
31,PARP1;BRCA1,122.5,0.7495246854512989,1.0
32,PARP1;CHEK1,93.5,0.19331243506943352,1.0
33,PARP1;CASP7,120.0,0.6956544174383323,1.0
34,PARP1;TIPARP,132.0,1.0,1.0
35,PARP1;PCNA,101.0,0.2938532204160985,1.0
36,PARP1;RPA2,94.0,0.19721862870448426,1.0
37,EIF5;EIF4G1,159.0,0.37463569733999535,1.0
38,EIF5;RPS6,165.0,0.27065642611720186,1.0
39,EIF5;RPS5,152.5,0.4826459391513185,1.0
40,RAE1;NUP85,136.0,0.6665990972678644,1.0
41,RAE1;NUP133,124.5,0.7239099168755173,1.0
42,RAE1;BUB1B,112.5,0.5286132720981032,1.0
43,RAE1;NUP93,140.0,0.5085434677491882,1.0
44,RAE1;NUP62,140.0,0.5085434677491882,1.0
45,RAE1;RBM15B,132.0,1.0,1.0
46,RAE1;NUP88,107.0,0.11692562845149461,1.0
47,CIRBP;TLR4,142.5,0.7375584871108043,1.0
48,DNTTIP2;HEATR1,185.5,0.06624960117000055,1.0
49,DNTTIP2;RPS6,159.0,0.37725200130345904,1.0
50,DNTTIP2;UTP14A,191.0,0.03745013600527532,1.0
51,DNTTIP2;RPS5,120.0,0.7013096045420483,1.0
52,LGMN;CTSL,155.5,0.4466177031911013,1.0
53,CENPE;AURKA,137.0,0.88140075746724,1.0
54,CENPE;CCNB1,141.0,0.7785938112879104,1.0
55,CENPE;KIF20A,138.0,0.8423733348430367,1.0
56,CENPE;CCNA2,142.0,0.7539545064562291,1.0
57,CENPE;SMC4,162.0,0.32913940088615823,1.0
58,CENPE;MELK,136.5,0.8918382100889837,1.0
59,CENPE;NUSAP1,147.5,0.6016853654615275,1.0
60,CENPE;AURKB,135.5,0.9198179516331482,1.0
61,CENPE;BUB1B,150.5,0.550127875056225,1.0
62,CENPE;PLK1,145.0,0.6805035005524805,1.0
63,CENPE;TOP2A,158.0,0.36292324583956315,1.0
64,CENPE;CDC20,158.5,0.3870187068146288,1.0
65,XBP1;HYOU1,132.0,1.0,1.0
66,XBP1;EDEM1,143.0,0.7194914599049822,1.0
67,XBP1;GFPT1,121.5,0.7416525236078914,1.0
68,XBP1;HIF1A,123.5,0.7916652229343955,1.0
69,XBP1;ATF6,127.0,0.8815929685772759,1.0
70,XBP1;TBP,125.0,0.8299231915848937,1.0
71,XBP1;WFS1,128.0,0.9073802140754809,1.0
72,APP;APPBP2,112.0,0.5018358203765472,1.0
73,APP;HSD17B10,118.0,0.6546125566463196,1.0
74,APP;APOE,132.5,1.0,1.0
75,APP;ADAM10,107.0,0.4126772194321674,1.0
76,APP;IDE,132.0,1.0,1.0
77,APP;TNFRSF21,132.0,1.0,1.0
78,APP;NOTCH1,110.0,0.4722931771658929,1.0
79,APP;SRC,123.0,0.7763675120435833,1.0
80,APP;SHC1,116.5,0.6163833943895165,1.0
81,APP;SNCA,106.0,0.3932903860712089,1.0
82,APP;HSPD1,121.0,0.7253488849763338,1.0
83,APP;GAPDH,119.0,0.6741219416247772,1.0
84,APP;CASP3,112.0,0.5160332172662457,1.0
85,APP;APBB2,132.0,1.0,1.0
86,SPTAN1;CALM3,170.0,0.20578391072999014,1.0
87,SPTAN1;CASP3,150.0,0.5536894926869371,1.0
88,SPTAN1;STXBP1,118.0,0.639537989120728,1.0
89,HMG20B;HDAC2,178.5,0.12710164045878566,1.0
90,WFS1;ATP1B1,137.0,0.8815307322672522,1.0
91,WFS1;ATF6,122.5,0.7664480793111154,1.0
92,TOPBP1;RFC2,136.5,0.8931150789730651,1.0
93,TOPBP1;RAD9A,159.0,0.34874346835574754,1.0
94,TOPBP1;TP53BP1,156.0,0.4350324214154425,1.0
95,TOPBP1;TP53,151.5,0.5302470373831202,1.0
96,TOPBP1;MCM3,145.0,0.6746243005106272,1.0
97,TOPBP1;CDC45,132.5,1.0,1.0
98,TOPBP1;CHEK1,151.0,0.5350564249988411,1.0
99,TOPBP1;BRCA1,162.5,0.320624104938776,1.0
100,PHKB;PYGL,164.0,0.2987870139010176,1.0
101,PHKB;CALM3,138.5,0.8425138078694979,1.0
102,PHKB;PHKG2,171.0,0.18907462397956298,1.0
103,SMAD3;STUB1,159.0,0.3797947074726845,1.0
104,SMAD3;SKP1,173.5,0.1743305475367306,1.0
105,SMAD3;NR3C1,183.0,0.08936947102429568,1.0
106,SMAD3;TGFB3,167.5,0.24347526605763414,1.0
107,SMAD3;CDK4,180.0,0.11371930132941953,1.0
108,SMAD3;STAT3,167.0,0.25114139876617414,1.0
109,SMAD3;TP53,175.5,0.1506660987544004,1.0
110,SMAD3;FOS,173.0,0.17649632631425016,1.0
111,SMAD3;MYC,165.5,0.2672112534403571,1.0
112,SMAD3;BRCA1,175.5,0.15282644946727145,1.0
113,SMAD3;CDKN1A,157.0,0.4112423860419472,1.0
114,SMAD3;JUN,174.5,0.16194765900192187,1.0
115,SMAD3;CREB1,170.0,0.2125056311180612,1.0
116,SMAD3;HIF1A,179.0,0.11969559826581844,1.0
117,SMAD3;FOXO3,174.5,0.16155421755385158,1.0
118,SMAD3;MAPK9,163.5,0.3046519785119095,1.0
119,SMAD3;TFDP1,157.5,0.40753939721503807,1.0
120,SMAD3;AKT1,185.0,0.08076894149848851,1.0
121,SMAD3;NOTCH1,169.5,0.22117589498791457,1.0
122,SMAD3;TGFBR2,183.0,0.09301213401471382,1.0
123,APOE;SNCA,114.5,0.5730800948303664,1.0
124,APOE;CD44,133.0,0.9867792695254497,1.0
125,APOE;LRP10,129.0,0.9307248664961834,1.0
126,APOE;SCARB1,123.0,0.7782607623990303,1.0
127,RRP8;EBNA1BP2,134.0,0.9605262741738495,1.0
128,CDK7;POLR2I,110.5,0.4853519850125281,1.0
129,CDK7;CDKN1B,121.5,0.7407984305520139,1.0
130,CDK7;TBP,125.5,0.8423833364522254,1.0
131,CDK7;CCNB1,120.0,0.7039596577816891,1.0
132,CDK7;GNB5,114.0,0.5598826356533781,1.0
133,CDK7;PCNA,116.0,0.6081057275345232,1.0
134,CDK7;CCNH,93.5,0.17664289231570218,1.0
135,CDK7;TP53,120.0,0.7041824802673766,1.0
136,CDK7;GTF2E2,113.5,0.5345732593648094,1.0
137,CDK7;CCNA2,120.5,0.7162255683418509,1.0
138,CDK7;GTF2A2,124.5,0.8088769767114896,1.0
139,CDK7;MNAT1,134.0,0.9592275846592587,1.0
140,CDK7;CDK2,124.0,0.8040507863399512,1.0
141,ALDH7A1;CALM3,124.5,0.8161407224431768,1.0
142,ALDH7A1;PRKACA,117.0,0.6270847857769248,1.0
143,ALDH7A1;CNDP2,132.0,1.0,1.0
144,ALDH7A1;PCCB,112.0,0.5157894781471741,1.0
145,PIK3C3;BECN1,136.5,0.8939871566598245,1.0
146,PIK3C3;INPP4B,132.5,1.0,1.0
147,PIK3C3;PIK3R4,149.5,0.5482673877404953,1.0
148,PIK3C3;CALM3,178.5,0.12812725914039544,1.0
149,PIK3C3;ABL1,168.5,0.232530055096826,1.0
150,PIK3C3;ATG3,163.5,0.30190537834871567,1.0
151,ARHGEF12;PTK2,136.5,0.8938881651111198,1.0
152,ARHGEF12;NRAS,133.5,0.9734788378745357,1.0
153,ARHGEF12;PTK2B,125.5,0.8420038203571205,1.0
154,ARHGEF12;RHOA,118.0,0.6512824529889438,1.0
155,ARHGEF12;CDC42,135.5,0.9198758221052796,1.0
156,ARHGEF12;CD44,134.5,0.9471906356557044,1.0
157,TXLNA;STX4,97.0,0.2547064877070029,1.0
158,PCNA;RFC2,147.5,0.613340360233271,1.0
159,PCNA;GADD45B,126.0,0.8555874180886336,1.0
160,PCNA;RPA3,141.5,0.7587918009460362,1.0
161,PCNA;CCND1,137.5,0.8674394591167327,1.0
162,PCNA;MSH6,128.5,0.9194827454691081,1.0
163,PCNA;CCNB1,136.0,0.9050481588901997,1.0
164,PCNA;CDK4,138.5,0.8374363985752697,1.0
165,PCNA;MNAT1,149.0,0.5811706906705141,1.0
166,PCNA;GNB5,118.0,0.6533208471082879,1.0
167,PCNA;LIG1,148.5,0.5947270179287188,1.0
168,PCNA;CDK6,149.5,0.5674759992276766,1.0
169,PCNA;CDK2,139.0,0.8197093644115724,1.0
