,Gene,U,pval,adj_pvals
0,TCEA2,153.0,0.5073921556591645,0.9956183424697772
1,RPA1,146.0,0.662956708414686,0.9956183424697772
2,PARP1,119.0,0.6865947773295049,0.9956183424697772
3,EIF5,171.0,0.20971861911226103,0.9956183424697772
4,RAE1,106.0,0.40885981736242244,0.9956183424697772
5,CIRBP,141.0,0.7839224257860515,0.9956183424697772
6,DNTTIP2,151.0,0.5427685037060728,0.9956183424697772
7,LGMN,157.0,0.4198429011133241,0.9956183424697772
8,CENPE,138.0,0.8592102136465193,0.9956183424697772
9,XBP1,123.0,0.7839224257860515,0.9956183424697772
10,APP,112.0,0.5284380262557411,0.9956183424697772
11,SPTAN1,142.0,0.7546296613716608,0.9956183424697772
12,HMG20B,177.0,0.14313995754962747,0.9956183424697772
13,WFS1,130.0,0.9614239382418794,0.9960095510100384
14,TOPBP1,150.0,0.5717682412691094,0.9956183424697772
15,PHKB,160.0,0.372747798769093,0.9956183424697772
16,SMAD3,177.0,0.14563566290516378,0.9956183424697772
17,APOE,131.0,0.9871364146981451,0.9960095510100384
18,RRP8,135.0,0.9357481971542226,0.9956183424697772
19,CDK7,116.0,0.6166523100450456,0.9956183424697772
20,ALDH7A1,119.0,0.6865947773295049,0.9956183424697772
21,PIK3C3,154.0,0.486779092593485,0.9956183424697772
22,ARHGEF12,133.0,0.9871364146981451,0.9960095510100384
23,TXLNA,103.0,0.348375703490157,0.9956183424697772
24,PCNA,148.0,0.6166523100450456,0.9956183424697772
25,NET1,141.0,0.7797524492000416,0.9956183424697772
26,NPRL2,171.0,0.20971861911226103,0.9956183424697772
27,NR3C1,105.0,0.3905596591543884,0.9956183424697772
28,PSMD4,122.0,0.759218486953894,0.9956183424697772
29,RAC2,104.0,0.372747798769093,0.9956183424697772
30,PSMF1,125.0,0.8339419316388278,0.9956183424697772
31,BTK,122.0,0.759218486953894,0.9956183424697772
32,KDM3A,142.0,0.759218486953894,0.9956183424697772
33,DNMT3A,87.0,0.14563566290516378,0.9956183424697772
34,TGFB3,162.0,0.3386035190913239,0.9956183424697772
35,ATF6,127.0,0.8846160596670296,0.9956183424697772
36,EZH2,114.0,0.5717682412691094,0.9956183424697772
37,PRKAG2,95.0,0.23487539724042025,0.9956183424697772
38,JUN,118.0,0.662956708414686,0.9956183424697772
39,RPP38,159.0,0.3905596591543884,0.9956183424697772
40,FOXO4,133.0,0.9871364146981451,0.9960095510100384
41,MYCBP2,138.0,0.8592102136465193,0.9956183424697772
42,NUSAP1,170.0,0.22205307904922794,0.9956183424697772
43,GNA11,154.0,0.4793046873497354,0.9956183424697772
44,PNKP,120.0,0.7105328831523801,0.9956183424697772
45,GADD45B,123.0,0.7839224257860515,0.9956183424697772
46,MCM3,88.0,0.15517331584687924,0.9956183424697772
47,CFLAR,107.0,0.427638770340575,0.9956183424697772
48,HMGCR,157.0,0.427638770340575,0.9956183424697772
49,POLR1C,149.0,0.5940231764591801,0.9956183424697772
50,RRP1B,126.0,0.8564110631096197,0.9956183424697772
51,PTK2,124.0,0.8088392204378005,0.9956183424697772
52,HIF1A,124.0,0.8088392204378005,0.9956183424697772
53,ARHGAP1,135.0,0.9357481971542226,0.9956183424697772
54,FKBP4,141.0,0.7839224257860515,0.9956183424697772
55,RAD51C,106.0,0.40151142564486986,0.9956183424697772
56,DDX10,116.0,0.6166523100450456,0.9956183424697772
57,PTPN1,125.0,0.8339419316388278,0.9956183424697772
58,STX4,130.0,0.9614239382418794,0.9960095510100384
59,GNB5,155.0,0.4666076912244698,0.9956183424697772
