,Edge,U,pval,adj_pvals
0,EED;SUZ12,842.5,0.003332096020982519,0.1271348593409793
1,EED;EZH2,811.0,0.0016979278543381117,0.12495792622919531
2,EED;MTF2,833.0,0.0027091201529746375,0.1271348593409793
3,EED;HDAC2,812.0,0.001735191636071848,0.12495792622919531
4,EED;DNMT1,847.5,0.0037123900124713073,0.1271348593409793
5,HSPA4;FKBP4,1406.5,0.47087073032847626,0.710570974166253
6,HSPA4;STUB1,1340.5,0.7698439778834685,0.8926995375134792
7,HSPA4;NR3C1,1141.0,0.31861288865746884,0.5868490898233075
8,HSPA4;HSPB1,1233.0,0.6893035972735514,0.8529559233119065
9,HSPA4;DNAJB1,1341.5,0.7649860752913149,0.892399760741893
10,HSPA4;DNAJB6,1310.0,0.9249374935185896,0.9791210476366442
11,HSPA4;DNAJA3,1281.0,0.9300993293463671,0.982521058394381
12,HSPA4;TP53,1282.0,0.9352377072652882,0.9843414641087808
13,HSPA4;ERBB2,1249.0,0.7675855771875281,0.892399760741893
14,HSPA4;TOMM70,1572.0,0.07249998476363023,0.32358680046335664
15,HSPA4;TLR4,1177.0,0.4454324260392458,0.6959214042315796
16,HSPA4;TJP1,1176.5,0.44353121415658014,0.6940424459001356
17,HSPA4;CD40,1122.0,0.26275837816866354,0.5343611828092538
18,HSPA4;EIF4G1,1167.0,0.4075191315888911,0.6723764205405661
19,HSPA4;HSPA8,1396.0,0.5134050265720471,0.7370312108178082
20,HSPA4;AKT1,1267.5,0.8607498052114619,0.9497790262243352
21,HSPA4;UBQLN2,1520.5,0.14391484051127632,0.4201227135955322
22,HSPA4;SRC,1220.0,0.628521770326046,0.8206050768886152
23,HSPA4;CYCS,1366.0,0.6470455123777019,0.8314598645247985
24,HSPA4;HIF1A,1172.5,0.4279815513294335,0.684245351389266
25,HSPA4;DNAJB2,1348.0,0.7330536797850503,0.8733062402670839
26,HSPA4;HDAC6,1072.0,0.14833022742392857,0.4237679821448084
27,HSPA4;HSPD1,1403.0,0.4849829660796422,0.7248637849919997
28,HSPA4;BECN1,1334.0,0.8025139146385118,0.9070698237079751
29,HSPA4;HSPA1A,1350.0,0.7232642646671497,0.8694407279022957
30,HSPA4;GAPDH,1329.0,0.8277400421317702,0.9267107036902763
31,HSPA4;CASP3,1340.0,0.7725749347564024,0.8948134577667487
32,HSPA4;BAG3,1379.5,0.5851756565174502,0.7943152701970191
33,HSPA4;SNCA,1449.0,0.31887118618181254,0.5868490898233075
34,MTA1;TP53,1618.5,0.03602091959302232,0.24391549171454346
35,MTA1;HDAC2,1542.0,0.10950587269801938,0.3725731319722878
36,DNMT3A;EZH2,1326.0,0.8430286072053916,0.9372579139834686
37,DNMT3A;DNMT1,1176.0,0.44166668066732184,0.6940424459001356
38,DNMT3A;SMARCA4,1182.5,0.46715218354348054,0.7078993651684742
39,DNMT3A;MYC,1276.0,0.904416074707026,0.9707210002737762
40,DNMT3A;MAT2A,1291.0,0.9818678764158492,0.9995153072829368
41,DNMT3A;HDAC2,1347.0,0.7381310984755443,0.8733062402670839
42,RALB;RALA,1310.0,0.9249659799474658,0.9791210476366442
43,RALB;MAPK9,1097.5,0.20090633251723689,0.47607420440423265
44,RALB;RHOA,1152.5,0.35649274939388464,0.6246089940943538
45,RALB;RALGDS,1349.5,0.7258449102582915,0.8694407279022957
46,ZFP36;FOS,1336.5,0.7901405959536788,0.9039135456628286
47,ZFP36;MAPKAPK2,1522.0,0.14151904664180032,0.41438048938037264
48,CASP3;HSPB1,1044.0,0.1039239903761408,0.36605154719173844
49,CASP3;PARP2,1269.0,0.8685227786682956,0.9566231450589934
50,CASP3;TP53,989.0,0.04734519388910985,0.27185986710819987
51,CASP3;PAK1,1077.0,0.1579993008401127,0.4398997628091172
52,CASP3;APP,1085.0,0.1738925454472927,0.45498390907193254
53,CASP3;BAX,1078.0,0.15992079046535135,0.4409911476553857
54,CASP3;CYCS,1066.0,0.1379388151623703,0.4078709499515873
55,CASP3;CASP2,1109.5,0.22974695521798094,0.506531781132029
