,Gene,U,pval,adj_pvals
0,EED,802.5,0.001407433763474617,0.11028967727527503
1,HSPA4,1305.5,0.9482534166684787,0.9946885066599764
2,MTA1,1598.0,0.04960909908638167,0.3013567660919006
3,DNMT3A,1263.5,0.8405482962886701,0.9296281429062193
4,RALB,1228.5,0.668379973994031,0.8500957794236583
5,ZFP36,1426.5,0.3951978860407538,0.7349057343576557
6,CASP3,1025.0,0.0802817204539955,0.3513404325244749
7,CAST,1379.5,0.5854212041850269,0.8141441710682393
8,HMOX1,1412.0,0.44955233364640157,0.7519579575846381
9,MCM3,1295.0,1.0,1.0
10,TEX10,1120.0,0.2573133479742782,0.6088751896833211
11,MYCBP2,1365.0,0.6519388352568827,0.8400464641544211
12,PLCB3,1517.5,0.14964523857631534,0.4795717488233098
13,PIK3R4,1150.5,0.34998529104009923,0.688135330692369
14,RRAGA,1192.5,0.5078653583393973,0.7770721836245665
15,CALM3,963.5,0.031696410815757324,0.2345534400366042
16,PMM2,1641.5,0.024707572676876732,0.1985112076535895
17,PNKP,1665.5,0.016316399195873382,0.17027626853129402
18,PIH1D1,1167.5,0.4094998028670037,0.7349057343576557
19,PARP1,1387.5,0.5504514734919169,0.7916386915590465
20,NFE2L2,1344.5,0.7504747228946458,0.8931088076553241
21,DNAJB6,1548.0,0.10123360053049885,0.38150069829549105
22,HEATR1,1518.5,0.14781878018203293,0.4795717488233098
23,DDX42,1706.0,0.007664891355599452,0.11964869157876118
24,PSMD10,879.0,0.007004623198450345,0.11964869157876118
25,TOMM70,998.5,0.05470831729363152,0.309253960257056
26,PSMD2,1262.5,0.8354676740007216,0.9265268210307731
27,G3BP1,1788.5,0.0013751704397531174,0.11028967727527503
28,KAT6A,1412.0,0.4495271219785997,0.7519579575846381
29,SPTAN1,1066.5,0.13893544371399333,0.4663917392518968
30,MAPKAPK5,1551.5,0.09659675645168088,0.37442742738889634
31,INPP1,1487.5,0.2126918887760325,0.5550127549821374
32,PSMB8,1181.5,0.4633279187428109,0.7519579575846381
33,MRPS16,1216.5,0.6126909349930009,0.8320735823653906
34,POLB,1033.0,0.08965872682150325,0.3649563893423561
