,Gene,U,pval,adj_pvals
0,EED,806.0,0.0015224870163074921,0.07745652695464367
1,HSPA4,1335.0,0.7976768678344476,0.8993199036249867
2,MTA1,1599.0,0.048871198083039406,0.2425680197536224
3,DNMT3A,1050.0,0.11255706307119309,0.3343848516056612
4,RALB,1224.0,0.6472795913353504,0.8206940612881234
5,ZFP36,1251.5,0.7801907563830133,0.8948085085350558
6,CASP3,949.0,0.024942412204432225,0.18457385031279847
7,CAST,1486.0,0.21633066643064702,0.48377242438062273
8,HMOX1,1439.0,0.35169097591053244,0.6039587645383405
9,MCM3,1369.0,0.6333516737624043,0.8106104755386747
10,TEX10,1123.0,0.2656926189209534,0.5379945069692937
11,MYCBP2,1230.0,0.6755050450549674,0.8331228889011265
12,PLCB3,1293.0,0.9922327218219092,0.997132636497573
13,PIK3R4,1128.0,0.27988208828488526,0.5502995648886391
14,RRAGA,1176.0,0.44183388373738053,0.67522733690687
15,CALM3,968.0,0.03409185768317271,0.2040497952507543
16,PMM2,1610.0,0.041240530879702655,0.23312355650054142
17,PNKP,1695.0,0.0095211062563584,0.1410295776106309
18,PIH1D1,1157.0,0.37219229499213824,0.6208289510729519
19,PARP1,1519.0,0.14691523706284842,0.3959900760568166
20,NFE2L2,1204.0,0.5569722953340986,0.7684329633931462
21,DNAJB6,1626.0,0.031957362565433856,0.2005224874637463
22,HEATR1,1540.0,0.11255706307119309,0.3343848516056612
23,DDX42,1646.0,0.02292132512805537,0.17601847787016106
24,PSMD10,874.0,0.006351839678702088,0.12219391172089342
25,TOMM70,1008.0,0.06297276738070616,0.27559049810696135
26,PSMD2,1454.0,0.3036374544369569,0.5668827704396397
27,G3BP1,1816.0,0.000730037493292062,0.05240761571762742
28,KAT6A,1360.0,0.6755022095038826,0.8331228889011265
29,SPTAN1,1005.0,0.06026447104667254,0.27559049810696135
30,MAPKAPK5,1564.0,0.08140983748775832,0.30121639870470573
31,INPP1,1029.0,0.08487156093075629,0.3030063622703317
32,PSMB8,1164.0,0.39702610280686956,0.6419922596312964
33,MRPS16,1223.0,0.6426228983218527,0.8173359988031065
34,POLB,1049.0,0.111094273308344,0.3343848516056612
35,COASY,1335.0,0.7976768678344476,0.8993199036249867
36,STAT5B,1486.0,0.21633066643064702,0.48377242438062273
37,SKIV2L,1354.0,0.7041916856760164,0.8581018445213733
38,CDKN1B,1352.0,0.7138541845852209,0.8646983723993599
39,PPP1R13B,1085.0,0.17393942037847498,0.43431499444195903
40,ACLY,1500.5,0.18336933597477534,0.44689413019002133
41,RRP8,984.0,0.043889603400697044,0.23620159688088282
42,CDK4,1018.0,0.07273598730314663,0.28464948877289115
43,MSH6,1624.0,0.033009844373638825,0.2005224874637463
44,EXOSC4,909.0,0.012353115523308401,0.15299069046435415
45,PAK4,1389.0,0.5439739691071661,0.7608158262083046
46,VDAC1,1135.0,0.30059686250064177,0.5668827704396397
47,MRPL12,947.0,0.02411617003247142,0.1817644667262198
48,KIF2C,1747.0,0.0033870794426935835,0.09846723808402061
49,CAPN1,1380.0,0.5834141026708417,0.781084012457344
50,DRAP1,1572.0,0.07273598730314663,0.28464948877289115
51,PTPN1,1053.0,0.11703666006158403,0.337829224433083
52,PRKACA,930.0,0.018000717161527974,0.1686020483045014
53,FOS,1664.0,0.016776788110983015,0.1665403112480509
54,PTPN6,1655.0,0.0196400957833293,0.1694407749021698
55,TFDP1,1151.0,0.35169097591053244,0.6039587645383405
56,NNT,1314.0,0.9044317230805757,0.9565812160250239
57,P4HA2,923.0,0.01590739407765932,0.16600793306685496
58,PHKB,1442.0,0.3417138603217301,0.602067277709715
59,SMC3,1350.0,0.7235601572287056,0.8701384623958679
60,APBB2,1503.0,0.178085225483413,0.439276889525752
61,LRPAP1,1149.0,0.34501925175427617,0.6026731135793579
62,STXBP1,1639.0,0.025793055139213195,0.18746024002963876
63,ETFB,1332.0,0.8127461333760078,0.9087573524286681
64,CRYZ,1348.0,0.7333107926333727,0.8701384623958679
65,SMC1A,1704.0,0.008021507628503363,0.13603140020003618
66,TIMP2,964.5,0.03221734968856434,0.2005224874637463
67,PTK2,1133.0,0.2945767444982005,0.5602464252839607
68,TIMELESS,1383.0,0.5701201135220002,0.7760497866336257
69,AKT1,1227.0,0.6613321345604537,0.8256508551107505
70,SDHB,1547.0,0.10263022642413208,0.3263320480829825
71,RFC2,1252.0,0.7826826266301716,0.8948085085350558
72,USP14,1322.0,0.8634494144504572,0.9272398725101216
73,KLHL21,1261.0,0.8278850588662428,0.9137708488110905
74,APP,1049.0,0.111094273308344,0.3343848516056612
75,PRKCD,1418.0,0.4265992775909634,0.6652333562433796
76,FBXO7,1150.0,0.3483404952637562,0.6033038283131296
77,DDB2,1497.0,0.1909635125195457,0.4571891152673829
78,ETS1,1212.0,0.5923562609767329,0.7878725431945434
79,RHEB,1110.0,0.23114905626522608,0.511291662499712
80,MRPL19,1433.0,0.37219229499213824,0.6208289510729519
81,NPC1,1649.0,0.02177824262357381,0.17601847787016106
82,GADD45A,1065.0,0.13636786401701997,0.37501162604680494
83,KDM3A,1213.0,0.596850793446877,0.7912647326803874
84,CHEK2,1143.0,0.32549212502962555,0.5861738711816707
85,PAFAH1B1,1306.0,0.9456702460392488,0.9743994687037323
86,PYGL,1655.0,0.0196400957833293,0.1694407749021698
87,TUBB6,1408.0,0.46531408784728834,0.6962604182126705
88,EGR1,1353.0,0.7090183923595964,0.8614044348965844
89,CCL2,905.0,0.011476230529044673,0.1506718008168123
90,KIF20A,1356.0,0.6945818974780642,0.8489334302509673
91,PCCB,1138.0,0.30977974567819455,0.570499350638123
92,TOP2A,1465.0,0.2713084881762513,0.5466463103353182
93,PYCR1,1247.0,0.7578732485866948,0.8812983204993851
94,LAP3,1403.0,0.48538076596835444,0.7157607672069575
95,NFKBIE,1242.0,0.7333107926333727,0.8701384623958679
96,FDFT1,1104.0,0.21633066643064702,0.48377242438062273
97,CCND1,1441.0,0.34501925175427617,0.6026731135793579
98,MTF2,1448.0,0.32230888448447603,0.5856237320767043
99,AXIN1,1298.0,0.9870548998650515,0.9968519708314539
100,CSNK1E,1050.0,0.11255706307119309,0.3343848516056612
101,SMAD3,1575.0,0.06968484595850029,0.28464948877289115
102,MKNK1,1491.0,0.20451449990730042,0.47837587047282343
103,POLR1C,693.0,9.472054106464375e-05,0.038551260213310005
104,PSMG1,1333.0,0.8077150383050828,0.9056198914329717
105,PARP2,1103.0,0.21392895686115698,0.48377242438062273
106,PCK2,1627.0,0.031441997689673935,0.2005224874637463
107,LYN,1755.0,0.00286228961440621,0.09547922627920705
108,BECN1,1087.0,0.178085225483413,0.439276889525752
109,HIF1A,1581.0,0.06389759242539884,0.2766629799695461
110,ITGB5,1323.0,0.8583500493874856,0.9242023018537212
111,ALDOA,1540.0,0.11255706307119309,0.3343848516056612
112,ACBD3,1276.0,0.9044317230805757,0.9565812160250239
113,GFPT1,1388.0,0.5482899354674584,0.7616177601885855
114,SMC4,1582.0,0.06297276738070616,0.27559049810696135
115,HDAC2,895.0,0.0095211062563584,0.1410295776106309
116,IQGAP1,1734.0,0.004429123951669837,0.10603843813703669
117,BNIP3,1197.0,0.5268808686189279,0.7471794896442636
118,TLR4,1222.0,0.6379802081807848,0.8139747483685875
119,CTNND1,1165.0,0.40065364605982623,0.6419922596312964
120,POLG2,1695.0,0.0095211062563584,0.1410295776106309
121,DFFA,1078.5,0.16088182701418452,0.4170630802214847
122,SPP1,1262.0,0.8329459088671121,0.9137708488110905
123,PPP2R5A,936.0,0.01998318721204951,0.1694407749021698
124,HSPD1,1155.0,0.3652776769019338,0.6208289510729519
125,COL4A1,1318.5,0.8813379387185825,0.9414817350615828
126,CDC25B,1432.0,0.37567982791771504,0.6215515852134553
127,RSU1,1333.0,0.8077132912844367,0.9056198914329717
128,SESN1,838.0,0.0030497050162891686,0.09547922627920705
129,CASP7,1432.0,0.37567982791771504,0.6215515852134553
