,Gene,U,pval,adj_pvals
0,TSC22D3,2477.0,0.039861736290260436,0.7918148814332532
1,XPO7,1761.0,0.1794663227340363,0.8888662210883873
2,EED,2009.0,0.8697790707374777,0.9737977459817191
3,HSPA4,1927.0,0.5798584310463881,0.9353215260770074
4,MTA1,2051.0,0.9753595932776286,0.9962330476084728
5,DNMT3A,2129.0,0.688028448967695,0.9476474415564653
6,LYPLA1,1982.0,0.7701036653344536,0.9646996833824012
7,POLE2,2109.0,0.7592278808225101,0.9646996833824012
8,TIMM9,2390.0,0.10063827455292491,0.8700850495280503
9,RALB,2115.0,0.7376205398238542,0.9646996833824012
10,ZFP36,2258.0,0.310333833579031,0.9353215260770074
11,CAST,1755.0,0.17040264317402398,0.8888662210883873
12,ADGRE5,2480.0,0.03850425722556375,0.7918148814332532
13,HMOX1,2226.0,0.38843315677251433,0.9353215260770074
14,MCM3,2021.0,0.9148549715428909,0.9923191885306538
15,TMEM109,2240.0,0.3528924354269636,0.9353215260770074
16,TEX10,1985.0,0.7810248525337348,0.9646996833824012
17,MYCBP2,2063.0,0.9299486989595784,0.9923191885306538
18,RRAGA,2104.0,0.7773795373734558,0.9646996833824012
19,CALM3,2166.0,0.5637024947805085,0.9353215260770074
20,PMM2,1702.0,0.10464078572580886,0.8700850495280503
21,PNKP,2091.0,0.8251224713003504,0.9647868539703429
22,PIH1D1,2230.0,0.37806361509616926,0.9353215260770074
23,PARP1,2574.0,0.011865844685238963,0.7918148814332532
24,NFE2L2,1665.0,0.07208538770914535,0.7918148814332532
25,PDHX,1864.0,0.393682258823045,0.9353215260770074
26,DNAJB6,1886.0,0.4542082376466211,0.9353215260770074
27,HEATR1,1906.0,0.5135109753634615,0.9353215260770074
28,DDX42,1782.0,0.21401121159283576,0.9142402457660214
29,PUF60,2063.0,0.9299486989595784,0.9923191885306538
30,PSMD10,2266.0,0.2925533972885669,0.9320570659993663
31,TOR1A,1848.0,0.3528951268927599,0.9353215260770074
32,TOMM70,2215.0,0.4178299031932975,0.9353215260770074
33,PSMD2,2163.0,0.5733700348143301,0.9353215260770074
34,G3BP1,2243.0,0.34555615330207845,0.9353215260770074
35,KAT6A,1875.0,0.4233121965216091,0.9353215260770074
36,MVP,2525.0,0.022414585129341903,0.7918148814332532
37,SPTAN1,1597.0,0.03386253216556789,0.7918148814332532
38,MAPKAPK5,1829.0,0.3080730668907127,0.9353215260770074
39,INPP1,1648.0,0.06019534710324475,0.7918148814332532
40,NR1H2,2147.0,0.6262119141796076,0.9353215260770074
41,PSMB8,2445.0,0.05702497431320733,0.7918148814332532
42,MRPS16,2268.0,0.288217352593927,0.9320570659993663
43,IARS2,2116.0,0.7340388656618217,0.9646996833824012
44,LSM5,2180.0,0.5196553063846392,0.9353215260770074
45,POLB,2103.0,0.7810248525337348,0.9646996833824012
46,EVL,2361.0,0.13259083536062252,0.8888662210883873
47,BUB1B,1929.0,0.5863810535793863,0.9353215260770074
48,COASY,2159.0,0.586378960584746,0.9353215260770074
49,STAT5B,2227.0,0.3858246664847287,0.9353215260770074
50,CHERP,2064.0,0.926172689293737,0.9923191885306538
51,CORO1A,2383.0,0.10772481565585386,0.8700850495280503
52,SKIV2L,1907.0,0.5165784063850642,0.9353215260770074
53,CDKN1B,2172.0,0.5446064190554832,0.9353215260770074
54,FAT1,1604.0,0.03675799773100195,0.7918148814332532
55,SSBP2,1909.0,0.5227300137458553,0.9353215260770074
56,PPP1R13B,2094.0,0.8140403138522465,0.964720462240247
57,ACLY,1904.0,0.5074046793369007,0.9353215260770074
58,CDK4,2114.0,0.7412079201873725,0.9646996833824012
59,MSH6,1671.0,0.07671592922186711,0.7918148814332532
60,INTS3,1838.0,0.3288133155956483,0.9353215260770074
61,PAK4,1942.0,0.6295831579586841,0.9353215260770074
62,PPIE,2375.0,0.11630133412268563,0.8849014552813038
63,VDAC1,2329.0,0.17640610645713029,0.8888662210883873
64,DUSP6,1747.0,0.15885703386774142,0.8888662210883873
65,KIF2C,2013.0,0.8847648092062477,0.9737977459817191
66,PRPF4,2140.0,0.6499709909914131,0.9400406894503909
67,CAPN1,2195.0,0.47451345089448993,0.9353215260770074
68,CLTB,2306.0,0.21401121159283576,0.9142402457660214
