,Gene,U,pval,adj_pvals
0,CEBPD,231.5,0.3966897054070935,0.7939707864015191
1,EED,209.0,0.7875270066620719,0.9378428239785187
2,HSPA4,263.0,0.09782725468345203,0.5380900119997378
3,MTA1,254.0,0.15418469398190376,0.582383982662209
4,DNMT3A,172.0,0.5127949259545199,0.8304083922031672
5,RALB,206.5,0.8372449495358159,0.9675563699633281
6,ZFP36,242.5,0.25873174388090037,0.7123164578505782
7,CASP3,220.0,0.5810672105592795,0.8622387650822634
8,CAST,184.0,0.7286265182014666,0.9220270914327499
9,HMOX1,217.5,0.6257788469976813,0.8690341258009342
10,MCM3,157.5,0.3045356234459895,0.7417997090090407
11,TEX10,263.5,0.09504649004986415,0.5380900119997378
12,MYCBP2,194.0,0.9284181880648977,1.0
13,PLCB3,180.0,0.6532834079188576,0.8759477893794035
14,PIK3R4,196.0,0.9692894100597967,1.0
15,RRAGA,193.0,0.9078988169757152,1.0
16,GNB5,216.0,0.6533154273221111,0.8759477893794035
17,CALM3,226.0,0.4802682827851086,0.8144169985519079
18,PMM2,145.0,0.17765314028306634,0.5962368243059245
19,PNKP,213.5,0.7000716760631858,0.9000921549383817
20,PEX11A,170.5,0.4883005899348468,0.8180182659409443
21,PIH1D1,230.5,0.41095317489201844,0.8086693990874219
22,PARP1,118.5,0.042583191913015205,0.4827136446392818
23,NFE2L2,129.0,0.07870314187436196,0.526318439844367
24,DNAJB6,240.5,0.2808336126743116,0.7294052377349878
25,DDX42,136.5,0.11682694874429933,0.5417288873141662
26,PSMD10,150.0,0.22274092755007846,0.6476034199137045
27,TOMM70,229.0,0.4334123805135818,0.8144169985519079
28,PSMD2,156.0,0.2866794357421034,0.7294052377349878
29,G3BP1,200.0,0.9692843535708449,1.0
30,KAT6A,128.0,0.07442567600167838,0.526318439844367
31,SPTAN1,198.0,1.0,1.0
32,MAPKAPK5,255.5,0.14343275650428616,0.5731497541105182
33,INPP1,198.0,1.0,1.0
34,STAP2,252.0,0.16955113672641087,0.5927038506205787
35,PSMB8,248.0,0.2038376665313133,0.6117364825759258
36,MRPS16,123.0,0.0558497679732939,0.526318439844367
37,POLB,258.0,0.1266742318999629,0.5469486147561752
38,SOX4,198.5,1.0,1.0
39,COASY,215.0,0.6716490327855084,0.8759477893794035
40,IKBKE,129.0,0.07871299270560422,0.526318439844367
41,STAT5B,109.0,0.02311389681568138,0.37235193005320066
42,SKIV2L,104.0,0.01637553858156497,0.37235193005320066
43,CDKN1B,144.0,0.16969174535776932,0.5927038506205787
44,PPP1R13B,102.5,0.014733444857023622,0.37235193005320066
45,RRP8,193.0,0.9080378862562049,1.0
46,ACLY,157.5,0.3045196909933203,0.7417997090090407
