,Gene,U,pval,adj_pvals
0,CEBPD,220.0,0.5810672105592795,0.8240589531567962
1,EED,230.0,0.41880854392842093,0.7354563377524681
2,HSPA4,270.0,0.06648435104210446,0.3496031043562347
3,MTA1,245.0,0.23267937351869394,0.5584304964448654
4,DNMT3A,132.0,0.09273457239445591,0.3874980346482622
5,RALB,219.0,0.5987769201960162,0.8266300845183941
6,ZFP36,248.0,0.20391216085864194,0.533133470848293
7,CASP3,198.0,1.0,1.0
8,CAST,186.0,0.7678693450669731,0.9334100090684245
9,HMOX1,231.0,0.4041928685005086,0.7303562257074827
10,MCM3,171.0,0.4964042468530516,0.7868459847433289
11,TEX10,247.0,0.21319866517955166,0.5482251390331329
12,MYCBP2,183.0,0.7097721797596039,0.8929391938911146
13,PLCB3,182.0,0.6907566615121672,0.8881157076585007
14,PIK3R4,205.0,0.8675028090454214,0.9902227186177006
15,RRAGA,188.5,0.8173111040682794,0.9659131229897848
16,GNB5,162.0,0.3622134844502446,0.7033855216710144
17,CALM3,225.0,0.4964042468530516,0.7868459847433289
18,PMM2,149.0,0.21319866517955166,0.5482251390331329
19,PNKP,213.0,0.7097721797596039,0.8929391938911146
20,PEX11A,173.0,0.5294632528012939,0.7891363130923744
21,PIH1D1,269.0,0.07037682414434905,0.35415434085543396
22,PARP1,112.0,0.028201427592094954,0.21997113521834066
23,NFE2L2,145.0,0.17782460227288033,0.5043752355376242
24,DNAJB6,231.0,0.4041928685005086,0.7303562257074827
25,DDX42,128.0,0.07445432739566725,0.36296484605387785
26,PSMD10,151.0,0.23267937351869394,0.5584304964448654
27,TOMM70,252.0,0.16970580338281527,0.5043752355376242
28,PSMD2,177.0,0.5987769201960162,0.8266300845183941
29,G3BP1,199.0,0.9897608888027161,1.0
30,KAT6A,91.0,0.006267153873087188,0.16302945165671917
31,SPTAN1,167.0,0.43373066072581457,0.7354563377524681
32,MAPKAPK5,230.0,0.41880854392842093,0.7354563377524681
33,INPP1,203.0,0.9080499494872015,0.9905999448951289
34,STAP2,251.0,0.17782460227288033,0.5043752355376242
35,PSMB8,271.0,0.06277095864768725,0.33766446720824866
36,MRPS16,144.0,0.16970580338281527,0.5043752355376242
37,POLB,234.0,0.3622134844502446,0.7033855216710144
38,SOX4,198.0,1.0,1.0
39,COASY,215.0,0.6719343085196707,0.8710948930393515
40,IKBKE,144.0,0.16970580338281527,0.5043752355376242
41,STAT5B,112.0,0.028201427592094954,0.21997113521834066
42,SKIV2L,87.0,0.004566361332691862,0.16302945165671917
43,CDKN1B,152.0,0.24287981051924,0.5655112006119618
44,PPP1R13B,90.0,0.005795500698235304,0.16302945165671917
45,RRP8,143.0,0.16186814263207427,0.5043752355376242
46,ACLY,155.0,0.27535214705005073,0.6165780134900657
47,CDK4,265.0,0.08785694870412951,0.3874980346482622
48,MSH6,170.0,0.4802972042742021,0.775100315863195
49,EXOSC4,257.0,0.13323107282522215,0.4723647127439694
50,PAK4,264.0,0.09273457239445591,0.3874980346482622
51,VDAC1,105.0,0.017590004183371293,0.19600290375756585
52,MRPL12,224.0,0.5127949259545199,0.7868459847433289
53,CAPN1,171.0,0.4964042468530516,0.7868459847433289
54,CLTB,239.0,0.2985782174190261,0.643938275355319
55,DRAP1,227.0,0.4644793130390542,0.7681141996546904
56,PTPN1,158.0,0.3106682542003675,0.6461899687367644
57,PRKACA,107.0,0.02018964725706071,0.20540771557183507
58,FOS,165.0,0.4041928685005086,0.7303562257074827
59,PTPN6,195.0,0.948838148950299,0.9934144378271587
60,TFDP1,238.0,0.3106682542003675,0.6461899687367644
61,NNT,162.0,0.3622134844502446,0.7033855216710144
62,P4HA2,202.0,0.9284205395352744,0.9920109874486494
63,PHKB,130.0,0.08318837823372353,0.37798214576099626
64,SMC3,227.0,0.4644793130390542,0.7681141996546904
65,APBB2,139.0,0.13323107282522215,0.4723647127439694
66,LRPAP1,244.0,0.24287981051924,0.5655112006119618
67,STXBP1,194.0,0.9284205395352744,0.9920109874486494
68,ETFB,196.0,0.9692894100597967,0.9991793918678081
69,CRYZ,223.0,0.5294632528012939,0.7891363130923744
70,SMC1A,111.0,0.026409314189791904,0.21997113521834066
71,OXCT1,266.0,0.08318837823372353,0.37798214576099626
72,TIMP2,154.0,0.2642140611342779,0.6061381402492259
73,PTK2,167.0,0.43373066072581457,0.7354563377524681
74,GRB10,81.0,0.0027885893180849375,0.14500664454041673
75,TIMELESS,249.0,0.19492357717693687,0.5242772075793474
76,AKT1,294.0,0.014240596416140122,0.19600290375756585
77,SDHB,220.0,0.5810672105592795,0.8240589531567962
78,FBXL12,209.0,0.7875474996229869,0.9450569995475842
79,RFC2,291.0,0.017590004183371293,0.19600290375756585
80,USP14,192.0,0.8877396538403752,0.9905999448951289
81,APP,213.0,0.7097721797596039,0.8929391938911146
82,KLHL21,149.0,0.21319866517955166,0.5482251390331329
83,PLA2G4A,198.0,1.0,1.0
84,PRKCD,137.0,0.1204675335555139,0.4510304456318441
85,FBXO7,215.0,0.6719343085196707,0.8710948930393515
86,DDB2,218.0,0.6167274014648405,0.8390361159463527
87,ETS1,172.0,0.5127949259545199,0.7868459847433289
88,RHEB,202.0,0.9284205395352744,0.9920109874486494
89,MRPL19,249.0,0.19492357717693687,0.5242772075793474
90,NPC1,202.0,0.9284205395352744,0.9920109874486494
91,GADD45A,206.0,0.8473524274124318,0.9815864753193516
92,KDM3A,257.0,0.13323107282522215,0.4723647127439694
93,CHEK2,167.0,0.43373066072581457,0.7354563377524681
94,PAFAH1B1,143.0,0.16186814263207427,0.5043752355376242
95,FHL2,206.0,0.8473524274124318,0.9815864753193516
96,PYGL,211.0,0.7483396960554589,0.9192204140523748
97,TUBB6,142.0,0.15430686720109812,0.5043752355376242
98,FBXO21,195.0,0.948838148950299,0.9934144378271587
99,EGR1,238.0,0.3106682542003675,0.6461899687367644
100,PDGFA,113.0,0.03009737111136745,0.22358047111301535
101,CCL2,155.0,0.27535214705005073,0.6165780134900657
102,PCCB,201.0,0.948838148950299,0.9934144378271587
103,TOP2A,193.0,0.9080499494872015,0.9905999448951289
104,PYCR1,122.0,0.052646476394086095,0.31879842701824657
105,BAD,148.0,0.20391216085864194,0.533133470848293
106,LAP3,219.0,0.5987769201960162,0.8266300845183941
107,NFKBIE,234.0,0.3622134844502446,0.7033855216710144
108,FDFT1,220.0,0.5810547557782825,0.8240589531567962
109,CCND1,220.0,0.5810672105592795,0.8240589531567962
110,MTF2,260.0,0.11445525709054205,0.4390578714620793
111,AXIN1,220.0,0.5810672105592795,0.8240589531567962
112,RFNG,226.0,0.4802972042742021,0.775100315863195
113,CSNK1E,161.0,0.3488502403235172,0.6977004806470344
114,TGFB3,180.0,0.6533154273221111,0.8686125567805341
115,SMAD3,150.0,0.22278664659424452,0.5575623027064515
116,MKNK1,151.0,0.23267937351869394,0.5584304964448654
