,Edge,U,pval,adj_pvals
0,EED;SUZ12,348.0,0.6323076977898076,1.0
1,EED;EZH2,356.5,0.7345004727479079,1.0
2,EED;MTF2,310.5,0.2786005734944432,1.0
3,EED;HDAC2,324.0,0.38770003544356824,1.0
4,EED;DNMT1,329.0,0.43362599455199724,1.0
5,HSPA4;FKBP4,394.5,0.7956665954583257,1.0
6,HSPA4;STUB1,403.5,0.6863264631801078,1.0
7,HSPA4;HSPB1,334.5,0.4875700271719109,1.0
8,HSPA4;DNAJB1,384.5,0.9227060125062538,1.0
9,HSPA4;DNAJB6,383.0,0.9419978247954094,1.0
10,HSPA4;DNAJA3,413.0,0.5772384196414239,1.0
11,HSPA4;ERBB2,399.0,0.7406715478270367,1.0
12,HSPA4;TJP1,391.5,0.8338253432950287,1.0
13,HSPA4;EIF4G1,403.0,0.6925115474864201,1.0
14,HSPA4;HSPA8,381.0,0.967719067534476,1.0
15,HSPA4;AKT1,379.5,0.9871131185981877,1.0
16,HSPA4;UBQLN2,389.5,0.8589862949790728,1.0
17,HSPA4;SRC,399.5,0.7345075873861528,1.0
18,HSPA4;CYCS,374.5,0.961370000074696,1.0
19,HSPA4;HIF1A,361.0,0.7899478111289463,1.0
20,HSPA4;DNAJB2,436.0,0.3525804489449996,1.0
21,HSPA4;HDAC6,357.0,0.7406645896483355,1.0
22,HSPA4;HSPD1,419.0,0.512952261546757,1.0
23,HSPA4;BECN1,390.0,0.8526584975199161,1.0
24,HSPA4;HSPA1A,412.0,0.5877982412440111,1.0
25,HSPA4;GAPDH,380.5,0.9742417900839792,1.0
26,HSPA4;CASP3,384.0,0.9292072729244716,1.0
27,HSPA4;BAG3,386.5,0.8971053839281772,1.0
28,MTA1;HDAC2,380.5,0.9742442979253245,1.0
29,POLE2;POLG2,379.5,0.9871253060917362,1.0
30,POLE2;MCM3,418.0,0.5237250715452486,1.0
31,POLE2;CDC45,463.5,0.17018690153012772,0.9647483217424833
32,POLE2;ORC1,448.5,0.258524373913821,1.0
33,POLE2;TIMELESS,413.0,0.5775882441620601,1.0
34,RALB;RALA,418.0,0.5235170152845803,1.0
35,RALB;MAPK9,419.0,0.5131928264946359,1.0
36,RALB;RHOA,409.0,0.6223034681413308,1.0
37,RALB;RALGDS,418.5,0.5183379005607842,1.0
38,ZFP36;FOS,305.5,0.24525905296174566,1.0
39,ZFP36;MAPKAPK2,338.5,0.52917134249408,1.0
40,CASP3;HSPB1,375.0,0.9678210441760605,1.0
41,CASP3;PARP2,422.5,0.4774183065779546,1.0
42,CASP3;PAK1,397.0,0.7652831359323454,1.0
43,CASP3;APP,416.5,0.5397974826610861,1.0
44,CASP3;BAX,388.5,0.8718199696482285,1.0
45,CASP3;BIRC5,439.0,0.3289092513423867,1.0
46,CASP3;CYCS,396.5,0.7714417654928808,1.0
47,CASP3;CASP2,420.5,0.497851034985327,1.0
48,CASP3;BIRC2,425.0,0.4521638435969163,1.0
49,CASP3;CDKN1A,388.5,0.8717917017609613,1.0
50,CASP3;PRKCD,370.0,0.9036588242824335,1.0
51,CASP3;GAPDH,379.5,0.9871262008668243,1.0
52,CASP3;BECN1,425.0,0.4530138532216438,1.0
53,CASP3;CASP7,435.0,0.36084945729797036,1.0
54,CASP3;PARP1,397.5,0.7590259888622464,1.0
55,CASP3;MYC,367.0,0.8654428039077373,1.0
56,CASP3;CFLAR,465.0,0.16277808282772577,0.9647483217424833
57,CASP3;DFFA,399.0,0.7394311617490907,1.0
58,CASP3;TJP1,397.5,0.759107192327454,1.0
59,CASP3;AKT1,377.0,0.9935616379046002,1.0
60,CASP3;CDK1,419.0,0.5133627690901708,1.0
61,CASP3;SPTAN1,391.0,0.84016598765254,1.0
62,CAST;CAPN1,394.5,0.7961538706576701,1.0
63,MCM3;GMNN,443.0,0.296862098811434,1.0
64,MCM3;RPA1,429.0,0.4134266966402024,1.0
65,MCM3;TOPBP1,460.5,0.1846928600183061,0.9668672680341771
66,MCM3;CDK2,556.5,0.003959552909788298,0.6849578397338318
67,MCM3;ORC1,498.5,0.05259375954219396,0.8865736440800634
68,MCM3;RPA2,434.5,0.3652155193926193,1.0
69,MCM3;PCNA,461.0,0.1824263875228338,0.9647483217424833
70,MCM3;CHEK1,506.0,0.039076498410426146,0.8336319660890911
71,MCM3;CDC45,507.5,0.0371560618930928,0.8202563900293887
72,MCM3;RFC5,437.5,0.34041077420848587,1.0
73,MCM3;TIMELESS,457.0,0.20468308034441318,1.0
74,MCM3;CCNA2,544.0,0.007489082130491113,0.8202563900293887
75,TEX10;RUVBL1,388.0,0.8781910544732043,1.0
76,MYCBP2;SKP1,435.0,0.3618798143109856,1.0
77,MYCBP2;MYC,399.5,0.7347278580476015,1.0
78,MYCBP2;LRPAP1,435.0,0.36195990094811703,1.0
79,PLCB3;GNA11,378.0,1.0,1.0
80,PLCB3;GNAI2,438.0,0.33691969049997805,1.0
81,PLCB3;PRKCD,405.0,0.6689122598586648,1.0
82,PIK3R4;PIK3C3,414.0,0.5667704232848985,1.0
83,PIK3R4;ATG3,511.0,0.032425229604578734,0.8202563900293887
84,PIK3R4;BECN1,391.0,0.8401089780888942,1.0
85,RRAGA;NPRL2,378.0,1.0,1.0
86,RRAGA;RHEB,337.5,0.5186695125862608,1.0
87,GNB5;CDK7,389.0,0.8654131438332546,1.0
88,GNB5;MNAT1,428.5,0.41953416341166605,1.0
89,GNB5;CCNH,367.0,0.8653834641371803,1.0
90,GNB5;PCNA,395.0,0.7900219870163221,1.0
91,GNB5;GNAI2,295.0,0.18300532876533304,0.9647483217424833
92,GNB5;GNAS,365.5,0.8464845198153046,1.0
93,CALM3;PIK3C3,295.0,0.18230438562130624,0.9647483217424833
94,CALM3;IQGAP1,330.5,0.4471832873377024,1.0
95,CALM3;PHKB,496.0,0.0555051531075208,0.8865736440800634
96,CALM3;PHKG2,496.0,0.0555051531075208,0.8865736440800634
97,CALM3;CREB1,274.0,0.09419100343815838,0.923167728776632
98,CALM3;SRC,317.5,0.3318510627501847,1.0
99,CALM3;SPTAN1,297.5,0.19627645525860093,0.9899221871125059
100,CALM3;NRAS,289.0,0.15250213976752783,0.9647483217424833
101,CALM3;CCP110,239.5,0.025842243627592645,0.8202563900293887
102,CALM3;PRKACA,267.0,0.07386262121281148,0.9146807743001042
103,PMM2;HK1,473.5,0.1253150917428448,0.9473564122353721
104,PNKP;POLB,284.0,0.13126261414939105,0.9473564122353721
105,PIH1D1;RUVBL1,261.5,0.06101335385718708,0.8874669651954483
106,PARP1;PARP2,433.0,0.3786054642364749,1.0
107,PARP1;DDB2,552.0,0.005091847923677103,0.7241739269229657
108,PARP1;POLB,519.5,0.022762224707308938,0.8202563900293887
109,PARP1;CYCS,414.0,0.5665221883122491,1.0
110,PARP1;SMAD3,422.5,0.4770746548762549,1.0
111,PARP1;DNMT1,518.0,0.024271893522912674,0.8202563900293887
112,PARP1;TIMELESS,517.5,0.024535380110757583,0.8202563900293887
113,PARP1;TP53BP1,490.5,0.0700204686076605,0.9146807743001042
114,PARP1;HDAC2,536.5,0.010637006577719257,0.8202563900293887
115,PARP1;CDKN1A,420.0,0.5027622557633266,1.0
116,PARP1;BRCA1,447.0,0.2674655840086385,1.0
117,PARP1;CHEK1,514.0,0.028524136454762802,0.8202563900293887
118,PARP1;CASP7,450.0,0.24787385966705588,1.0
119,PARP1;TIPARP,414.0,0.5611979971917069,1.0
120,PARP1;PCNA,461.0,0.18159595441583487,0.9647483217424833
121,PARP1;RPA2,507.0,0.037808692977917134,0.8202563900293887
122,NFE2L2;JUN,263.0,0.06457400064777283,0.9146807743001042
123,NFE2L2;SQSTM1,283.0,0.1271940401784069,0.9473564122353721
124,NFE2L2;NOTCH1,259.0,0.05575470586283154,0.8865736440800634
125,NFE2L2;AKT1,259.5,0.05677889487950216,0.8865736440800634
126,NFE2L2;MYC,241.5,0.028102816990378643,0.8202563900293887
127,DNAJB6;STUB1,411.5,0.5937907461373946,1.0
128,DNAJB6;BAG3,409.0,0.6215936707848646,1.0
129,DNAJB6;HSPA1A,438.0,0.33524060311797876,1.0
130,DNAJB6;HSPA8,407.5,0.6394459230339175,1.0
131,HEATR1;CEBPZ,359.0,0.7652451135006028,1.0
132,HEATR1;DDX10,345.0,0.5999140302894594,1.0
133,HEATR1;EXOSC4,370.0,0.9036788157500506,1.0
134,HEATR1;DNTTIP2,382.0,0.9547374914812655,1.0
135,HEATR1;RPS6,389.5,0.8591376363465296,1.0
136,HEATR1;RRP12,403.5,0.6866280732895539,1.0
137,HEATR1;RPS5,376.0,0.9806876644811345,1.0
138,HEATR1;RPP38,410.0,0.6111933253651344,1.0
139,HEATR1;UTP14A,433.5,0.37095346439206023,1.0
140,PSMD10;PSMD4,422.0,0.4821080116449259,1.0
141,PSMD10;USP14,424.0,0.4618908429400629,1.0
142,PSMD10;CDK4,403.0,0.6925764651714297,1.0
143,PSMD10;PSMD9,361.5,0.7944599818051671,1.0
144,PSMD10;PSMD2,405.0,0.6675663034657286,1.0
145,PSMD2;USP14,313.0,0.2961798164273928,1.0
146,PSMD2;PSMB10,340.5,0.550201596901521,1.0
147,PSMD2;PSMD4,402.5,0.6951224641194966,1.0
148,PSMD2;PSMD9,346.0,0.6072430476781581,1.0
149,G3BP1;RASA1,383.0,0.9420873206141559,1.0
150,G3BP1;HDAC6,417.0,0.5342949719561403,1.0
151,G3BP1;ELAVL1,379.5,0.9871143747914168,1.0
152,G3BP1;EIF4G1,442.0,0.3052438048399483,1.0
153,SPTAN1;STXBP1,381.0,0.9678076224890202,1.0
154,MAPKAPK5;HSPB1,341.0,0.5558838758621734,1.0
155,MAPKAPK5;DNAJB1,377.0,0.9935617274319123,1.0
156,MRPS16;OXA1L,336.0,0.5022023038938557,1.0
157,MRPS16;PSMG1,401.5,0.7102910305469007,1.0
158,MRPS16;MRPL12,397.0,0.7631998541192878,1.0
159,MRPS16;MRPS2,326.0,0.40444985373690123,1.0
160,MRPS16;MRPL19,307.5,0.2390614322236181,1.0
161,MRPS16;RPS5,320.0,0.35339197202376926,1.0
162,MRPS16;POLR1C,326.5,0.4099887999932498,1.0
163,POLB;PARP2,426.5,0.43851496368374,1.0
164,POLB;LIG1,386.5,0.8972975550578185,1.0
165,SOX4;EZH2,392.0,0.8275821779560485,1.0
166,BUB1B;ZW10,378.0,1.0,1.0
167,BUB1B;AURKA,369.5,0.8966860075037355,1.0
168,BUB1B;CCNB1,406.0,0.6567197065006176,1.0
169,BUB1B;PPP2R5A,438.0,0.33675165326339274,1.0
170,BUB1B;CENPE,403.0,0.6913072183021545,1.0
171,BUB1B;PLK1,389.0,0.8648364589277562,1.0
172,BUB1B;KIF14,405.0,0.6676801874383211,1.0
173,BUB1B;JUN,378.5,1.0,1.0
174,BUB1B;AURKB,405.0,0.6670787883376561,1.0
175,BUB1B;CDC20,374.0,0.9546643088248499,1.0
176,BUB1B;BRCA1,387.0,0.8908512610861212,1.0
177,BUB1B;CCNB2,436.0,0.35222406602347534,1.0
178,BUB1B;BIRC5,371.5,0.9225387295994041,1.0
179,BUB1B;KIF2C,385.5,0.908971725470723,1.0
180,BUB1B;TOP2A,408.5,0.6253360115263343,1.0
181,BUB1B;CHEK1,349.0,0.6453236781447161,1.0
182,BUB1B;CCNA2,354.0,0.7041175840536489,1.0
183,BUB1B;KIF20A,402.5,0.6949574183038567,1.0
184,BUB1B;UBE2C,401.0,0.7119316316420898,1.0
185,BUB1B;CDK1,409.0,0.6220122529975397,1.0
186,BUB1B;NUSAP1,383.5,0.9353799012005385,1.0
187,BUB1B;MELK,369.5,0.8966209204627673,1.0
188,BUB1B;RAE1,444.0,0.29010870688106427,1.0
189,COASY;HMGCS1,298.0,0.1992748599578924,0.9899221871125059
190,SKIV2L;EXOSC4,328.5,0.4288750637989067,1.0
191,SKIV2L;WDR61,427.5,0.4290420235588245,1.0
192,CDKN1B;CCND1,222.0,0.012048217602476853,0.8202563900293887
193,CDKN1B;CDK4,261.5,0.06094136462865897,0.8874669651954483
194,CDKN1B;MYC,222.5,0.012330173945078678,0.8202563900293887
195,CDKN1B;CCND3,262.0,0.062059641135612555,0.8925431534110569
196,CDKN1B;CDKN1A,232.5,0.019166830126430452,0.8202563900293887
197,CDKN1B;CCNB1,271.0,0.08558959245349175,0.9154276806164109
198,CDKN1B;CCNB2,268.5,0.07854392578012782,0.9146807743001042
199,CDKN1B;CDK7,290.5,0.1604021184654495,0.9647483217424833
200,CDKN1B;DDB2,281.5,0.12137197636780944,0.9473564122353721
201,CDKN1B;STMN1,214.0,0.00833270086949818,0.8202563900293887
202,CDKN1B;FOXO3,248.5,0.037364878143338526,0.8202563900293887
203,CDKN1B;RHOA,244.0,0.031231973878222685,0.8202563900293887
204,CDKN1B;AKT1,248.5,0.03738604120299231,0.8202563900293887
205,CDKN1B;CDK2,233.0,0.01957708469653938,0.8202563900293887
206,CDKN1B;CDK1,271.0,0.08567231386640749,0.9154276806164109
207,CDKN1B;CCNE2,249.0,0.03780067112661864,0.8202563900293887
208,CDKN1B;SKP1,259.5,0.05679612407387906,0.8865736440800634
209,CDKN1B;CCNA2,242.0,0.028725939132284235,0.8202563900293887
210,RRP8;SUV39H1,388.5,0.8718270336990769,1.0
211,RRP8;EBNA1BP2,358.5,0.7592142553602981,1.0
212,ACLY;PCK2,378.0,1.0,1.0
213,ACLY;HMGCS1,371.5,0.9228187193693229,1.0
214,ACLY;ACAA1,419.5,0.5076329618612726,1.0
215,ACLY;SDHB,400.5,0.7225242732004795,1.0
216,CDK4;CCND1,245.0,0.03230960455755524,0.8202563900293887
217,CDK4;CCNB1,301.0,0.21631476118010373,1.0
218,CDK4;CDK2,269.0,0.07931997339633716,0.9146807743001042
219,CDK4;CCNE2,304.0,0.2348462272983166,1.0
220,CDK4;RB1,306.0,0.24730616354539314,1.0
221,CDK4;CCNA2,279.0,0.11152082457679925,0.9473564122353721
222,CDK4;CCND3,347.0,0.6211785902424556,1.0
223,CDK4;CDKN1A,288.0,0.14728099674896122,0.9647483217424833
224,CDK4;BRCA1,336.0,0.501628501291599,1.0
225,CDK4;BIRC5,449.5,0.2510905784740243,1.0
226,CDK4;MYC,235.0,0.021361487531077066,0.8202563900293887
227,CDK4;PCNA,324.5,0.390961557699377,1.0
228,CDK4;CDC25A,315.5,0.31614241707171575,1.0
229,CDK4;SMAD3,391.0,0.839860495184412,1.0
230,MSH6;RFC2,408.5,0.627614140949065,1.0
231,MSH6;RPA1,432.5,0.3825969727947295,1.0
232,MSH6;PCNA,437.5,0.3406462477051778,1.0
233,MSH6;CHEK2,413.0,0.577190649242767,1.0
234,MSH6;BRCA1,445.5,0.2794581830126257,1.0
235,EXOSC4;SUPV3L1,421.5,0.48772137838315344,1.0
236,PAK4;NCK2,396.0,0.7775398605996406,1.0
237,PAK4;ITGB5,383.5,0.9356354517343934,1.0
238,PAK4;NCK1,369.0,0.8908452231622856,1.0
239,PAK4;CDC42,389.0,0.8654409507275244,1.0
240,VDAC1;FIS1,392.0,0.8271869639100708,1.0
241,VDAC1;SLC25A4,360.0,0.7774373081603857,1.0
242,VDAC1;BAX,358.5,0.7588503088614206,1.0
243,VDAC1;CYCS,321.0,0.35995573518398405,1.0
244,VDAC1;HSPD1,342.5,0.5716200117506942,1.0
245,VDAC1;ACBD3,378.0,1.0,1.0
246,VDAC1;SQSTM1,354.0,0.7042589978553377,1.0
247,VDAC1;GAPDH,319.0,0.3443100827936647,1.0
248,VDAC1;HK1,333.0,0.4723970056772787,1.0
249,MRPL12;OXA1L,473.0,0.1223607163637187,0.9473564122353721
250,MRPL12;MRPS2,397.5,0.7568153462716675,1.0
251,MRPL12;MRPL19,516.0,0.024758929692443303,0.8202563900293887
252,MRPL12;RPS5,416.5,0.5394308207035439,1.0
253,MRPL12;POLR1C,368.5,0.8843610440678381,1.0
254,KIF2C;AURKA,379.5,0.9870103143332207,1.0
255,KIF2C;CCNB1,405.5,0.6623106079394724,1.0
256,KIF2C;CENPE,426.5,0.4357440303522754,1.0
257,KIF2C;CCNB2,466.5,0.15348942751762276,0.9647483217424833
258,KIF2C;MELK,395.5,0.7805008689529457,1.0
259,KIF2C;PLK1,383.0,0.9420155956733217,1.0
260,KIF2C;BIRC5,402.5,0.6973005014736247,1.0
261,KIF2C;AURKB,428.0,0.41823595485103493,1.0
262,KIF2C;UBE2C,410.0,0.6029382550373672,1.0
263,KIF2C;KIF14,417.5,0.5276583883234036,1.0
264,KIF2C;NUSAP1,414.5,0.5569285217333394,1.0
265,KIF2C;CDK1,407.0,0.6446686989245927,1.0
