,Gene,U,pval,adj_pvals
0,EED,319.5,0.3494629126560781,1.0
1,HSPA4,394.0,0.8025541370184637,1.0
2,MTA1,380.5,0.9742442979253245,1.0
3,POLE2,433.5,0.37493149731236863,1.0
4,RALB,426.5,0.4386931824250063,1.0
5,ZFP36,323.0,0.3792688050850149,1.0
6,CASP3,394.0,0.8025621963186417,1.0
7,CAST,394.5,0.7961538706576701,1.0
8,MCM3,500.5,0.04905254650652602,0.7992548616012785
9,TEX10,388.0,0.8781910544732043,1.0
10,MYCBP2,429.5,0.41066612906862543,1.0
11,PLCB3,425.0,0.45306410212723236,1.0
12,PIK3R4,443.0,0.2981003510898884,1.0
13,RRAGA,337.5,0.5186695125862608,1.0
14,GNB5,368.5,0.8845574691326963,1.0
15,CALM3,299.0,0.20531977606831875,1.0
16,PMM2,473.5,0.1253150917428448,0.9477097163813585
17,PNKP,284.0,0.13126261414939105,0.9477097163813585
18,PIH1D1,261.5,0.06101335385718708,0.7992548616012785
19,PARP1,503.0,0.04460868605656338,0.7992548616012785
20,NFE2L2,255.5,0.049049400865473686,0.7992548616012785
21,DNAJB6,421.5,0.4878302692350318,1.0
22,HEATR1,399.5,0.7347917050353532,1.0
23,PSMD10,411.0,0.6000559730614218,1.0
24,PSMD2,344.0,0.5887344607926297,1.0
25,G3BP1,414.0,0.5668782192957027,1.0
26,SPTAN1,379.0,0.9935644115158481,1.0
27,MAPKAPK5,358.5,0.7592077707531775,1.0
28,MRPS16,335.5,0.49805416986602813,1.0
29,POLB,364.0,0.8275963268539545,1.0
30,SOX4,392.0,0.8275821779560485,1.0
31,BUB1B,411.0,0.6000965004993302,1.0
32,COASY,298.0,0.1992748599578924,1.0
33,SKIV2L,377.5,1.0,1.0
34,CDKN1B,238.0,0.02443036970257525,0.7992548616012785
35,RRP8,367.0,0.8654946618886059,1.0
36,ACLY,386.0,0.9036801480721107,1.0
37,CDK4,263.0,0.06473760758902403,0.8019110101350072
38,MSH6,439.0,0.329084029063785,1.0
39,EXOSC4,341.5,0.5612872421410517,1.0
40,PAK4,388.0,0.8781910544732043,1.0
41,VDAC1,341.0,0.5559881943719415,1.0
42,MRPL12,428.5,0.4197605091351716,1.0
43,KIF2C,401.0,0.7166306063405776,1.0
44,CAPN1,373.5,0.948550440291604,1.0
45,CLTB,376.0,0.9806935681745008,1.0
46,DRAP1,332.0,0.4625024832121568,1.0
47,PTPN1,383.0,0.9421226819554852,1.0
48,PRKACA,466.0,0.15810491766457424,0.9477097163813585
49,FOS,480.0,0.10156576313576145,0.9477097163813585
50,TFDP1,474.5,0.12142373416423867,0.9477097163813585
51,PHKB,273.0,0.04840230564238221,0.7992548616012785
52,SMC3,395.5,0.7838850492019044,1.0
53,APBB2,293.0,0.1727795444197885,0.961555725466649
54,LRPAP1,387.0,0.8909341810651629,1.0
55,STXBP1,420.5,0.49806611138291434,1.0
56,ETFB,420.0,0.5028454929326533,1.0
57,CCNE2,433.0,0.37932178367948355,1.0
58,SMC1A,412.5,0.5833248419766863,1.0
59,PTK2,337.0,0.513550087453552,1.0
60,TIMELESS,411.0,0.600081304148692,1.0
61,AKT1,291.0,0.1629066489005505,0.9477097163813585
62,HAT1,319.0,0.34456574524249306,1.0
63,SDHB,364.5,0.833852660246764,1.0
64,FBXL12,444.5,0.28687820311333,1.0
65,RFC2,461.0,0.18323664265868878,0.9772620941796735
66,USP14,412.0,0.588895058240103,1.0
67,APP,318.5,0.341217113523127,1.0
68,PRKCD,464.0,0.1678235956091989,0.9477097163813585
69,FBXO7,269.5,0.08139116983049648,0.8903144816325214
70,DDB2,294.5,0.18058426467146393,0.9766810934343965
71,RHEB,348.5,0.6399023842797248,1.0
72,MRPL19,289.0,0.1533827184264519,0.9477097163813585
73,NPC1,353.0,0.6925683527067609,1.0
74,GADD45A,485.0,0.0857855099489669,0.8903144816325214
75,CHEK2,411.5,0.5944941989420922,1.0
76,PAFAH1B1,339.0,0.5339761943499528,1.0
77,FHL2,342.5,0.5721553795747274,1.0
78,TUBB6,380.0,0.9806882014043394,1.0
79,FBXO21,375.0,0.9678264081523752,1.0
80,KIF20A,325.5,0.4015579223875433,1.0
81,PCCB,407.5,0.6398000639610547,1.0
82,TOP2A,290.0,0.1580644687445908,0.9477097163813585
83,BAD,351.0,0.6689944891773525,1.0
84,NFKBIE,351.0,0.6690290937523635,1.0
85,FDFT1,443.5,0.2943773615900016,1.0
86,CCND1,413.0,0.5778526880505068,1.0
87,MTF2,444.0,0.2906723675466325,1.0
88,AXIN1,366.5,0.8591570038679659,1.0
89,RFNG,357.5,0.7469063467071554,1.0
90,CSNK1E,444.5,0.28699207462521015,1.0
91,SMAD3,411.0,0.6000965004993302,1.0
92,MKNK1,345.5,0.60569736386407,1.0
93,POLR1C,446.5,0.27264441459736843,1.0
94,PSMG1,473.0,0.12600801751981333,0.9477097163813585
95,PARP2,405.5,0.6631393878507501,1.0
96,PCK2,378.0,1.0,1.0
97,RAD9A,373.5,0.948551154120517,1.0
98,BECN1,430.0,0.4061000076273321,1.0
99,HIF1A,392.0,0.8275986846650076,1.0
100,ITGB5,306.5,0.2520081646066138,1.0
101,ALDOA,428.0,0.4244955233319805,1.0
102,ACBD3,378.0,1.0,1.0
103,GFPT1,352.0,0.6808204344285134,1.0
104,SMC4,333.0,0.4727481067929149,1.0
105,HDAC2,376.5,0.9871294205131272,1.0
106,IQGAP1,251.0,0.041226940733964816,0.7992548616012785
107,CTNND1,375.5,0.9742604022911083,1.0
108,POLG2,449.0,0.255396381024644,1.0
109,DFFA,399.0,0.7394311617490907,1.0
110,PPP2R5A,324.0,0.38810917460353034,1.0
111,HSPD1,390.5,0.8464866267117869,1.0
112,CDC25B,416.0,0.5451780297419274,1.0
113,RSU1,318.0,0.33696000137560855,1.0
114,CASP7,343.0,0.5778315507287219,1.0
115,EDEM1,473.5,0.1253885995944059,0.9477097163813585
116,EIF4EBP1,446.0,0.27620611356914404,1.0
