,Gene,U,pval,adj_pvals
0,CEBPD,478.0,0.8568950259293664,1.0
1,XPO7,492.0,0.702140937673082,0.9923845958382836
2,EED,440.0,0.7237423406199193,0.9923845958382836
3,HSPA4,480.0,0.8343072932755606,1.0
4,MTA1,488.5,0.7400276007921729,1.0
5,PPARD,387.0,0.2635398517552403,0.9678870968385437
6,LYPLA1,463.5,0.9884890080117521,1.0
7,POLE2,485.0,0.77846842519826,1.0
8,TIMM9,490.0,0.7237353342347218,0.9923845958382836
9,RALB,432.5,0.644308973489716,0.9923845958382836
10,ZFP36,404.0,0.38275357438790214,0.9678870968385437
11,CASP3,490.0,0.7237563517924034,0.9923845958382836
12,CAST,508.0,0.539617707922067,0.9678870968385437
13,GLRX,399.5,0.3483126981527187,0.9678870968385437
14,MCM3,406.0,0.39870554241743494,0.9678870968385437
15,TMEM109,500.0,0.6184595312194037,0.9923845958382836
16,TEX10,469.0,0.9597299059159886,1.0
17,MYCBP2,437.0,0.6915378494931768,0.9923845958382836
18,PLCB3,508.0,0.5397946701347136,0.9678870968385437
19,PIK3R4,387.0,0.2635145989470543,0.9678870968385437
20,ZNF131,584.5,0.08597998079444975,0.923978861622522
21,RRAGA,467.5,0.9769813245704371,1.0
22,GNB5,584.5,0.0860256181510624,0.923978861622522
23,CALM3,590.0,0.07248000582918145,0.9148551920091698
24,PMM2,363.5,0.1450651527610302,0.9678870968385437
25,PNKP,515.5,0.47068808950150465,0.9678870968385437
26,PIH1D1,587.5,0.07837197952819865,0.9148551920091698
27,PARP1,458.0,0.9252904076152073,1.0
28,NFE2L2,451.5,0.8512343915372134,1.0
29,PDHX,529.0,0.35961928258068243,0.9678870968385437
30,DNAJB6,329.0,0.05056608103942009,0.9148551920091698
31,TCTN1,424.0,0.558981067687722,0.9678870968385437
32,HEATR1,367.0,0.15955823082033715,0.9678870968385437
33,DDX42,386.5,0.2603393469557307,0.9678870968385437
34,PUF60,473.0,0.913827069605879,1.0
35,PSMD10,459.5,0.942496718007271,1.0
36,PSMD2,418.5,0.5068911454787594,0.9678870968385437
37,G3BP1,354.0,0.11089946356108896,0.9590743256845186
38,KAT6A,383.0,0.23968056082796585,0.9678870968385437
39,MVP,422.5,0.5431473225888698,0.9678870968385437
40,SPTAN1,506.5,0.5541805475501436,0.9678870968385437
41,MAPKAPK5,462.5,0.9769791944652237,1.0
42,NR1H2,396.0,0.3226844757779902,0.9678870968385437
43,SLC37A4,262.5,0.003542974724579788,0.9148551920091698
44,MRPS16,459.0,0.9367587331908838,1.0
45,IARS2,525.5,0.3857607509693135,0.9678870968385437
46,LSM5,546.0,0.24548353821675584,0.9678870968385437
47,POLB,395.0,0.31603589974655966,0.9678870968385437
48,SOX4,512.0,0.5023349543605022,0.9678870968385437
49,BUB1B,541.0,0.27606750722064355,0.9678870968385437
50,COASY,349.5,0.09671873431604705,0.949911862639756
51,CHERP,413.5,0.461872094583172,0.9678870968385437
52,SKIV2L,406.5,0.4027238525045067,0.9678870968385437
53,CDKN1B,384.0,0.2455147469690513,0.9678870968385437
54,FAT1,564.5,0.15310982183215768,0.9678870968385437
55,SSBP2,506.5,0.5541700698939798,0.9678870968385437
56,RRP8,454.0,0.8796005786696313,1.0
57,ACLY,422.0,0.5397785910335524,0.9678870968385437
58,PPP1R13B,538.0,0.2955740028084316,0.9678870968385437
59,CDK4,394.0,0.30912951408834854,0.9678870968385437
60,MSH6,317.0,0.033347769011182096,0.9148551920091698
61,INTS3,519.0,0.4401881433810457,0.9678870968385437
62,EXOSC4,564.0,0.15529923453157246,0.9678870968385437
63,PAK4,476.0,0.8795910999153108,1.0
64,PPIE,354.5,0.11244319680439183,0.9590743256845186
65,VDAC1,476.0,0.8795974193335832,1.0
66,MRPL12,569.0,0.13529306092540813,0.9678870968385437
67,DUSP6,302.0,0.019058292952059068,0.9148551920091698
68,KIF2C,447.0,0.8006731798507438,1.0
69,PRPF4,435.0,0.6703853141839918,0.9923845958382836
70,CAPN1,506.0,0.5590226475377582,0.9678870968385437
71,CLTB,490.0,0.7237213198660792,0.9923845958382836
72,COG7,442.5,0.7509445263861105,1.0
73,HTATSF1,433.5,0.6546354446387534,0.9923845958382836
74,PLP2,429.5,0.6131463071151704,0.9913497939328967
75,BZW2,576.5,0.10909195686584139,0.9590743256845186
76,DRAP1,340.0,0.07216286817214455,0.9148551920091698
77,CHMP6,472.5,0.9195580880006479,1.0
78,TSTA3,549.0,0.22826262502290984,0.9678870968385437
79,PTPN1,505.0,0.5687782555437444,0.969790705897951
80,PRKACA,459.5,0.942496718007271,1.0
81,FOS,471.0,0.9367587331908838,1.0
82,TFDP1,544.0,0.25740953642654163,0.9678870968385437
83,P4HA2,498.5,0.6340093612669293,0.9923845958382836
84,PHKB,557.0,0.18682871771969234,0.9678870968385437
85,SMC3,391.0,0.2889885712195792,0.9678870968385437
86,FKBP14,513.0,0.4930853842874292,0.9678870968385437
87,APBB2,325.5,0.04489971268589164,0.9148551920091698
88,LRPAP1,451.0,0.8455772307330962,1.0
89,STXBP1,448.0,0.8118481435452076,1.0
90,ETFB,533.0,0.33015080641657313,0.9678870968385437
91,CCNE2,517.5,0.45314951915796464,0.9678870968385437
92,SMC1A,526.5,0.3788335856249948,0.9678870968385437
93,TIMP2,431.5,0.6339375896265053,0.9923845958382836
94,PTK2,444.0,0.7674301572910827,1.0
95,RAB27A,489.0,0.7345734681076301,0.9977812915747669
96,PLS1,461.5,0.9654779739403938,1.0
97,TIMELESS,492.0,0.7022384488729432,0.9923845958382836
98,AKT1,452.0,0.8568950259293664,1.0
99,HAT1,451.5,0.8507165779585747,1.0
100,SDHB,432.5,0.6443308640712171,0.9923845958382836
101,FBXL12,472.0,0.9252697175102963,1.0
102,RFC2,552.5,0.2094424932982789,0.9678870968385437
103,USP14,483.0,0.8006860787312136,1.0
104,APP,485.0,0.7784712775337735,1.0
105,KLHL21,307.5,0.023501022141747305,0.9148551920091698
106,UGDH,426.5,0.583541500174416,0.969790705897951
107,PRKCD,551.0,0.21741017665614637,0.9678870968385437
108,GTPBP8,600.0,0.05226795455831615,0.9148551920091698
109,FBXO7,523.5,0.40273007250463344,0.9678870968385437
110,DDB2,506.0,0.5590382369670899,0.9678870968385437
111,RHEB,332.0,0.05594000555024606,0.9148551920091698
112,MRPL19,559.0,0.17738389511549424,0.9678870968385437
113,NPC1,475.0,0.8909760480889833,1.0
114,TMCO1,399.5,0.347968189362436,0.9678870968385437
115,ZNF451,332.0,0.05592053881737736,0.9148551920091698
116,GADD45A,416.0,0.4841316147968867,0.9678870968385437
117,CHEK2,415.0,0.4751658849488082,0.9678870968385437
118,COG4,557.0,0.18680541071700973,0.9678870968385437
119,PAFAH1B1,516.5,0.46187801569270515,0.9678870968385437
120,FHL2,330.5,0.053193479787824134,0.9148551920091698
121,DLD,483.0,0.8006809194794744,1.0
122,TUBB6,440.0,0.723717815940901,0.9923845958382836
123,FBXO21,435.0,0.670192364729491,0.9923845958382836
124,EXT1,430.5,0.6237580274004124,0.9923845958382836
125,KIF20A,522.5,0.4109022863302296,0.9678870968385437
126,PCCB,437.5,0.6968885123641563,0.9923845958382836
127,TOP2A,354.0,0.11090890274787323,0.9590743256845186
128,MTHFD2,369.5,0.17050471132134637,0.9678870968385437
129,FEZ2,462.5,0.9769755414800914,1.0
130,PYCR1,376.5,0.2041457016456002,0.9678870968385437
131,BAD,482.0,0.8118432612966828,1.0
132,LAP3,490.5,0.7183422667111578,0.9923845958382836
133,NFKBIE,385.0,0.25142854162526174,0.9678870968385437
134,FDFT1,548.0,0.23398146262063868,0.9678870968385437
135,CTNNAL1,476.0,0.8795800385386721,1.0
136,ARFIP2,489.0,0.7341265401530797,0.9977812915747669
137,YKT6,404.5,0.38669832190414366,0.9678870968385437
138,CCND1,434.0,0.6599325515681624,0.9923845958382836
139,SPRED2,300.0,0.017620685016649634,0.9148551920091698
140,MTF2,456.5,0.9081177659484823,1.0
141,AXIN1,422.0,0.5397946701347136,0.9678870968385437
142,ITGAE,539.5,0.28566976777291386,0.9678870968385437
143,CSNK1E,408.0,0.4150248914806447,0.9678870968385437
144,GALE,459.5,0.9424952000958178,1.0
145,SMAD3,594.5,0.06273926029568412,0.9148551920091698
146,MKNK1,576.5,0.10918102035805732,0.9590743256845186
147,POLR1C,332.0,0.05593676102462338,0.9148551920091698
148,PSMG1,423.0,0.5493379431864512,0.9678870968385437
149,PARP2,531.5,0.3410108051903944,0.9678870968385437
150,STAMBP,451.0,0.8455752146152214,1.0
151,IGF2BP2,409.0,0.42333047507319355,0.9678870968385437
152,PCK2,370.0,0.15916204970701686,0.9678870968385437
153,KIAA0753,521.0,0.42318944361352173,0.9678870968385437
154,IL4R,428.5,0.6035059409231311,0.9860097062969467
155,RAD9A,362.0,0.13922315566153098,0.9678870968385437
156,TXNDC9,405.5,0.3945493453960316,0.9678870968385437
157,BECN1,508.0,0.5398000294632219,0.9678870968385437
158,HIF1A,545.0,0.25142227419526386,0.9678870968385437
159,ALDOA,489.5,0.72911835002805,0.9950696705502512
160,ITGB5,429.5,0.6136019599458948,0.9913497939328967
161,ACBD3,406.0,0.3985932810419085,0.9678870968385437
162,GFPT1,387.5,0.26662649476593636,0.9678870968385437
163,SMC4,436.0,0.6809480846089639,0.9923845958382836
164,HDAC2,459.5,0.942496718007271,1.0
165,IQGAP1,449.5,0.828669745849208,1.0
166,USP22,498.5,0.633609596198005,0.9923845958382836
167,CTNND1,460.5,0.9539805880630913,1.0
168,POLG2,482.5,0.806248258175841,1.0
169,DFFA,369.5,0.17048775344882394,0.9678870968385437
170,EAPP,343.0,0.07954277458816057,0.9148551920091698
171,CREG1,538.5,0.292128326988783,0.9678870968385437
172,PPP2R5A,505.5,0.5638800447888006,0.969790705897951
173,NUDCD3,465.0,1.0,1.0
174,MBNL1,479.0,0.8455752146152214,1.0
175,HSPD1,505.5,0.5639006606117194,0.969790705897951
176,CDC25B,447.0,0.8006860787312136,1.0
177,TIMM22,476.5,0.8739124922473775,1.0
178,YME1L1,469.0,0.9597299059159886,1.0
179,RSU1,426.5,0.5835016833350125,0.969790705897951
180,CASP7,504.0,0.5786139579921701,0.969790705897951
181,EDEM1,426.5,0.583546476479974,0.969790705897951
182,EIF4EBP1,380.5,0.22558106009410284,0.9678870968385437
183,GADD45B,415.0,0.4751600475057468,0.9678870968385437
184,CEP57,401.0,0.3594667806425764,0.9678870968385437
185,ORC1,494.5,0.6756790759533089,0.9923845958382836
186,PHKG2,502.0,0.5984183782027234,0.9805942104052141
187,CFLAR,386.0,0.2574347025941791,0.9678870968385437
188,CDC25A,517.0,0.45751097268580576,0.9678870968385437
189,TRIM13,378.5,0.2146475826487967,0.9678870968385437
190,SMARCD2,519.0,0.44010953393058416,0.9678870968385437
191,RAB4A,496.0,0.6598187366039442,0.9923845958382836
192,UBE2A,420.0,0.5208830015132488,0.9678870968385437
193,SKP1,510.0,0.5208940233857858,0.9678870968385437
194,CHEK1,551.0,0.21741017665614637,0.9678870968385437
195,RFC5,510.0,0.5208885125437924,0.9678870968385437
196,DAG1,474.5,0.896674281722329,1.0
197,EZH2,491.0,0.7129707314016505,0.9923845958382836
198,SNX7,462.0,0.9712231958545853,1.0
199,SNX6,476.5,0.8738992658458431,1.0
200,RPS5,359.5,0.12982412950396688,0.9678870968385437
201,PLSCR1,385.0,0.25135959221716964,0.9678870968385437
202,ACOT9,319.5,0.03639405846987246,0.9148551920091698
203,RAD51C,433.5,0.6546995016019834,0.9923845958382836
204,DAXX,430.5,0.6237763801972049,0.9923845958382836
205,MALT1,416.0,0.4841200583249745,0.9678870968385437
206,ATF5,419.5,0.5162102805587861,0.9678870968385437
207,SCP2,376.0,0.2016405530592107,0.9678870968385437
208,NFKBIA,408.0,0.4150248914806447,0.9678870968385437
209,SLC25A4,535.0,0.31602950158072585,0.9678870968385437
210,EBNA1BP2,471.0,0.9367578988451046,1.0
211,CTTN,472.0,0.9252904076152073,1.0
212,MICALL1,537.0,0.3021767574206178,0.9678870968385437
213,SYNE2,619.5,0.02619834615503338,0.9148551920091698
214,KDM5A,338.0,0.0680094621365518,0.9148551920091698
215,KIF14,484.5,0.7840060224177259,1.0
216,NFATC3,455.5,0.8966824343528854,1.0
217,MACF1,415.0,0.47476850052499675,0.9678870968385437
218,CBR1,495.0,0.6703894158186978,0.9923845958382836
219,NFKBIB,408.0,0.4150187236413668,0.9678870968385437
220,IGF1R,483.0,0.8006860787312136,1.0
221,ATF6,396.0,0.3230429989779515,0.9678870968385437
222,USP1,525.0,0.39067404288841423,0.9678870968385437
223,MPZL1,488.0,0.7450415664126001,1.0
224,UBQLN2,447.0,0.8006860787312136,1.0
225,LSM6,525.0,0.3906803075924017,0.9678870968385437
226,PCBD1,433.0,0.64931835621847,0.9923845958382836
227,ELAVL1,470.0,0.94823920722769,1.0
228,WDTC1,531.5,0.34085754784875766,0.9678870968385437
229,CDC45,587.0,0.07963429250013412,0.9148551920091698
230,CCNH,558.0,0.18206373877239534,0.9678870968385437
231,STAT3,530.0,0.3521159884616385,0.9678870968385437
232,HPRT1,453.5,0.8739042262341583,1.0
233,ABCB6,443.0,0.7564142119599558,1.0
234,GABPB1,479.0,0.8455590828291145,1.0
235,NET1,389.0,0.27591509137843395,0.9678870968385437
236,PAK1,477.5,0.8625592827069182,1.0
237,FOXO3,447.0,0.8006860787312136,1.0
238,CLIC4,477.5,0.8624440014771195,1.0
239,HERPUD1,389.0,0.276029411483379,0.9678870968385437
240,POP4,458.5,0.931020543849783,1.0
241,CCND3,510.0,0.5208940233857858,0.9678870968385437
242,ATP6V1D,529.0,0.35956846022072186,0.9678870968385437
243,PPP2R5E,504.0,0.5786039150194999,0.969790705897951
244,TPD52L2,456.0,0.9022550234299138,1.0
245,ELOVL6,370.0,0.15916204970701686,0.9678870968385437
246,BAX,566.0,0.14710380487164834,0.9678870968385437
247,ARHGEF12,322.0,0.03979972934669518,0.9148551920091698
248,MTFR1,520.5,0.42736057991776966,0.9678870968385437
249,ICMT,464.0,0.9942438214584408,1.0
250,DNAJB2,564.5,0.15319133496676568,0.9678870968385437
251,TICAM1,400.0,0.3521032553640481,0.9678870968385437
252,PGAM1,537.5,0.29881490593205073,0.9678870968385437
253,PSMF1,533.5,0.3265107500686133,0.9678870968385437
254,COPS7A,531.5,0.34085754784875766,0.9678870968385437
255,PIP4K2B,484.0,0.7895274055104096,1.0
256,LRP10,360.0,0.13066510129785358,0.9678870968385437
257,ARPP19,458.5,0.9309129431749817,1.0
258,CANT1,455.5,0.8961346643619209,1.0
259,RRP1B,475.5,0.885288710274603,1.0
260,PWP1,497.5,0.6443177302062981,0.9923845958382836
261,CAT,465.0,1.0,1.0
262,DNTTIP2,399.0,0.34469382753719047,0.9678870968385437
263,PIK3R3,514.0,0.4841316147968867,0.9678870968385437
264,IDE,422.0,0.5397732309612508,0.9678870968385437
265,DUSP3,419.0,0.5115147245025002,0.9678870968385437
266,TXNRD1,477.5,0.8625520861195006,1.0
267,MAP3K4,479.5,0.83993801134462,1.0
268,EIF5,552.0,0.21196376822487373,0.9678870968385437
269,CCNB2,601.0,0.050611853242670216,0.9148551920091698
270,DCK,484.5,0.7839753828230888,1.0
271,NUP62,445.0,0.7784341885784598,1.0
272,TMED10,586.0,0.0820214999732359,0.9148551920091698
273,MAT2A,413.5,0.46162916324822856,0.9678870968385437
274,TM9SF2,524.0,0.3733510656248473,0.9678870968385437
275,NUP85,411.0,0.44020023425918053,0.9678870968385437
276,PLOD3,437.0,0.6915455880275736,0.9923845958382836
277,POLR2K,515.5,0.4706998227687822,0.9678870968385437
278,NVL,645.0,0.009594996023180128,0.9148551920091698
279,RBM34,509.0,0.5302498640848342,0.9678870968385437
280,LIPA,465.0,1.0,1.0
281,TERF2IP,400.5,0.35579787092282467,0.9678870968385437
282,INSIG1,410.0,0.43173254653937143,0.9678870968385437
283,ABL1,412.5,0.4531435465062348,0.9678870968385437
284,CCDC85B,465.0,1.0,1.0
285,RASA1,565.0,0.1511699053002133,0.9678870968385437
286,PNP,372.0,0.18204640305366782,0.9678870968385437
287,MLEC,376.5,0.20357670219373447,0.9678870968385437
288,BIRC5,545.0,0.25142854162526174,0.9678870968385437
289,BIRC2,353.0,0.10771995668450265,0.9590743256845186
290,RUVBL1,462.0,0.9712289010625671,1.0
291,CCNA2,591.0,0.07021925278063376,0.9148551920091698
292,XPNPEP1,531.5,0.34046116127436454,0.9678870968385437
293,AURKB,575.0,0.11417679681231774,0.9597469876977432
294,MYC,537.0,0.3023174141123183,0.9678870968385437
295,SPAG4,593.0,0.06577849612197702,0.9148551920091698
296,AMDHD2,464.0,0.9942444303578891,1.0
297,RAE1,553.0,0.20683013193173394,0.9678870968385437
298,STX4,425.5,0.5736760495101693,0.969790705897951
299,PSMB10,445.0,0.7784712775337735,1.0
300,SENP6,524.5,0.3945180722976609,0.9678870968385437
301,TXLNA,357.0,0.12085111811886774,0.9678870968385437
302,ERBB2,554.0,0.2017001700324873,0.9678870968385437
303,TJP1,545.0,0.25142854162526174,0.9678870968385437
304,CDC42,558.0,0.18206373877239534,0.9678870968385437
305,STUB1,449.0,0.8230586726428345,1.0
306,RB1,458.0,0.9252904076152073,1.0
307,PIK3C3,530.0,0.3521159884616385,0.9678870968385437
308,MPC2,491.5,0.707503278358931,0.9923845958382836
309,CCP110,395.0,0.31604229774366377,0.9678870968385437
310,DDX10,376.0,0.20165843928493632,0.9678870968385437
311,RPP38,437.5,0.6968961300558882,0.9923845958382836
312,BHLHE40,462.0,0.9712250979676701,1.0
313,MYCBP,296.5,0.015292650093374141,0.9148551920091698
314,KCTD5,511.5,0.4964474972743984,0.9678870968385437
315,HMGCR,594.0,0.06377171657709577,0.9148551920091698
316,PIN1,434.5,0.665156791873927,0.9923845958382836
317,BNIP3L,518.0,0.44882351443879576,0.9678870968385437
318,UTP14A,469.0,0.9597299059159886,1.0
319,DDR1,540.0,0.2824461370944129,0.9678870968385437
320,NRAS,469.0,0.959730437858738,1.0
321,DCTD,416.5,0.4885509164314369,0.9678870968385437
322,APPBP2,414.5,0.47068222257934234,0.9678870968385437
323,CASC3,433.0,0.6494828099032126,0.9923845958382836
324,POLR2I,447.0,0.8006809194794744,1.0
325,PCM1,412.0,0.44876353387485024,0.9678870968385437
326,HDAC6,558.0,0.18206373877239534,0.9678870968385437
327,ECD,357.5,0.12256948650256339,0.9678870968385437
328,NUSAP1,518.0,0.44882351443879576,0.9678870968385437
329,GPC1,562.0,0.163843226991927,0.9678870968385437
330,ATF1,329.0,0.050590491952668154,0.9148551920091698
331,RPS6KA1,513.5,0.4886429001826307,0.9678870968385437
332,ATP1B1,421.0,0.5302389870308805,0.9678870968385437
333,TRAP1,400.0,0.3521032553640481,0.9678870968385437
334,OXA1L,391.0,0.28896306868402044,0.9678870968385437
335,PIK3CA,434.0,0.6599367647474952,0.9923845958382836
