,Gene,U,pval,adj_pvals
0,CEBPD,436.0,0.6809640276828397,0.9121458107529955
1,XPO7,480.0,0.8343072932755606,0.948820059019265
2,EED,449.0,0.8230632737581215,0.948820059019265
3,HSPA4,481.0,0.8230632737581215,0.948820059019265
4,MTA1,500.0,0.6186916640289162,0.9121458107529955
5,PPARD,362.0,0.13922315566153098,0.9006993032897492
6,LYPLA1,484.0,0.7895572959167281,0.9422700239335438
7,POLE2,502.0,0.5985006042818031,0.9121458107529955
8,TIMM9,500.0,0.6186916640289162,0.9121458107529955
9,RALB,444.0,0.7674301572910827,0.9367496700613872
10,ZFP36,411.0,0.4402304580916223,0.9121458107529955
11,CASP3,468.0,0.9712300416970219,0.9917489862399167
12,CAST,542.0,0.26976333059343416,0.9121458107529955
13,GLRX,382.0,0.23398146262063868,0.9057674170351044
14,MCM3,376.0,0.2017001700324873,0.9006993032897492
15,TMEM109,494.0,0.6809640276828397,0.9121458107529955
16,TEX10,498.0,0.6391747396381293,0.9121458107529955
17,MYCBP2,416.0,0.4841316147968867,0.9121458107529955
18,PLCB3,486.0,0.7674301572910827,0.9367496700613872
19,PIK3R4,389.0,0.2760738559773438,0.9121458107529955
20,ZNF131,588.0,0.0771922261200318,0.9006993032897492
21,RRAGA,467.0,0.9827356301328026,0.9999766061000448
22,GNB5,572.0,0.12444150922309007,0.9006993032897492
23,CALM3,634.0,0.015064601577717518,0.9006993032897492
24,PMM2,357.0,0.12094450525634767,0.9006993032897492
25,PNKP,507.0,0.5493801817163075,0.9121458107529955
26,PIH1D1,555.0,0.19665204036704242,0.9006993032897492
27,PARP1,475.0,0.8909918050956755,0.9605487861626242
28,NFE2L2,478.0,0.8568950259293664,0.9502851147973853
29,PDHX,489.0,0.7345971059854832,0.9282490663868852
30,DNAJB6,308.0,0.023963911010459336,0.9006993032897492
31,TCTN1,390.0,0.28248431873788615,0.9121458107529955
32,HEATR1,361.0,0.13540673102426548,0.9006993032897492
33,DDX42,388.0,0.26976333059343416,0.9121458107529955
34,PUF60,485.0,0.7784712775337735,0.9367496700613872
35,PSMD10,472.0,0.9252913924296976,0.9793230065861763
36,PSMD2,433.0,0.6495217256524117,0.9121458107529955
37,G3BP1,355.0,0.11418158195433092,0.9006993032897492
38,KAT6A,404.0,0.3827787377773624,0.9121458107529955
39,MVP,419.0,0.5115705546022731,0.9121458107529955
40,SPTAN1,552.0,0.2120785975754751,0.9006993032897492
41,MAPKAPK5,455.0,0.8909918050956755,0.9605487861626242
