,Gene,U,pval,adj_pvals
0,EED,492.0,0.70223095140786,1.0
1,HSPA4,472.5,0.9195612678520129,1.0
2,MTA1,528.5,0.3630973970788891,0.9490536800792776
3,POLE2,454.0,0.8795926798631611,1.0
4,RALB,480.5,0.8286585936092155,1.0
5,ZFP36,396.0,0.3230046114709152,0.9443169346836607
6,CASP3,495.0,0.6704181229815355,1.0
7,CAST,449.5,0.8285380104979385,1.0
8,MCM3,346.0,0.08733560070521099,0.8641304581397828
9,TEX10,398.5,0.3409725003999492,0.9490536800792776
10,MYCBP2,471.5,0.9310187242959349,1.0
11,PLCB3,449.0,0.8230149441396523,1.0
12,PIK3R4,439.5,0.7183422667111578,1.0
13,RRAGA,528.0,0.3671339236096153,0.9490536800792776
14,GNB5,572.0,0.12440665750976351,0.8919722613907574
15,CALM3,546.5,0.24250751992627728,0.9443169346836607
16,PMM2,379.5,0.2200020248252459,0.9443169346836607
17,PNKP,549.5,0.225329454797897,0.9443169346836607
18,PIH1D1,560.5,0.17005224324519164,0.899417720920286
19,PARP1,470.0,0.94823920722769,1.0
20,NFE2L2,481.5,0.8174309924453002,1.0
21,DNAJB6,335.0,0.061689639866002656,0.8641304581397828
22,HEATR1,324.5,0.04341441091389495,0.8641304581397828
23,PSMD10,495.0,0.6703812123963966,1.0
24,PSMD2,452.5,0.8624944726957361,1.0
25,G3BP1,340.0,0.07248378176218036,0.8641304581397828
26,SPTAN1,447.5,0.806258301435537,1.0
27,MAPKAPK5,438.0,0.7022122052695636,1.0
28,MRPS16,479.5,0.839931748192112,1.0
29,POLB,387.0,0.2635209123682022,0.9443169346836607
30,SOX4,514.5,0.47955598936065835,1.0
31,BUB1B,543.0,0.2635524772829728,0.9443169346836607
32,COASY,384.5,0.24803996508153747,0.9443169346836607
33,SKIV2L,385.5,0.25430935718231584,0.9443169346836607
34,CDKN1B,391.0,0.28899494645821666,0.9443169346836607
35,RRP8,416.5,0.4886314048959267,1.0
36,ACLY,366.5,0.15733002840500054,0.899417720920286
37,CDK4,343.0,0.07963031341823126,0.8641304581397828
38,MSH6,369.0,0.16828270313137972,0.899417720920286
39,EXOSC4,411.5,0.44435852568072853,1.0
40,PAK4,458.5,0.9310159946951627,1.0
41,VDAC1,500.0,0.6186777479718588,1.0
42,MRPL12,591.0,0.07011541941231293,0.8641304581397828
43,KIF2C,428.5,0.6035059409231311,1.0
44,CAPN1,547.5,0.23680953904513113,0.9443169346836607
45,CLTB,492.0,0.7022122052695636,1.0
46,DRAP1,450.5,0.8397833053275915,1.0
47,PTPN1,528.5,0.3633450172566679,0.9490536800792776
48,PRKACA,470.0,0.94823920722769,1.0
49,FOS,393.0,0.30231102234462015,0.9443169346836607
50,TFDP1,630.0,0.01761918735485088,0.8641304581397828
51,PHKB,519.5,0.36315862249270436,0.9490536800792776
52,SMC3,384.0,0.24545856876191952,0.9443169346836607
53,APBB2,366.5,0.15736846332414312,0.899417720920286
54,LRPAP1,458.0,0.925287452938047,1.0
55,STXBP1,438.0,0.70223095140786,1.0
56,ETFB,578.5,0.10277044990383828,0.8767822482198686
57,CCNE2,562.0,0.16388223465699214,0.899417720920286
58,SMC1A,540.5,0.27920301024586647,0.9443169346836607
59,PTK2,410.5,0.4359574307666144,1.0
60,TIMELESS,473.0,0.9138361492989218,1.0
61,AKT1,501.0,0.6085588413910685,1.0
62,HAT1,514.5,0.4789622902871774,1.0
63,SDHB,297.0,0.01564750326629266,0.8641304581397828
64,FBXL12,471.5,0.9310023418291618,1.0
65,RFC2,551.5,0.21472033534610613,0.9443169346836607
66,USP14,498.5,0.6340003921148524,1.0
67,APP,430.5,0.6237809679779336,1.0
68,PRKCD,565.5,0.14912090186482313,0.899417720920286
69,FBXO7,431.5,0.633933102500317,1.0
70,DDB2,494.0,0.6809480846089639,1.0
71,RHEB,355.0,0.11416244119476614,0.8854898192376683
72,MRPL19,595.0,0.0617206105040753,0.8641304581397828
73,NPC1,426.0,0.5784682648946804,1.0
74,GADD45A,318.0,0.034553150236032136,0.8641304581397828
75,CHEK2,437.0,0.691568800140732,1.0
76,PAFAH1B1,497.5,0.6438395462161074,1.0
77,FHL2,340.5,0.07349350830722678,0.8641304581397828
78,TUBB6,455.0,0.8909516829058688,1.0
79,FBXO21,436.5,0.6862134850920779,1.0
80,KIF20A,512.0,0.5023236531965163,1.0
81,PCCB,393.5,0.3055317791649139,0.9443169346836607
82,TOP2A,462.5,0.9769801074398654,1.0
83,BAD,441.5,0.740011034534199,1.0
84,NFKBIE,376.5,0.20425340033089667,0.9443169346836607
85,FDFT1,593.5,0.06479686459677789,0.8641304581397828
86,CCND1,365.0,0.1511699053002133,0.899417720920286
87,MTF2,484.5,0.7839976674572784,1.0
88,AXIN1,417.0,0.49317686645561243,1.0
89,CSNK1E,382.5,0.23679094183719707,0.9443169346836607
90,SMAD3,486.5,0.7619209884324354,1.0
91,MKNK1,543.5,0.2604591248646555,0.9443169346836607
92,POLR1C,317.5,0.03393878721863411,0.8641304581397828
93,PSMG1,446.5,0.7944083668702802,1.0
94,PARP2,466.0,0.994244202043241,1.0
95,PCK2,465.0,1.0,1.0
