,Gene,U,pval,adj_pvals
0,DDR2,271.0,0.06277095864768725,0.13505266860563014
1,CCT8,119.0,0.043855169743241364,0.10736955350931505
2,EIF5A,128.0,0.07445432739566725,0.15547815426742279
3,HSPG2,175.0,0.5636065486302271,0.70203622724116
4,LAP3,130.0,0.08318837823372353,0.16859036102684313
5,TCF4,163.0,0.37589290717697466,0.5446611512156163
6,CXCL11,303.0,0.007315424112801501,0.023608868727677573
7,UBD,323.0,0.0013960784811404194,0.006195098260060611
8,LY6E,182.0,0.6907566615121672,0.8128036252085787
9,VWF,238.0,0.3106682542003675,0.49016546773835756
10,IFIT3,243.0,0.25339060281199577,0.42835078094408807
11,UBE2L6,195.0,0.948838148950299,0.962392979649589
12,COL7A1,223.0,0.5294632528012939,0.6712837669444977
13,CENPU,343.0,0.0002082540330766078,0.0029572072696878306
14,RPL22L1,188.0,0.8073622322086782,0.8818879767202485
15,DCN,102.0,0.014240596416140122,0.04396010198025863
16,H4C8,27.0,1.2081456779843047e-05,0.0008577834313688563
17,PDGFRA,265.0,0.08785694870412951,0.16859036102684313
18,MMP2,56.0,0.00028146371718681376,0.0033306539867106297
19,HLA-DQA1,167.0,0.43373066072581457,0.5810354134251479
20,BATF2,146.0,0.18622908570183228,0.3305566271207523
21,TEK,233.0,0.37589290717697466,0.5446611512156163
22,IDO1,324.0,0.0012768757881634826,0.006195098260060611
23,CALHM6,168.0,0.4489556115683859,0.5902934892843593
24,PSMB8,147.0,0.19492357717693687,0.3375505848673785
25,MNAT1,63.0,0.0005561918716180744,0.004387735876098143
26,FBN1,103.0,0.015288575663285961,0.045228703003887635
27,GJA1,181.0,0.6719343085196707,0.8085989136423156
28,CXCL10,311.0,0.0038836056596245638,0.013130285801587812
29,WARS1,224.0,0.5127949259545199,0.6619716316867439
30,BST2,230.0,0.41880854392842093,0.5718347426714978
31,CD34,166.0,0.41880854392842093,0.5718347426714978
32,TAP1,164.0,0.38988676824177415,0.5536392109033194
33,HSPA2,71.0,0.0011671312469206678,0.006195098260060611
34,ADAMTS9,289.0,0.02018964725706071,0.05513326750966579
35,RECK,85.0,0.0038836056596245638,0.013130285801587812
36,PSMB10,197.0,0.9897608888027161,0.9897608888027161
37,COL12A1,203.0,0.9080499494872015,0.9343702378781349
38,FBLN5,162.0,0.3622134844502446,0.5446611512156163
39,KARS1,85.0,0.0038836056596245638,0.013130285801587812
40,FHL1,42.0,6.576270214660656e-05,0.0014475968558565289
41,BUB3,213.0,0.7097721797596039,0.8128036252085787
42,LAMA4,192.0,0.8877396538403752,0.9343702378781349
43,GTF2A2,58.0,0.000342995308589508,0.0034789524156935816
44,CCT2,180.0,0.6533154273221111,0.7997481955149981
45,GBP4,327.0,0.0009733245083105912,0.005758836674170998
46,CD47,354.0,6.576270214660656e-05,0.0014475968558565289
47,FBLN1,44.0,8.155475244262135e-05,0.0014475968558565289
48,CXCL9,311.0,0.0038836056596245638,0.013130285801587812
49,DNAJA1,121.0,0.049590915598319414,0.11357919378969931
50,MEF2C,274.0,0.052646476394086095,0.11680936949937852
51,HLA-DQB1,286.0,0.024716460208683427,0.06499513610431568
52,PSMB9,193.0,0.9080499494872015,0.9343702378781349
53,VCAN,68.0,0.0008880229384102593,0.005731784420648037
54,GJB1,120.0,0.04668551682643292,0.11048905648922458
55,HLA-DRB1,290.0,0.018850665261993978,0.0535358893440629
56,COL14A1,238.0,0.3106682542003675,0.49016546773835756
57,MFAP4,138.0,0.12672425515020772,0.23070313117089095
58,MCAM,116.0,0.03645573609800801,0.09244133081994887
59,THBD,66.0,0.0007378215912794806,0.0052385332980843125
60,HLA-B,233.0,0.37589290717697466,0.5446611512156163
61,GBP5,323.0,0.0013960784811404194,0.006195098260060611
62,KDR,63.0,0.0005561918716180744,0.004387735876098143
63,SNAPC3,242.0,0.2642140611342779,0.4362604265240403
64,STAT1,318.0,0.0021612568025958343,0.009026425469664956
65,LAMC2,264.0,0.09273457239445591,0.17326722736858868
66,LAMC1,211.0,0.7483396960554589,0.8433669590466283
67,PEAK1,188.0,0.8073622322086782,0.8818879767202485
68,PSMD6,203.0,0.9080499494872015,0.9343702378781349
69,CGAS,213.0,0.7097721797596039,0.8128036252085787
70,ITGA7,265.0,0.08785694870412951,0.16859036102684313
