,Edge,U,pval,adj_pvals
0,HSD17B7;HSD17B2,477.0,0.030296602677687242,0.42415243748762144
1,HSD17B7;HSD17B1,463.5,0.16051394249711126,0.8866314821812107
2,HSD17B7;DHRS11,564.0,0.008951148321657386,0.2297461402558729
3,HSD17B7;CYP19A1,400.0,0.7710659530754127,1.0
4,IGF1;IGFBP5,418.0,0.690136986429554,1.0
5,IGF1;IGFBP3,406.5,0.9406746430340226,1.0
6,IGF1;IGF2,399.0,0.4846416787883141,1.0
7,IGF1;IGFALS,409.5,1.0,1.0
8,HSD17B2;HSD17B1,409.5,1.0,1.0
9,HSD17B2;HSD3B1,409.5,1.0,1.0
10,HSD17B2;SULT1E1,429.0,0.18423511318051133,0.8866314821812107
11,HSD17B2;SRD5A1,409.5,1.0,1.0
12,HSD17B2;DHRS11,549.0,0.007870856548061767,0.2297461402558729
13,HSD17B2;AKR1C3,409.5,1.0,1.0
14,HSD17B2;CYP17A1,409.5,1.0,1.0
15,HSD17B2;SRD5A2,409.5,1.0,1.0
16,HSD17B2;HSD3B2,409.5,1.0,1.0
17,HSD17B2;HSD17B3,409.5,1.0,1.0
18,HSD17B2;CYP1A1,409.5,1.0,1.0
19,HSD17B2;CYP19A1,409.5,1.0,1.0
20,HSD17B2;SRD5A3,409.5,1.0,1.0
21,HSD17B1;CYP19A1,409.5,1.0,1.0
22,HSD17B1;CYP1A1,409.5,1.0,1.0
23,HSD17B1;HSD17B3,409.5,1.0,1.0
24,HSD17B1;DHRS11,521.0,0.040306326504459984,0.5172645234739032
25,HSD17B1;AKR1C3,409.5,1.0,1.0
26,HSD17B1;SULT1E1,409.5,1.0,1.0
27,HSD3B1;SRD5A1,409.5,1.0,1.0
28,HSD3B1;HSD17B3,409.5,1.0,1.0
29,HSD3B1;CYP17A1,409.5,1.0,1.0
30,HSD3B1;SRD5A2,409.5,1.0,1.0
31,HSD3B1;HSD3B2,409.5,1.0,1.0
32,HSD3B1;CYP19A1,409.5,1.0,1.0
33,HSD3B1;CYP1A1,409.5,1.0,1.0
34,HSD3B1;AKR1C3,409.5,1.0,1.0
35,SULT1E1;CYP19A1,429.0,0.18423511318051133,0.8866314821812107
36,SRD5A1;SRD5A3,409.5,1.0,1.0
37,SRD5A1;AKR1C3,409.5,1.0,1.0
38,SRD5A1;HSD3B2,409.5,1.0,1.0
39,SRD5A1;CYP17A1,409.5,1.0,1.0
40,SRD5A1;HSD17B3,409.5,1.0,1.0
41,SRD5A1;CYP19A1,409.5,1.0,1.0
42,AKR1C3;SRD5A3,409.5,1.0,1.0
43,AKR1C3;CYP17A1,409.5,1.0,1.0
44,AKR1C3;HSD17B3,409.5,1.0,1.0
45,AKR1C3;SRD5A2,409.5,1.0,1.0
46,AKR1C3;HSD3B2,409.5,1.0,1.0
47,AKR1C3;CYP19A1,409.5,1.0,1.0
48,CYP17A1;SRD5A3,409.5,1.0,1.0
49,CYP17A1;HSD17B3,409.5,1.0,1.0
50,CYP17A1;HSD3B2,409.5,1.0,1.0
51,CYP17A1;SRD5A2,409.5,1.0,1.0
52,CYP17A1;CYP19A1,409.5,1.0,1.0
53,SRD5A2;SRD5A3,409.5,1.0,1.0
54,SRD5A2;HSD17B3,409.5,1.0,1.0
55,SRD5A2;CYP19A1,409.5,1.0,1.0
56,SRD5A2;HSD3B2,409.5,1.0,1.0
57,HSD3B2;SRD5A3,409.5,1.0,1.0
58,HSD3B2;HSD17B3,409.5,1.0,1.0
59,HSD3B2;CYP1A1,409.5,1.0,1.0
60,HSD3B2;CYP19A1,409.5,1.0,1.0
61,HSD17B3;SRD5A3,409.5,1.0,1.0
62,HSD17B3;CYP19A1,409.5,1.0,1.0
63,CYP1A1;CYP3A5,409.5,1.0,1.0
64,CYP1A1;CYP2A6,409.5,1.0,1.0
65,CYP1A1;CYP4A11,409.5,1.0,1.0
66,CYP1A1;CYP2B6,409.5,1.0,1.0
67,CYP1A1;CYP3A7,409.5,1.0,1.0
68,CYP1A1;CYP1A2,409.5,1.0,1.0
69,CYP1A1;CYP3A4,409.5,1.0,1.0
70,CYP1A1;CYP19A1,409.5,1.0,1.0
71,CYP1A1;EPHX1,409.5,1.0,1.0
72,CYP19A1;CYP3A4,409.5,1.0,1.0
73,IVL;SPRR1B,353.0,0.19840972457457384,0.925912048014678
74,IVL;SPRR1A,356.0,0.22352906080365975,1.0
75,MYD88;IL1RL1,446.0,0.24445502912202344,1.0
76,MYD88;IL1RAP,436.0,0.4389377172116402,1.0
77,MYD88;IL33,447.0,0.23159719125723321,1.0
78,CHGA;CHGB,454.0,0.3910151324130198,1.0
79,CHGA;SCG2,487.0,0.11655837010938157,0.8866314821812107
80,CHGB;SCG2,504.0,0.055381389671080146,0.6091952863818816
81,RSPO4;LGR6,468.0,0.017313209044554398,0.26662341928613775
82,RSPO4;ZNRF3,468.0,0.017313209044554398,0.26662341928613775
83,RSPO4;RNF43,429.0,0.43559621548852756,1.0
84,RSPO4;LGR5,390.0,0.18423511318051133,0.8866314821812107
85,RSPO4;LGR4,495.0,0.011394998898079368,0.2506899757577461
86,ZNRF3;LGR5,468.0,0.017313209044554398,0.26662341928613775
87,ZNRF3;LGR4,513.0,0.004191867319990345,0.2095007068349009
88,RNF43;LGR5,429.0,0.18423511318051133,0.8866314821812107
89,RNF43;LGR4,515.0,0.0035121320528373433,0.2095007068349009
90,LGR5;LGR4,507.0,0.0017119498418808328,0.2095007068349009
91,GAD2;PTPRN,409.5,1.0,1.0
92,CYP4F2;CYP2B6,409.5,1.0,1.0
93,CYP2B6;SULT2A1,409.5,1.0,1.0
94,CYP2B6;CYP3A5,409.5,1.0,1.0
95,CYP2B6;PPIG,409.5,1.0,1.0
96,CYP2B6;CYP2A6,409.5,1.0,1.0
97,CYP2B6;CYP4A11,409.5,1.0,1.0
98,CYP2B6;CYP1A2,409.5,1.0,1.0
99,CYP2B6;AOX1,409.5,1.0,1.0
100,CYP2B6;CYP3A4,409.5,1.0,1.0
101,CYP2B6;EPHX1,409.5,1.0,1.0
102,CYP2B6;CYP3A7,409.5,1.0,1.0
103,RIMS1;RIMBP2,390.0,0.18423511318051133,0.8866314821812107
104,RIMS2;RIMBP2,456.0,0.09922207434614913,0.8042210236477351
105,CYP3A5;CYP3A7,409.5,1.0,1.0
106,CYP3A5;CYP2A6,409.5,1.0,1.0
107,CYP3A5;CYP4A11,409.5,1.0,1.0
108,CYP3A5;CYP3A4,409.5,1.0,1.0
109,CYP3A5;CYP1A2,409.5,1.0,1.0
110,CYP3A7;CYP2A6,409.5,1.0,1.0
111,CYP3A7;CYP1A2,409.5,1.0,1.0
112,CYP2A6;AOX1,409.5,1.0,1.0
113,CYP2A6;CYP3A4,409.5,1.0,1.0
114,CYP2A6;CYP1A2,409.5,1.0,1.0
115,CYP2A6;CYP4A11,409.5,1.0,1.0
116,CYP4A11;CYP3A4,409.5,1.0,1.0
117,CYP4A11;CYP1A2,409.5,1.0,1.0
118,CYP3A4;PPIG,409.5,1.0,1.0
119,CYP3A4;CYP1A2,409.5,1.0,1.0
120,CYP3A4;AOX1,409.5,1.0,1.0
121,CYP3A4;EPHX1,409.5,1.0,1.0
122,CYP1A2;PPIG,409.5,1.0,1.0
123,CYP1A2;EPHX1,409.5,1.0,1.0
124,IL13RA2;CHI3L1,376.5,0.3324326075890045,1.0
125,IGF2;IGFBP5,390.5,0.581823962211389,1.0
126,IGF2;IGFBP3,411.0,0.9828434425283387,1.0
127,IGFBP5;IGFBP3,362.0,0.2804087361893809,1.0
128,IGFBP5;IGFALS,429.0,0.18423511318051133,0.8866314821812107
129,IGFBP5;PAPPA,501.0,0.0977586544241629,0.8042210236477351
130,IGFBP3;IGFALS,433.0,0.493544643286298,1.0
131,IL1RL1;IL1RAP,456.0,0.09922207434614913,0.8042210236477351
132,IL1RL1;IL33,429.0,0.18423511318051133,0.8866314821812107
133,IL1RAP;IL33,457.0,0.09208958195456876,0.8042210236477351
134,SLC35A3;SLC35D3,487.5,0.005441576800906517,0.2095007068349009
135,GABBR2;KCTD16,448.5,0.05500065815024376,0.6091952863818816
136,ABCC9;KCNJ8,399.0,0.4846416787883141,1.0
137,ABCC9;KCNJ11,399.0,0.4846416787883141,1.0
138,KCNJ8;KCNJ11,399.0,0.4846416787883141,1.0
139,NKX2-1;SFTPB,356.0,0.25440159519929495,1.0
140,PSG3;PSG1,333.0,0.09884730795393781,0.8042210236477351
141,SFTPC;SFTPA2,429.0,0.18423511318051133,0.8866314821812107
142,SFTPC;SFTPB,409.5,1.0,1.0
143,SFTPC;SFTPA1,429.0,0.18423511318051133,0.8866314821812107
144,SFTPC;SFTPD,409.5,1.0,1.0
145,PTPRN;SLC30A8,407.0,0.9345858483317939,1.0
