,Gene,U,pval,adj_pvals
0,HSP90AB1,130.0,0.7700841192465129,1.0
1,HSPA4,99.0,0.42155385876038076,0.898311199025097
2,HSP90AA1,133.0,0.6877839774703822,0.9770899362476064
3,UBA52,185.0,0.02135854043383465,0.4205830446789363
4,CXCR4,94.5,0.1359076776038513,0.6364477299329139
5,CD74,184.0,0.023509444876997444,0.4205830446789363
6,RPL30,101.0,0.46498553040243185,0.9248045549115033
7,RPS17,120.0,0.970857279724063,1.0
8,MRPL36,157.0,0.20101723750157907,0.6542197365960483
9,HLA-DPB1,112.5,0.43417090904494937,0.9010319385705928
10,RPL4,135.0,0.6348365769902251,0.9469645606770859
11,RPS7,151.0,0.28939027292666875,0.8093884195917767
12,HLA-DQB1,121.5,1.0,1.0
13,RPS5,138.0,0.5588639673990412,0.9397909371906956
14,HLA-DOA,142.0,0.22436855474800277,0.6916518255806143
15,MRPL33,149.0,0.32393984559853417,0.816693413551234
16,RPS28,123.0,0.970857279724063,1.0
17,RPS25,117.0,0.8838168432762799,1.0
18,CD44,136.0,0.6090265291291659,0.9397909371906956
19,HLA-DQA2,121.5,1.0,1.0
20,MRPL12,169.0,0.0859689241485074,0.5688347042004955
21,MRPL21,148.0,0.34218297943668396,0.8361462181829126
22,RPL8,173.0,0.06243574707022048,0.48591298806823763
23,RPS20,189.0,0.014376402451872817,0.39302807199766415
24,MRPS9,175.0,0.05283650917469026,0.4503683401080741
25,CTSS,153.0,0.2572906983428921,0.7431768477585755
26,RPL23A,144.0,0.42155385876038076,0.898311199025097
27,HLA-DQB2,130.5,0.43417090904494937,0.9010319385705928
28,RPS8,176.0,0.04851973828025075,0.4503683401080741
29,MRPL17,183.0,0.025845885427197204,0.4205830446789363
30,RPS15,177.0,0.04450310689482946,0.4503683401080741
31,RPS2,163.0,0.134170293373614,0.6364477299329139
32,RPL24,120.0,0.970857279724063,1.0
33,RPL37A,128.0,0.8264953072596872,1.0
34,MRPS6,187.0,0.01756550042447661,0.39302807199766415
35,RPS6,139.0,0.5345582771950479,0.9397909371906956
36,TUFM,123.0,0.970857279724063,1.0
37,RPS24,86.0,0.20101723750157907,0.6542197365960483
38,RPL11,168.0,0.09285560679593724,0.5688347042004955
39,RPS21,84.0,0.17646330228976836,0.6364477299329139
40,RPL9,161.0,0.15421756010581464,0.6364477299329139
41,RPL18,88.0,0.22797462407405722,0.6916518255806143
42,HLA-DMA,109.0,0.6610164874270867,0.9543273900691799
43,MRPL32,158.0,0.18844541724270636,0.6364477299329139
44,RPL13,103.0,0.5107977981738965,0.9397909371906956
45,MIF,130.5,0.6324288381874374,0.9469645606770859
46,RPL6,114.0,0.7981579710016685,1.0
47,RPL36,138.0,0.5588639673990412,0.9397909371906956
48,RPL27A,132.0,0.7148642787191519,0.9919434565172729
49,HLA-DQA1,139.5,0.37972100932870534,0.8515885021387776
50,HLA-DRB1,124.0,0.9337283955012045,1.0
51,RPL7A,88.0,0.22797462407405722,0.6916518255806143
52,RPL23,149.0,0.32393984559853417,0.816693413551234
