,Edge,U,pval,adj_pvals
0,GLMN;RBX1,1056.0,0.1216550589839105,0.5269461527037562
1,GLMN;SKP1,1440.0,0.3483449622938217,0.837352992955852
2,GLMN;CUL1,1352.0,0.7138541845852209,1.0
3,GLMN;FBXW8,1231.0,0.6802553422929447,1.0
4,GLMN;CUL7,1259.0,0.8177849690810672,1.0
5,MTOR;RB1CC1,1255.0,0.7976768678344476,1.0
6,MTOR;PIK3CA,1556.0,0.09090484660514092,0.4359467134017996
7,MTOR;RPTOR,1687.0,0.011058864692852546,0.14639968259621813
8,MTOR;ULK1,1246.0,0.752940252061858,1.0
9,MTOR;HSP90AA1,1693.0,0.00988652142502657,0.14203448535897548
10,MTOR;ATG101,1296.0,0.9974108709230716,1.0
11,MTOR;PIK3R1,1818.0,0.0006963234107088063,0.12931924901736547
12,MTOR;UBC,1748.0,0.003317002587257493,0.12931924901736547
13,MTOR;AKT1,1719.0,0.005986624048842252,0.12993286615877797
14,MTOR;AKT2,1660.0,0.018000717161527974,0.17522546041548984
15,MTOR;HSP90AB1,1615.0,0.038120790567825455,0.25432300514708883
16,MTOR;AKT3,1607.0,0.04321421707082984,0.27488590657507733
17,MTOR;RPS6,1649.0,0.02177824262357381,0.18975884370663962
18,MTOR;ULK2,1251.0,0.7777021335723657,1.0
19,DNAJB1;HSPBP1,1100.0,0.2068393701921295,0.7040284825786928
20,DNAJB1;HSP90AA1,1154.0,0.36185064767236697,0.852891505606693
21,DNAJB1;HSP90AB1,1006.0,0.061156301616086,0.3385521809223283
22,DNAJB1;TP53,953.0,0.026668671911010137,0.20957804794713014
23,DNAJB1;HSPA1B,1422.0,0.4116551336551071,0.9281052210850987
24,DNAJB1;HSPA1A,1445.0,0.3319197339550479,0.837352992955852
25,HSP90AB1;LRP1,1633.0,0.02849716064128334,0.2180183681739332
26,HSP90AB1;HSPB1,1226.0,0.6566343663814027,1.0
27,HSP90AB1;CCT7,1233.0,0.6897939363325911,1.0
28,HSP90AB1;TP53,1173.0,0.43038415115846484,0.9571031892736837
29,HSP90AB1;CCT5,1159.0,0.37918746969619666,0.8796105661714066
30,HSP90AB1;CCT2,1151.0,0.35169097591053244,0.837352992955852
31,HSP90AB1;TCP1,1223.0,0.6426228983218527,1.0
32,HSP90AB1;HSP90AA1,1545.0,0.10539264783821398,0.4803700947434413
33,HSP90AB1;AKT3,1216.0,0.6104265705281007,1.0
34,HSP90AB1;SRC,1130.0,0.28569905828998376,0.8206646621825889
35,HSP90AB1;HSPA1A,1529.0,0.1296676046189217,0.5473531523855485
36,HSP90AB1;DNAJA1,906.0,0.011690109811218988,0.14985268774482746
37,HSP90AB1;HSPA1B,1484.0,0.2211921840098181,0.7265673880853442
38,HSP90AB1;RAF1,1348.0,0.7333107926333727,1.0
39,HSP90AB1;TLR4,1329.0,0.8278850588662428,1.0
40,HSP90AB1;SUGT1,963.0,0.031441997689673935,0.2289448269498648
41,HSP90AB1;BRAF,1492.0,0.2022086950216202,0.7020730317365832
42,HSP90AB1;AKT1,1026.0,0.08140983748775832,0.4058053703061546
43,HSP90AA1;LRP1,1721.0,0.005753773191399492,0.12931924901736547
44,HSP90AA1;HSPB1,1281.0,0.930182727600553,1.0
45,HSP90AA1;TP53,1224.0,0.6472795913353504,1.0
46,HSP90AA1;HSPA1A,1634.0,0.02803019699287828,0.2164102384625732
47,HSP90AA1;MYC,1022.0,0.07697337951679879,0.39062155566126594
48,HSP90AA1;RAF1,1361.0,0.6707676355928653,1.0
49,HSP90AA1;HSPA1B,1542.0,0.1096465314913316,0.49331184141607115
50,HSP90AA1;DNAJA1,1107.0,0.22365209696265465,0.7306257456977677
