,Gene,U,pval,adj_pvals
0,GLMN,1268.0,0.8634494144504572,0.9442200808982311
1,MTOR,1564.0,0.08140983748775832,0.2964983285775743
2,DNAJB1,1087.0,0.178085225483413,0.46029286102769246
3,HSP90AB1,1259.0,0.8177849690810672,0.9256543224067757
4,HSP90AA1,1427.0,0.39341844417632976,0.6890197341995283
5,PRKACG,1312.5,0.5040819735246215,0.7362595730463459
6,TJP1,1206.0,0.5657210991681546,0.7682780181499727
7,PRKACA,1050.0,0.11255706307119309,0.3571736506368058
8,PRKACB,1312.5,0.5040819735246215,0.7362595730463459
9,UBC,1404.0,0.48133032598714287,0.7362595730463459
10,UBA52,1445.0,0.3319197339550479,0.6362238694171949
11,MYC,1270.0,0.8736650205945058,0.9458781472873161
12,FBXW7,1477.0,0.23882284313851554,0.5498112703826171
13,PLD1,1474.0,0.24661334362081688,0.5549160954633378
14,PLD2,1540.0,0.11199049829959941,0.3571438279106628
15,ARRB2,1557.0,0.08967136088909423,0.31756542723706854
16,CCL11,1274.0,0.8288801631813194,0.9288674555930521
17,CCL5,1080.0,0.09893978093777825,0.33360616076154737
18,TIMELESS,1293.0,0.9922327218219092,1.0
19,FBXL3,1036.0,0.09341274091216918,0.3236625239172997
20,CD74,1341.0,0.7677686907180987,0.8980652020990899
21,RPL30,1648.0,0.022153632464527614,0.1632238897673816
22,RPS17,1608.0,0.042547634165733976,0.20506040225740962
23,RPL4,1611.0,0.040599837650962714,0.20506040225740962
24,RPS7,1715.0,0.006477961634191832,0.11513806726535097
25,RPS5,1666.0,0.01619268568212248,0.1421850893457604
26,RPS28,1734.0,0.004429123951669837,0.11513806726535097
27,RPS25,1616.0,0.03752153663998536,0.1986620061298871
28,CD44,1247.0,0.7578732485866948,0.8897537121020382
29,RPL8,1615.0,0.038120790567825455,0.1986620061298871
30,RPS20,1692.0,0.01007387297648081,0.12183684109290943
31,RPL23A,1608.0,0.042547634165733976,0.20506040225740962
32,RPS8,1704.0,0.008021507628503363,0.1195764276714106
33,RPS15,1577.0,0.06770973180933999,0.2729681640867103
34,RPS2,1598.0,0.04962019234911026,0.2239897415195752
35,RPL24,1640.0,0.025364647954158426,0.1729653121129314
36,RPL37A,1635.0,0.027569843880893775,0.17850777704699908
37,RPS6,1692.0,0.01007387297648081,0.12183684109290943
38,RPS24,1726.0,0.005206964279535735,0.11513806726535097
39,RPL11,1673.0,0.014286680158703371,0.1421850893457604
40,RPS21,1676.0,0.013532346085299138,0.13768625143931346
41,RPL9,1612.0,0.03996760216228711,0.20506040225740962
42,RPL18,1627.0,0.031441997689673935,0.18661407888037956
43,RPL13,1594.0,0.052713120927243284,0.23464660079418712
44,RPL6,1587.0,0.058513141637718584,0.2517243207367625
45,RPL36,1610.0,0.041240530879702655,0.20506040225740962
46,RPL27A,1661.0,0.017687620314750102,0.14724369638642618
47,RPL7A,1642.0,0.02452627651515829,0.17088416571974416
48,RPL23,1607.0,0.04321421707082984,0.20671875479404425
49,RPS19,1679.0,0.012813421237701817,0.13464595103880106
50,RACK1,1650.0,0.02140840070056547,0.1632238897673816
51,RPL15,1618.0,0.036347051289745094,0.1986620061298871
52,RPL35,1627.0,0.031441997689673935,0.18661407888037956
53,RPSA,1610.0,0.041240530879702655,0.20506040225740962
54,RPS12,1697.0,0.009167783941206277,0.12183684109290943
55,RPL19,1648.0,0.022153632464527614,0.1632238897673816
56,RPS16,1738.0,0.004081114450433645,0.11513806726535097
57,RPL5,1668.0,0.01562653184046751,0.1421850893457604
58,RPL34,1496.0,0.19317491254714814,0.48558870173616453
59,RPS18,1694.0,0.009702280523581486,0.12183684109290943
60,CXCR2,1285.0,0.9500757495500345,0.976741840051445
61,RPL12,1520.0,0.14511527636826757,0.4204136917735975
62,RPS9,1666.0,0.01619268568212248,0.1421850893457604
63,RPL38,1557.0,0.08967136088909423,0.31756542723706854
64,APP,1352.0,0.7138541845852209,0.8617335825218956
65,RPS23,1695.0,0.0095211062563584,0.12183684109290943
66,FAU,1566.0,0.07916633662210527,0.29332729349577735
67,PDCD11,1639.0,0.025793055139213195,0.1740352457287964
68,RPL29,1630.0,0.029938467082719623,0.18426794047537204
69,RPL27,1484.0,0.2211921840098181,0.5251266294455311
70,RPLP0,1483.0,0.22365209696265465,0.5290073584983824
71,RPL32,1610.0,0.041240530879702655,0.20506040225740962
72,RPS27A,1501.0,0.18230413453902838,0.4674278009580688
73,RPS3A,1713.0,0.0067369849921502965,0.11513806726535097
74,RPS13,1736.0,0.0042518911537630065,0.11513806726535097
75,RPS3,1682.0,0.012128503150053935,0.13464595103880106
76,RPS11,1714.0,0.006606331880162258,0.11513806726535097
77,RPL28,1646.0,0.02292132512805537,0.16508504951779207
78,RPL31,1621.0,0.03464413873732452,0.1986620061298871
79,RPL37,1444.0,0.335164089884495,0.6362238694171949
80,RPL35A,1522.0,0.14156609012103938,0.41435554231774535
81,RPS26,1679.0,0.012813421237701817,0.13464595103880106
82,RPL18A,1566.0,0.07916633662210527,0.29332729349577735
