,Gene,U,pval,adj_pvals
0,STIP1,265.0,0.08785694870412951,0.3415817574617449
1,DNAJB1,262.0,0.10314097625228479,0.3578198483829264
2,TJP1,297.0,0.011467009102735364,0.12313383584127736
3,FLNA,122.0,0.052646476394086095,0.25530710595411643
4,UBC,132.0,0.09273457239445591,0.34564704256115386
5,UBA52,113.0,0.03009737111136745,0.19118189255248902
6,ARRB2,111.0,0.026409314189791904,0.18610313593118982
7,PFDN2,303.0,0.007315424112801501,0.09997746287495385
8,PFDN6,296.0,0.012333037819635455,0.1293534896896649
9,CCL11,239.0,0.2982597043945401,0.6157138061743551
10,CCR5,329.0,0.000809696286786139,0.025031146576439182
11,CCL5,274.0,0.052646476394086095,0.25530710595411643
12,FGF2,221.0,0.5636065486302271,0.8240921759818712
13,CXCR4,271.0,0.06277095864768725,0.2775461014716368
14,CXCR1,200.0,0.9692326343095146,1.0
15,CX3CR1,185.0,0.7481793693787235,0.9670521573667965
16,CCR2,273.5,0.054224395912392774,0.26016172932435255
17,CXCR3,271.5,0.06089445931078374,0.27740809241579256
18,EGF,277.5,0.019967717774026464,0.17180247005536567
19,RPL30,151.0,0.23267937351869394,0.5494156934917852
20,RPS17,246.0,0.22278664659424452,0.5344509447553419
21,RPL4,223.0,0.5294632528012939,0.8240921759818712
22,RPS7,226.0,0.4802972042742021,0.7820001412551089
23,RPS28,193.0,0.9080499494872015,1.0
24,RPS25,191.0,0.8675028090454214,1.0
25,CD44,152.0,0.24287981051924,0.5504462037395842
26,RPL8,254.0,0.15430686720109812,0.4518986825175016
27,RPS20,207.0,0.8273013520254238,0.9949677593692429
28,RPL23A,166.0,0.41880854392842093,0.726471743506607
29,RPS8,160.0,0.3358044632350785,0.6527922970647432
30,RPS15,306.0,0.005795500698235304,0.09421621322541072
31,RPL24,203.0,0.9080499494872015,1.0
32,RPL37A,228.0,0.4489556115683859,0.7583482427615807
33,RPS6,208.0,0.8073622322086782,0.9867760615883844
34,RPS24,170.0,0.4802972042742021,0.7820001412551089
35,RPL11,236.0,0.3358044632350785,0.6527922970647432
36,RPS21,200.0,0.9692894100597967,1.0
37,RPL9,184.0,0.7289701952433362,0.9557138315544902
38,RPL18,199.0,0.9897608888027161,1.0
39,RPL13,247.0,0.21319866517955166,0.5169494515912785
40,RPL6,215.0,0.6719343085196707,0.8992355286123784
41,RPL36,263.0,0.09782725468345203,0.3529607348978949
42,RPL27A,200.0,0.9692894100597967,1.0
43,RPL7A,210.0,0.7678693450669731,0.9782742221050985
44,RPL23,212.0,0.7289701952433362,0.9557138315544902
45,RPS19,270.0,0.06648435104210446,0.2911110904853311
46,RACK1,204.0,0.8877396538403752,1.0
47,RPL15,209.0,0.7875474996229869,0.9811710561601301
