,Edge,U,pval,adj_pvals
0,CCL5;CCL2,117.0,1.0,1.0
1,CCL5;CXCL6,117.0,1.0,1.0
2,CCL5;CXCL13,117.0,1.0,1.0
3,CCL5;CXCR1,117.0,1.0,1.0
4,CCL5;PPBP,117.0,1.0,1.0
5,CCL5;CXCL10,117.0,1.0,1.0
6,CCL5;CXCR2,117.0,1.0,1.0
7,CCL5;CXCL9,117.0,1.0,1.0
8,CCL5;CXCL1,117.0,1.0,1.0
9,CCL5;CXCL12,117.0,1.0,1.0
10,CCL5;CXCR4,117.0,1.0,1.0
11,CCL5;CXCL2,117.0,1.0,1.0
12,CCL5;CCL4,117.0,1.0,1.0
13,CXCR4;CD74,104.0,0.10219563734792074,0.16273190660496933
14,CXCR4;MIF,164.5,0.0035624724362385857,0.01894932146935418
15,CXCR4;CCL2,117.0,1.0,1.0
16,CXCR4;GNAQ,104.0,0.10219563734792074,0.16273190660496933
17,CXCR4;CXCL13,117.0,1.0,1.0
18,CXCR4;CXCL5,117.0,1.0,1.0
19,CXCR4;PPBP,117.0,1.0,1.0
20,CXCR4;CXCL10,117.0,1.0,1.0
21,CXCR4;CXCR2,117.0,1.0,1.0
22,CXCR4;CXCL9,117.0,1.0,1.0
23,CXCR4;CXCL1,117.0,1.0,1.0
24,CXCR4;CXCL12,117.0,1.0,1.0
25,CXCR4;CCL3,117.0,1.0,1.0
26,CXCR4;CCL4,117.0,1.0,1.0
27,CXCR4;ARRB1,143.0,0.01676171173368684,0.03255450473260897
28,CXCR4;CXCL2,117.0,1.0,1.0
29,CXCR4;CD44,117.0,1.0,1.0
30,CXCR1;CCL2,117.0,1.0,1.0
31,CXCR1;CXCL6,117.0,1.0,1.0
32,CXCR1;CXCL13,117.0,1.0,1.0
33,CXCR1;CXCL12,117.0,1.0,1.0
34,CXCR1;CXCL1,117.0,1.0,1.0
35,CXCR1;CXCL3,117.0,1.0,1.0
36,CXCR1;PPBP,117.0,1.0,1.0
37,CXCR1;CXCL5,117.0,1.0,1.0
38,CXCR1;CXCR2,117.0,1.0,1.0
39,CXCR1;CCL3,117.0,1.0,1.0
