,Gene,U,pval,adj_pvals
0,CCL5,117.0,1.0,1.0
1,CXCR4,139.5,0.17249242485169425,0.29668697074491407
2,CXCR1,117.0,1.0,1.0
3,CD74,152.0,0.19287584940313707,0.31898698170518824
4,CD44,102.0,0.3219678670184576,0.5088209648479046
5,MIF,143.0,0.14282176809369057,0.2670146099142911
6,CXCR2,140.5,0.1537962956428891,0.2755516963601763
7,PDCD11,23.0,0.00041724333957516706,0.009537235460359797
8,WDR36,45.0,0.004138390192521692,0.010467692839907809
9,GNAQ,104.0,0.10219563734792074,0.19974601845275416
10,MPHOSPH10,37.0,0.0017743693879739156,0.009537235460359797
11,NOL6,37.0,0.0017743693879739156,0.009537235460359797
12,IMP4,38.0,0.002026684921023487,0.009683050178223327
13,WDR3,41.0,0.002737356459169965,0.009808860645359041
14,EMG1,46.0,0.005575292788421959,0.013318754994563567
15,RRP9,37.0,0.0017743693879739156,0.009537235460359797
16,TBL3,37.0,0.0017743693879739156,0.009537235460359797
17,NOC4L,37.0,0.0017743693879739156,0.009537235460359797
18,WDR46,39.0,0.0023115469738356595,0.009808860645359041
19,HEATR1,45.0,0.004138390192521692,0.010467692839907809
20,KRR1,37.0,0.0017743693879739156,0.009537235460359797
21,ARRB1,143.0,0.01676171173368684,0.03432160021659686
22,CXCL10,117.0,1.0,1.0
23,NOP14,37.0,0.0017743693879739156,0.009537235460359797
24,NHP2,39.5,0.002669364199700628,0.009808860645359041
25,DKC1,51.5,0.011232514224168476,0.024149905581962224
26,NOP56,41.5,0.0034397015323187562,0.009860477725980435
27,GAR1,52.0,0.01121677446758068,0.024149905581962224
28,NOP58,40.5,0.0030322917902795713,0.009860477725980435
29,CXCL9,117.0,1.0,1.0
30,CXCL1,117.0,1.0,1.0
31,CCL2,117.0,1.0,1.0
32,CXCL13,117.0,1.0,1.0
33,PPBP,117.0,1.0,1.0
34,CXCL12,117.0,1.0,1.0
35,CXCL6,117.0,1.0,1.0
36,CXCL2,117.0,1.0,1.0
37,CXCL3,117.0,1.0,1.0
38,FBLL1,45.0,0.00324190511362297,0.009860477725980435
39,GNAI1,130.0,0.3313252794358449,0.5088209648479046
40,CCL3,117.0,1.0,1.0
41,CCL4,117.0,1.0,1.0
42,CXCL5,117.0,1.0,1.0
