,Edge,U,pval,adj_pvals
0,HSP90AB1;RIPK3,66.0,0.031737666716619484,0.10536905349917668
1,HSP90AB1;RIPK1,55.0,0.009959308460304832,0.0866438896083912
2,HSP90AB1;HSP90AA1,128.0,0.823264901493582,0.8649492003033836
3,HSP90AA1;RIPK3,83.0,0.13287029385717491,0.21778625474524782
4,HSP90AA1;RIPK1,58.0,0.013890152063714595,0.0866438896083912
5,TNF;RIPK3,144.0,0.18138822112581166,0.281991126887598
6,TNF;TRAF2,67.5,0.019834143404330516,0.0866438896083912
7,TNF;RIPK1,148.5,0.18346410664976254,0.281991126887598
8,TNF;BIRC3,108.0,0.42967623687821455,0.5299439036872177
9,TNF;FADD,76.5,0.052672393504532816,0.115047596338848
10,TNF;MLKL,135.0,0.5323072861805247,0.6311643536140507
11,TNF;TRADD,94.5,0.2485616820287473,0.36194069488396535
12,TNF;CASP8,76.5,0.052672393504532816,0.115047596338848
13,TNF;BIRC2,67.5,0.019834143404330516,0.0866438896083912
14,NGFR;BDNF,130.5,0.43417090904494937,0.5299439036872177
15,NGFR;NTRK1,135.0,0.09533542528499925,0.17201826736206385
16,NGFR;NTRK3,117.0,0.7605177144427377,0.8092688499839389
17,NGFR;NTRK2,126.0,0.6078112586018152,0.6637938745256666
18,NGFR;NTF4,126.0,0.6078112586018152,0.6637938745256666
19,NGFR;TRADD,136.0,0.6038571218311679,0.6637938745256666
20,CASP8;RIPK3,166.5,0.039515176124193536,0.115047596338848
21,CASP8;TRAF2,76.5,0.052672393504532816,0.115047596338848
22,CASP8;TICAM1,54.0,0.006265454273675531,0.0866438896083912
23,CASP8;RIPK1,126.0,0.8578215289152865,0.8899898362496098
24,CASP8;FADD,67.5,0.019834143404330516,0.0866438896083912
25,CASP8;MLKL,76.5,0.052672393504532816,0.115047596338848
26,CASP8;CFLAR,49.5,0.00411516489763691,0.08538967162596588
27,CASP8;TRADD,76.5,0.052672393504532816,0.115047596338848
28,CASP8;BIRC2,67.5,0.019834143404330516,0.0866438896083912
29,BIRC2;RIPK3,162.0,0.054668589760339795,0.1163459730796975
30,BIRC2;TRAF2,67.5,0.019834143404330516,0.0866438896083912
31,BIRC2;RIPK1,144.0,0.32446998135080785,0.4414919418379844
32,BIRC2;BIRC3,67.5,0.019834143404330516,0.0866438896083912
33,BIRC2;FADD,63.0,0.013739260378034971,0.0866438896083912
34,BIRC2;TRADD,76.5,0.052672393504532816,0.115047596338848
35,TRADD;RIPK3,166.5,0.039515176124193536,0.115047596338848
36,TRADD;TRAF2,76.5,0.052672393504532816,0.115047596338848
37,TRADD;RIPK1,162.0,0.07321637446294771,0.147745030140083
38,TRADD;BIRC3,94.5,0.2485616820287473,0.36194069488396535
39,TRADD;FADD,76.5,0.052672393504532816,0.115047596338848
40,TRADD;CFLAR,49.5,0.00411516489763691,0.08538967162596588
41,RIPK1;RIPK3,130.5,0.43417090904494937,0.5299439036872177
42,RIPK1;TRAF2,157.5,0.12217134739267321,0.20694330272636483
43,RIPK1;TICAM1,148.5,0.2485616820287473,0.36194069488396535
44,RIPK1;CFLAR,99.0,0.3694066131200239,0.4866785537930473
45,RIPK1;TLR3,153.0,0.101218825205809,0.17502421858504472
46,RIPK1;BIRC3,153.0,0.1364444005632878,0.21778625474524782
47,RIPK1;ZBP1,121.5,1.0,1.0
48,RIPK1;FADD,130.5,0.7113058797990112,0.7667323119911419
49,RIPK1;MLKL,157.5,0.10050740155530542,0.17502421858504472
50,TRAF2;RIPK3,171.0,0.028195000287121824,0.09750770932629631
51,TRAF2;FADD,67.5,0.019834143404330516,0.0866438896083912
52,TRAF2;BIRC3,67.5,0.019834143404330516,0.0866438896083912
53,BIRC3;RIPK3,157.5,0.07476254537209019,0.147745030140083
54,BIRC3;FADD,76.5,0.052672393504532816,0.115047596338848
55,FADD;RIPK3,171.0,0.028195000287121824,0.09750770932629631
56,FADD;TICAM1,49.5,0.00411516489763691,0.08538967162596588
57,FADD;MLKL,76.5,0.052672393504532816,0.115047596338848
58,FADD;CFLAR,49.5,0.00411516489763691,0.08538967162596588
59,PYGM;PYGL,72.0,0.028195000287121824,0.09750770932629631
60,PYGM;RIPK3,135.0,0.3218793388263532,0.4414919418379844
61,PYGM;PYGB,67.5,0.019834143404330516,0.0866438896083912
62,PYGL;RIPK3,171.0,0.028195000287121824,0.09750770932629631
63,PYGL;PYGB,54.0,0.006265454273675531,0.0866438896083912
64,RIPK3;MLKL,157.5,0.07476254537209019,0.147745030140083
65,RIPK3;PYGB,171.0,0.028195000287121824,0.09750770932629631
66,RIPK3;TICAM1,166.5,0.039515176124193536,0.115047596338848
67,RIPK3;GLUD1,184.5,0.009360757300606396,0.0866438896083912
68,RIPK3;ZBP1,126.0,0.6078112586018152,0.6637938745256666
69,RIPK3;GLUL,99.0,0.3694066131200239,0.4866785537930473
70,RIPK3;TLR3,148.5,0.1359076776038513,0.21778625474524782
71,RIPK3;CFLAR,121.5,1.0,1.0
72,BDNF;NTRK2,117.0,0.6078112586018152,0.6637938745256666
73,BDNF;NTRK3,108.0,0.3218793388263532,0.4414919418379844
74,BDNF;NTF4,121.5,1.0,1.0
75,BDNF;NTRK1,135.0,0.09533542528499925,0.17201826736206385
76,NTRK1;NTRK2,135.0,0.09533542528499925,0.17201826736206385
77,NTRK1;NTF4,135.0,0.09533542528499925,0.17201826736206385
78,NTRK3;NTRK2,112.5,0.43417090904494937,0.5299439036872177
79,NTRK3;NTF4,112.5,0.43417090904494937,0.5299439036872177
80,NTRK2;NTF4,117.0,0.6078112586018152,0.6637938745256666
81,TLR3;TICAM1,99.0,0.29059123794261343,0.41584608188339506
82,GLUD1;GLUL,102.0,0.47436737333503354,0.570615825895765
