,Gene,U,pval,adj_pvals
0,HSD17B7,598.0,0.0014177525684705306,0.017846671993127162
1,HSD17B2,558.0,0.005444473552067554,0.02722236776033777
2,HSD17B1,534.0,0.021977549454204947,0.08241581045326855
3,HSD3B1,409.5,1.0,1.0
4,SULT1E1,448.5,0.05503555991585648,0.16510667974756946
5,SRD5A1,409.5,1.0,1.0
6,DHRS11,589.0,0.002379556265750288,0.017846671993127162
7,AKR1C3,409.5,1.0,1.0
8,CYP17A1,409.5,1.0,1.0
9,SRD5A2,409.5,1.0,1.0
10,HSD3B2,409.5,1.0,1.0
11,HSD17B3,409.5,1.0,1.0
12,CYP1A1,409.5,1.0,1.0
13,CYP19A1,400.0,0.7710659530754127,1.0
14,SRD5A3,409.5,1.0,1.0
