,Gene,U,pval,adj_pvals
0,FLNA,384.0,0.519051092159341,0.9540862942388417
1,CD2,345.0,1.0,1.0
2,CD5,345.0,1.0,1.0
3,ANPEP,333.0,0.7093661433223559,1.0
4,TGFB1,383.0,0.5299642888460924,0.9540862942388417
5,FN1,405.0,0.3189962403773078,0.8468249222164532
6,CALM3,403.0,0.33553440314236826,0.8468249222164532
7,ITGB1,360.0,0.8081215451751493,1.0
8,FLNC,330.0,0.43120440925627146,0.9540862942388417
9,SNTA1,345.0,1.0,1.0
10,SGCD,315.0,0.24957054312749805,0.8468249222164532
11,SSPN,322.5,0.32548266266419046,0.8468249222164532
12,DAG1,289.0,0.1805012055200267,0.6833259923258154
13,DMD,322.5,0.32548266266419046,0.8468249222164532
14,SGCA,345.0,1.0,1.0
15,CAV3,345.0,1.0,1.0
16,SGCG,345.0,1.0,1.0
17,SGCB,322.5,0.32548266266419046,0.8468249222164532
18,NRXN2,331.0,0.6999316928976136,1.0
19,NRXN1,317.0,0.4323950015572855,0.9540862942388417
20,DLG4,431.0,0.1521501158390501,0.6245361365817066
21,SLC1A6,285.5,0.15129413776102546,0.6245361365817066
22,SPTBN2,285.5,0.15129413776102546,0.6245361365817066
23,LRRC32,369.0,0.6512965147952864,1.0
24,VTN,370.0,0.4584545881904867,0.9540862942388417
25,CRYAA,345.0,1.0,1.0
26,ITGA8,362.0,0.5928197960833921,0.9540862942388417
27,TET2,262.5,0.040488738067839807,0.5340590498203531
28,ACVR2B,300.0,0.14853614643738033,0.6245361365817066
29,SGCE,322.5,0.32548266266419046,0.8468249222164532
30,KRT13,249.0,0.06045951507400224,0.5340590498203531
31,KRT4,249.0,0.06045951507400224,0.5340590498203531
32,HRC,345.0,1.0,1.0
33,TRDN,337.5,0.754392040017942,1.0
34,CASQ2,345.0,1.0,1.0
35,RYR2,337.5,0.754392040017942,1.0
36,RYR1,337.5,0.754392040017942,1.0
37,ASPH,337.5,0.5940537303751279,0.9540862942388417
38,NLGN4Y,337.5,0.5940537303751279,0.9540862942388417
39,SECTM1,218.0,0.013703192612301828,0.5340590498203531
40,CD7,233.5,0.032777496890487395,0.5340590498203531
41,BMP3,300.0,0.14853614643738033,0.6245361365817066
42,FKBP1B,345.0,1.0,1.0
43,CRYAB,345.0,1.0,1.0
44,EBF1,262.5,0.040488738067839807,0.5340590498203531
45,PAX5,345.0,1.0,1.0
46,ZNF423,337.5,0.5940537303751279,0.9540862942388417
47,CASQ1,337.5,0.5940537303751279,0.9540862942388417
48,ANO2,337.5,0.5940537303751279,0.9540862942388417
49,CLCA4,345.0,1.0,1.0
50,CLCA2,337.5,0.5940537303751279,0.9540862942388417
51,HSPB7,415.5,0.15318810897287144,0.6245361365817066
52,NPNT,397.5,0.11558668171652094,0.6245361365817066
