,Gene,U,pval,adj_pvals
0,LYN,249.5,0.8957143106396647,1.0
1,GRB2,240.0,0.9204258775138098,1.0
2,SRC,233.5,0.8072555899856398,1.0
3,ERBB2,188.5,0.21422955275893552,0.7453391931607478
4,EGFR,186.0,0.19020348718068436,0.7453391931607478
5,CALM2,307.0,0.17217046741828268,0.7453391931607478
6,KCNQ5,245.0,1.0,1.0
7,CALM3,313.0,0.13521090680092024,0.7453391931607478
8,NTRK1,266.0,0.5592345536731382,1.0
9,NTRK2,231.0,0.7078664763953273,1.0
10,AKT1,182.5,0.07736567499319487,0.5895651407260046
11,NRAS,274.0,0.5282085770572169,1.0
12,KRAS,234.0,0.8162436575123877,1.0
13,HRAS,234.0,0.8162436575123877,1.0
14,SOS1,228.0,0.7124215641957863,1.0
15,RRAS,197.5,0.2925883418734634,0.7863311687849328
16,AKT3,182.5,0.07736567499319487,0.5895651407260046
17,AKT2,183.5,0.08226490335711692,0.5895651407260046
18,PIK3R2,210.0,0.4437482248813963,0.9540586834950021
19,PIK3R3,228.0,0.714148676755211,1.0
20,PIK3R1,267.0,0.633157770993039,1.0
21,PIK3R5,245.0,1.0,1.0
22,PIK3CB,247.5,0.9646191822208939,1.0
23,PIK3CD,297.0,0.2517063430075861,0.7602758909982174
24,PIK3CA,252.0,0.8851348529349159,1.0
25,PIK3CG,247.0,0.96240128706151,1.0
26,ERBB3,261.0,0.7312022041837027,1.0
27,PDPK1,197.5,0.15450638367180283,0.7453391931607478
28,MLX,232.5,0.7869245574024247,1.0
29,MLXIPL,161.0,0.04287513470266787,0.5895651407260046
30,MLXIP,220.5,0.5887745208965034,1.0
31,IMMT,203.0,0.19215886411058847,0.7453391931607478
32,RRAS2,210.5,0.2652125201156572,0.7602758909982174
33,PIK3R6,245.0,1.0,1.0
34,KCNQ4,328.5,0.061536726982289014,0.5895651407260046
35,KCNE4,292.0,0.030227807155613382,0.5895651407260046
36,KCNQ3,247.0,0.956497601812051,1.0
37,PPP1R12C,207.5,0.22533510490906328,0.7453391931607478
38,SHC3,215.5,0.5136012968380729,1.0
39,MASP2,231.0,0.38352418558323176,0.8679757884252087
40,FCN2,245.0,1.0,1.0
41,COLEC10,231.0,0.38352418558323176,0.8679757884252087
42,COLEC11,231.0,0.38352418558323176,0.8679757884252087
