,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Atezo,BLCA,targets,0,1,0.5605381165919282,0.5562015503875969,0.6,0.5760649087221095,36,22,8,9
1,Atezo,BLCA,DiffExp,0,38,0.7982062780269058,0.8914728682170542,0.6666666666666666,0.6511156186612577,40,18,7,10
2,Atezo,BLCA,edge,0,4,0.5829596412556054,0.6866165070679435,0.5733333333333334,0.6024340770791075,32,26,6,11
3,Atezo,BLCA,edge-random,0,4,0.6098654708520179,0.6358869129046967,0.6,0.5567951318458418,37,21,9,8
4,Atezo,BLCA,node,0,1,0.5650224215246636,0.5763793889648883,0.5333333333333333,0.43711967545638947,34,24,11,6
5,Atezo,BLCA,node-random,0,1,0.5874439461883408,0.6059051527587779,0.44,0.3144016227180527,30,28,14,3
6,Atezo,BLCA,node-norm,0,100,0.9417040358744395,0.978454172366621,0.6533333333333333,0.627789046653144,41,17,9,8
7,Atezo,BLCA,node-norm-random,0,100,0.8654708520179372,0.9524623803009575,0.68,0.667342799188641,43,15,9,8
8,Atezo,BLCA,edge+targets,0,5,0.6412556053811659,0.7221842225262197,0.5866666666666667,0.6551724137931034,32,26,5,12
9,Atezo,BLCA,edge+targets-random,0,5,0.5919282511210763,0.7104423164614683,0.56,0.6348884381338742,33,25,8,9
10,Atezo,BLCA,node+targets,0,2,0.5605381165919282,0.6090971272229823,0.6666666666666666,0.537525354969574,42,16,9,8
11,Atezo,BLCA,node+targets-random,0,2,0.3991031390134529,0.5709644322845417,0.37333333333333335,0.5567951318458417,12,46,1,16
12,Atezo,BLCA,node-norm+targets,0,101,0.9417040358744395,0.9791381668946648,0.64,0.6237322515212982,41,17,10,7
13,Atezo,BLCA,node-norm+targets-random,0,101,0.9192825112107623,0.9749202006383949,0.6266666666666667,0.5943204868154158,39,19,9,8
14,Atezo,BLCA,targets,1,1,0.600896860986547,0.6051071591427268,0.48,0.44726166328600403,30,28,11,6
15,Atezo,BLCA,DiffExp,1,38,0.7668161434977578,0.8758549931600548,0.6266666666666667,0.6774847870182557,38,20,8,9
16,Atezo,BLCA,edge,1,4,0.6412556053811659,0.7242362061103512,0.52,0.565922920892495,30,28,8,9
17,Atezo,BLCA,edge-random,1,4,0.5605381165919282,0.6247150022799818,0.5333333333333333,0.6399594320486816,30,28,7,10
18,Atezo,BLCA,node,1,1,0.547085201793722,0.5735294117647057,0.5466666666666666,0.4421906693711967,35,23,11,6
19,Atezo,BLCA,node-random,1,1,0.5246636771300448,0.5611035111719106,0.5466666666666666,0.4898580121703853,32,26,8,9
20,Atezo,BLCA,node-norm,1,91,0.8340807174887892,0.92875056999544,0.7066666666666667,0.665314401622718,45,13,9,8
21,Atezo,BLCA,node-norm-random,1,91,0.9506726457399103,0.9889420884632923,0.6933333333333334,0.6490872210953347,45,13,10,7
22,Atezo,BLCA,edge+targets,1,5,0.6995515695067265,0.7722298221614227,0.5733333333333334,0.5557809330628803,34,24,8,9
23,Atezo,BLCA,edge+targets-random,1,5,0.6322869955156951,0.6981304149566804,0.56,0.6450304259634888,32,26,7,10
24,Atezo,BLCA,node+targets,1,2,0.6412556053811659,0.6375968992248062,0.5333333333333333,0.45638945233265726,32,26,9,8
25,Atezo,BLCA,node+targets-random,1,2,0.5695067264573991,0.5755813953488372,0.52,0.5425963488843814,31,27,9,8
26,Atezo,BLCA,node-norm+targets,1,92,0.8430493273542601,0.9380984952120383,0.68,0.6480730223123732,44,14,10,7
27,Atezo,BLCA,node-norm+targets-random,1,92,0.9192825112107623,0.9759461924304607,0.7066666666666667,0.6957403651115619,44,14,8,9
