,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Atezo,BLCA,targets,0,0.5605381165919282,0.5562015503875969,0.6,0.5760649087221095,36,22,8,9
1,Atezo,BLCA,targets,1,0.600896860986547,0.6051071591427268,0.48,0.44726166328600403,30,28,11,6
2,Atezo,BLCA,targets,2,0.5739910313901345,0.5748974008207934,0.5733333333333334,0.5233265720081136,35,23,9,8
3,Atezo,BLCA,targets,3,0.5515695067264574,0.5543775649794802,0.6266666666666667,0.5679513184584178,39,19,9,8
4,Atezo,BLCA,targets,4,0.5605381165919282,0.5475376196990424,0.6266666666666667,0.5933062880324543,38,20,8,9
5,Atezo,BLCA,targets,5,0.5874439461883408,0.5824213406292751,0.5333333333333333,0.5070993914807302,35,23,12,5
6,Atezo,BLCA,targets,6,0.600896860986547,0.5914272685818514,0.49333333333333335,0.460446247464503,30,28,10,7
7,Atezo,BLCA,targets,7,0.5829596412556054,0.5501595987232102,0.5466666666666666,0.5882352941176471,34,24,10,7
8,Atezo,BLCA,targets,8,0.57847533632287,0.5503875968992248,0.5733333333333334,0.5953346855983773,34,24,8,9
9,Atezo,BLCA,targets,9,0.5874439461883408,0.5740994072047423,0.52,0.5253549695740366,29,29,7,10
10,Atezo,BLCA,targets,10,0.57847533632287,0.594391244870041,0.56,0.4726166328600405,37,21,12,5
11,Atezo,BLCA,targets,11,0.5695067264573991,0.5449156406748746,0.5733333333333334,0.6146044624746451,33,25,7,10
12,Atezo,BLCA,targets,12,0.5874439461883408,0.5968992248062016,0.52,0.45740365111561865,35,23,13,4
13,Atezo,BLCA,targets,13,0.5650224215246636,0.5523255813953488,0.5866666666666667,0.592292089249493,34,24,7,10
14,Atezo,BLCA,targets,14,0.547085201793722,0.5198358413132695,0.64,0.6795131845841785,36,22,5,12
15,Atezo,BLCA,targets,15,0.57847533632287,0.5663474692202461,0.5466666666666666,0.5365111561866125,33,25,9,8
16,Atezo,BLCA,targets,16,0.57847533632287,0.5771773825809393,0.56,0.511156186612576,35,23,10,7
17,Atezo,BLCA,targets,17,0.57847533632287,0.5510715914272686,0.56,0.5912778904665315,35,23,10,7
18,Atezo,BLCA,targets,18,0.5874439461883408,0.5883492932056543,0.5333333333333333,0.4797160243407708,34,24,11,6
19,Atezo,BLCA,targets,19,0.5515695067264574,0.5479936160510716,0.64,0.5963488843813387,42,16,11,6
20,Atezo,BLCA,targets,20,0.5919282511210763,0.5759233926128591,0.49333333333333335,0.5223123732251522,28,30,8,9
