,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Atezo,KIRC,targets,0,0.544,0.5850737100737101,0.5476190476190477,0.6666666666666666,15,15,4,8
1,Atezo,KIRC,targets,1,0.528,0.5712530712530712,0.6190476190476191,0.6944444444444444,19,11,5,7
2,Atezo,KIRC,targets,2,0.544,0.562960687960688,0.5476190476190477,0.7638888888888888,12,18,1,11
3,Atezo,KIRC,targets,3,0.56,0.6317567567567568,0.5238095238095238,0.5277777777777778,16,14,6,6
4,Atezo,KIRC,targets,4,0.512,0.5549754299754299,0.6428571428571429,0.7555555555555555,19,11,4,8
5,Atezo,KIRC,targets,5,0.552,0.5967444717444718,0.5476190476190477,0.625,16,14,5,7
6,Atezo,KIRC,targets,6,0.552,0.6078009828009828,0.5476190476190477,0.5833333333333333,16,14,5,7
7,Atezo,KIRC,targets,7,0.528,0.5684889434889435,0.5952380952380952,0.7166666666666666,17,13,4,8
8,Atezo,KIRC,targets,8,0.592,0.6486486486486487,0.42857142857142855,0.46944444444444444,12,18,6,6
9,Atezo,KIRC,targets,9,0.576,0.6320638820638821,0.4523809523809524,0.5111111111111111,12,18,5,7
10,Atezo,KIRC,targets,10,0.568,0.6087223587223587,0.5,0.5916666666666668,15,15,6,6
11,Atezo,KIRC,targets,11,0.544,0.593058968058968,0.5714285714285714,0.6333333333333333,16,14,4,8
12,Atezo,KIRC,targets,12,0.584,0.6455773955773956,0.4523809523809524,0.4833333333333333,13,17,6,6
13,Atezo,KIRC,targets,13,0.544,0.5881449631449631,0.5714285714285714,0.6416666666666666,16,14,4,8
14,Atezo,KIRC,targets,14,0.552,0.577088452088452,0.5476190476190477,0.6972222222222222,15,15,4,8
15,Atezo,KIRC,targets,15,0.56,0.6121007371007371,0.5952380952380952,0.5916666666666668,20,10,7,5
16,Atezo,KIRC,targets,16,0.552,0.5995085995085996,0.5476190476190477,0.6222222222222222,14,16,3,9
17,Atezo,KIRC,targets,17,0.528,0.5967444717444718,0.5952380952380952,0.6194444444444445,17,13,4,8
18,Atezo,KIRC,targets,18,0.592,0.6443488943488944,0.4523809523809524,0.4666666666666667,14,16,7,5
19,Atezo,KIRC,targets,19,0.552,0.6366707616707618,0.5476190476190477,0.5027777777777778,16,14,5,7
20,Atezo,KIRC,targets,20,0.576,0.6385135135135135,0.47619047619047616,0.475,15,15,7,5
21,Atezo,KIRC,targets,21,0.536,0.5715601965601965,0.5952380952380952,0.7083333333333333,17,13,4,8
22,Atezo,KIRC,targets,22,0.536,0.5687960687960688,0.5952380952380952,0.7305555555555555,17,13,4,8
23,Atezo,KIRC,targets,23,0.56,0.6139434889434889,0.5238095238095238,0.5777777777777777,15,15,5,7
24,Atezo,KIRC,targets,24,0.52,0.5961302211302212,0.6428571428571429,0.6277777777777778,19,11,4,8
25,Atezo,KIRC,node,0,0.64,0.6563267813267813,0.5476190476190477,0.6083333333333334,16,14,5,7
26,Atezo,KIRC,node,1,0.616,0.6406633906633906,0.6190476190476191,0.6666666666666666,18,12,4,8
27,Atezo,KIRC,node,2,0.64,0.6756756756756757,0.5714285714285714,0.5722222222222222,18,12,6,6
28,Atezo,KIRC,node,3,0.584,0.6274570024570025,0.7619047619047619,0.6944444444444444,24,6,4,8
29,Atezo,KIRC,node,4,0.592,0.6004299754299754,0.6904761904761905,0.8027777777777778,20,10,3,9
30,Atezo,KIRC,node,5,0.576,0.5906019656019657,0.7142857142857143,0.8194444444444444,20,10,2,10
31,Atezo,KIRC,node,6,0.608,0.6197788697788699,0.6666666666666666,0.7194444444444446,21,9,5,7
32,Atezo,KIRC,node,7,0.6,0.6372850122850123,0.6666666666666666,0.6555555555555556,19,11,3,9
33,Atezo,KIRC,node,8,0.64,0.6661547911547911,0.6190476190476191,0.5888888888888889,21,9,7,5
34,Atezo,KIRC,node,9,0.64,0.6667690417690418,0.6190476190476191,0.5944444444444444,20,10,6,6
35,Atezo,KIRC,node,10,0.576,0.625921375921376,0.7380952380952381,0.7194444444444446,23,7,4,8
36,Atezo,KIRC,node,11,0.656,0.6873464373464374,0.5,0.5055555555555555,15,15,6,6
37,Atezo,KIRC,node,12,0.64,0.6707616707616707,0.5714285714285714,0.5722222222222223,17,13,5,7
38,Atezo,KIRC,node,13,0.624,0.6434275184275184,0.6190476190476191,0.6472222222222221,20,10,6,6
39,Atezo,KIRC,node,14,0.6,0.6317567567567568,0.6666666666666666,0.7055555555555555,20,10,4,8
40,Atezo,KIRC,node,15,0.624,0.6550982800982802,0.6190476190476191,0.6194444444444445,19,11,5,7
41,Atezo,KIRC,node,16,0.624,0.6437346437346437,0.5952380952380952,0.6472222222222223,18,12,5,7
42,Atezo,KIRC,node,17,0.616,0.6652334152334152,0.6428571428571429,0.5972222222222222,20,10,5,7
43,Atezo,KIRC,node,18,0.632,0.64987714987715,0.5714285714285714,0.6444444444444445,16,14,4,8
44,Atezo,KIRC,node,19,0.568,0.5856879606879607,0.7857142857142857,0.8416666666666667,23,7,2,10
45,Atezo,KIRC,node,20,0.64,0.6468058968058968,0.5714285714285714,0.6583333333333333,17,13,5,7
46,Atezo,KIRC,node,21,0.6,0.6277641277641278,0.6904761904761905,0.6888888888888889,22,8,5,7
47,Atezo,KIRC,node,22,0.616,0.6431203931203932,0.6666666666666666,0.6444444444444444,22,8,6,6
48,Atezo,KIRC,node,23,0.648,0.6378992628992629,0.5238095238095238,0.6305555555555556,16,14,6,6
49,Atezo,KIRC,node,24,0.664,0.6916461916461917,0.5,0.48611111111111116,16,14,7,5
50,Atezo,KIRC,norm-node,0,0.592,0.6133292383292384,0.7380952380952381,0.7222222222222222,22,8,3,9
51,Atezo,KIRC,norm-node,1,0.64,0.6523341523341524,0.5714285714285714,0.6361111111111111,16,14,4,8
52,Atezo,KIRC,norm-node,2,0.632,0.625,0.6190476190476191,0.7,16,14,2,10
53,Atezo,KIRC,norm-node,3,0.64,0.6624692874692876,0.5714285714285714,0.5916666666666667,16,14,4,8
54,Atezo,KIRC,norm-node,4,0.584,0.648955773955774,0.7142857142857143,0.625,24,6,6,6
55,Atezo,KIRC,norm-node,5,0.624,0.6716830466830468,0.5952380952380952,0.5638888888888889,20,10,7,5
56,Atezo,KIRC,norm-node,6,0.648,0.668918918918919,0.5476190476190477,0.5666666666666667,16,14,5,7
57,Atezo,KIRC,norm-node,7,0.592,0.5988943488943489,0.7142857142857143,0.7888888888888889,20,10,2,10
