,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Ipi+Pembro,SKCM,targets,0,2,0.6111111111111112,0.6666666666666667,0.8571428571428571,0.6666666666666667,2,1,0,4
1,Ipi+Pembro,SKCM,DiffExp,0,123,1.0,1.0,1.0,1.0,3,0,0,4
2,Ipi+Pembro,SKCM,edge,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,Ipi+Pembro,SKCM,edge-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
4,Ipi+Pembro,SKCM,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,Ipi+Pembro,SKCM,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
6,Ipi+Pembro,SKCM,node-norm,0,8,0.7222222222222222,0.861111111111111,1.0,1.0,3,0,0,4
7,Ipi+Pembro,SKCM,node-norm-random,0,8,0.9444444444444444,1.0,0.8571428571428571,0.9166666666666667,2,1,0,4
8,Ipi+Pembro,SKCM,targets,1,2,0.6111111111111112,0.6805555555555556,0.5714285714285714,0.6666666666666666,2,1,2,2
9,Ipi+Pembro,SKCM,DiffExp,1,123,1.0,1.0,1.0,1.0,3,0,0,4
10,Ipi+Pembro,SKCM,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,Ipi+Pembro,SKCM,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
12,Ipi+Pembro,SKCM,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
13,Ipi+Pembro,SKCM,node-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
14,Ipi+Pembro,SKCM,node-norm,1,8,0.8888888888888888,0.9722222222222223,0.7142857142857143,0.6666666666666666,3,0,2,2
15,Ipi+Pembro,SKCM,node-norm-random,1,8,0.9444444444444444,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
16,Ipi+Pembro,SKCM,targets,2,2,0.6666666666666666,0.7083333333333334,0.7142857142857143,0.5833333333333333,3,0,2,2
17,Ipi+Pembro,SKCM,DiffExp,2,123,1.0,1.0,1.0,1.0,3,0,0,4
18,Ipi+Pembro,SKCM,edge,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,Ipi+Pembro,SKCM,edge-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
20,Ipi+Pembro,SKCM,node,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
21,Ipi+Pembro,SKCM,node-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
22,Ipi+Pembro,SKCM,node-norm,2,8,0.8333333333333334,0.9722222222222223,0.7142857142857143,0.9166666666666667,2,1,1,3
23,Ipi+Pembro,SKCM,node-norm-random,2,8,0.9444444444444444,1.0,1.0,1.0,3,0,0,4
24,Ipi+Pembro,SKCM,targets,3,2,0.7222222222222222,0.763888888888889,0.5714285714285714,0.5,2,1,2,2
25,Ipi+Pembro,SKCM,DiffExp,3,123,1.0,1.0,1.0,1.0,3,0,0,4
26,Ipi+Pembro,SKCM,edge,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
27,Ipi+Pembro,SKCM,edge-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
28,Ipi+Pembro,SKCM,node,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
29,Ipi+Pembro,SKCM,node-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
30,Ipi+Pembro,SKCM,node-norm,3,8,0.8888888888888888,0.9305555555555556,0.7142857142857143,0.6666666666666667,3,0,2,2
31,Ipi+Pembro,SKCM,node-norm-random,3,8,1.0,1.0,0.8571428571428571,0.9166666666666667,2,1,0,4
32,Ipi+Pembro,SKCM,targets,4,2,0.7222222222222222,0.7361111111111112,0.5714285714285714,0.5,2,1,2,2
33,Ipi+Pembro,SKCM,DiffExp,4,123,1.0,1.0,1.0,1.0,3,0,0,4
34,Ipi+Pembro,SKCM,edge,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
35,Ipi+Pembro,SKCM,edge-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
36,Ipi+Pembro,SKCM,node,4,1,0.8333333333333334,0.9166666666666667,0.5714285714285714,0.6666666666666667,1,2,1,3
37,Ipi+Pembro,SKCM,node-random,4,1,0.7777777777777778,0.8333333333333334,0.7142857142857143,0.8333333333333334,3,0,2,2
38,Ipi+Pembro,SKCM,node-norm,4,8,0.8888888888888888,0.9166666666666666,0.5714285714285714,0.6666666666666667,2,1,2,2
39,Ipi+Pembro,SKCM,node-norm-random,4,8,1.0,1.0,0.7142857142857143,0.75,2,1,1,3
40,Ipi+Pembro,SKCM,targets,5,2,0.7222222222222222,0.6666666666666666,0.5714285714285714,0.7500000000000001,2,1,2,2
41,Ipi+Pembro,SKCM,DiffExp,5,123,1.0,1.0,1.0,1.0,3,0,0,4
42,Ipi+Pembro,SKCM,edge,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
43,Ipi+Pembro,SKCM,edge-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
44,Ipi+Pembro,SKCM,node,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
45,Ipi+Pembro,SKCM,node-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
