,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Ipi+Pembro,SKCM,targets,0,0.6111111111111112,0.6666666666666667,0.8571428571428571,0.6666666666666667,2,1,0,4
1,Ipi+Pembro,SKCM,targets,1,0.6111111111111112,0.6805555555555556,0.5714285714285714,0.6666666666666666,2,1,2,2
2,Ipi+Pembro,SKCM,targets,2,0.6666666666666666,0.7083333333333334,0.7142857142857143,0.5833333333333333,3,0,2,2
3,Ipi+Pembro,SKCM,targets,3,0.7222222222222222,0.763888888888889,0.5714285714285714,0.5,2,1,2,2
4,Ipi+Pembro,SKCM,targets,4,0.7222222222222222,0.7361111111111112,0.5714285714285714,0.5,2,1,2,2
5,Ipi+Pembro,SKCM,targets,5,0.7222222222222222,0.6666666666666666,0.5714285714285714,0.7500000000000001,2,1,2,2
6,Ipi+Pembro,SKCM,targets,6,0.6666666666666666,0.6666666666666667,0.5714285714285714,0.8333333333333334,3,0,3,1
7,Ipi+Pembro,SKCM,targets,7,0.7222222222222222,0.75,0.42857142857142855,0.41666666666666663,2,1,3,1
8,Ipi+Pembro,SKCM,targets,8,0.6111111111111112,0.6666666666666667,0.8571428571428571,1.0,3,0,1,3
9,Ipi+Pembro,SKCM,targets,9,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.5,1,2,0,4
10,Ipi+Pembro,SKCM,targets,10,0.6666666666666666,0.7083333333333333,0.5714285714285714,0.5833333333333334,3,0,3,1
11,Ipi+Pembro,SKCM,targets,11,0.6111111111111112,0.6527777777777779,0.8571428571428571,0.6666666666666667,2,1,0,4
12,Ipi+Pembro,SKCM,targets,12,0.6111111111111112,0.7083333333333333,0.2857142857142857,0.41666666666666663,1,2,3,1
13,Ipi+Pembro,SKCM,targets,13,0.5555555555555556,0.7083333333333333,0.5714285714285714,0.5,3,0,3,1
14,Ipi+Pembro,SKCM,targets,14,0.6666666666666666,0.6666666666666667,0.5714285714285714,0.5833333333333334,2,1,2,2
