,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Nivo,SKCM,targets,0,0.5679012345679012,0.5786713286713286,0.42857142857142855,0.4678362573099415,9,10,6,3
1,Nivo,SKCM,targets,1,0.5802469135802469,0.5727272727272728,0.4642857142857143,0.49415204678362573,9,10,5,4
2,Nivo,SKCM,targets,2,0.5432098765432098,0.5678321678321678,0.5,0.5116959064327485,11,8,6,3
3,Nivo,SKCM,targets,3,0.5308641975308642,0.5751748251748252,0.4642857142857143,0.49707602339181284,12,7,8,1
4,Nivo,SKCM,targets,4,0.5432098765432098,0.5769230769230769,0.5,0.47953216374269003,11,8,6,3
5,Nivo,SKCM,targets,5,0.5432098765432098,0.5608391608391607,0.5357142857142857,0.5672514619883041,10,9,4,5
6,Nivo,SKCM,targets,6,0.5185185185185185,0.5895104895104895,0.5357142857142857,0.4181286549707602,14,5,8,1
7,Nivo,SKCM,targets,7,0.5432098765432098,0.5472027972027973,0.5,0.5730994152046783,11,8,6,3
8,Nivo,SKCM,targets,8,0.5308641975308642,0.5748251748251749,0.5357142857142857,0.5,12,7,6,3
9,Nivo,SKCM,targets,9,0.49382716049382713,0.48251748251748255,0.6785714285714286,0.7222222222222222,13,6,3,6
10,Nivo,SKCM,targets,10,0.5185185185185185,0.5297202797202798,0.5714285714285714,0.6198830409356725,12,7,5,4
11,Nivo,SKCM,targets,11,0.5185185185185185,0.5524475524475525,0.5714285714285714,0.5555555555555556,12,7,5,4
12,Nivo,SKCM,targets,12,0.5308641975308642,0.5083916083916085,0.6428571428571429,0.7192982456140351,13,6,4,5
13,Nivo,SKCM,targets,13,0.5432098765432098,0.5437062937062938,0.5357142857142857,0.5730994152046784,12,7,6,3
14,Nivo,SKCM,targets,14,0.5802469135802469,0.5811188811188811,0.42857142857142855,0.4385964912280702,7,12,4,5
15,Nivo,SKCM,targets,15,0.5432098765432098,0.5283216783216783,0.5357142857142857,0.6198830409356726,11,8,5,4
16,Nivo,SKCM,targets,16,0.5061728395061729,0.47832167832167827,0.6785714285714286,0.7602339181286549,13,6,3,6
17,Nivo,SKCM,targets,17,0.5802469135802469,0.5853146853146853,0.39285714285714285,0.43859649122807015,8,11,6,3
18,Nivo,SKCM,targets,18,0.49382716049382713,0.5370629370629371,0.6071428571428571,0.6198830409356726,15,4,7,2
19,Nivo,SKCM,targets,19,0.5555555555555556,0.5965034965034965,0.4642857142857143,0.42105263157894735,10,9,6,3
20,Nivo,SKCM,targets,20,0.5555555555555556,0.548951048951049,0.5,0.5760233918128655,10,9,5,4
21,Nivo,SKCM,targets,21,0.5308641975308642,0.5363636363636364,0.5714285714285714,0.5906432748538011,12,7,5,4
22,Nivo,SKCM,targets,22,0.5308641975308642,0.5951048951048952,0.4642857142857143,0.43274853801169594,11,8,7,2
23,Nivo,SKCM,targets,23,0.49382716049382713,0.5286713286713287,0.6785714285714286,0.5964912280701755,14,5,4,5
24,Nivo,SKCM,targets,24,0.5185185185185185,0.5013986013986014,0.6428571428571429,0.7368421052631579,12,7,3,6
25,Nivo,SKCM,node,0,0.6296296296296297,0.4433566433566434,0.4642857142857143,0.4327485380116959,12,7,8,1
26,Nivo,SKCM,node,1,0.5555555555555556,0.3958041958041958,0.6785714285714286,0.543859649122807,15,4,5,4
27,Nivo,SKCM,node,2,0.41975308641975306,0.6405594405594406,0.42857142857142855,0.37426900584795325,7,12,4,5
28,Nivo,SKCM,node,3,0.6296296296296297,0.46923076923076923,0.4642857142857143,0.3216374269005848,12,7,8,1
29,Nivo,SKCM,node,4,0.43209876543209874,0.5909090909090909,0.39285714285714285,0.5146198830409356,5,14,3,6
30,Nivo,SKCM,node,5,0.6172839506172839,0.5027972027972027,0.5,0.2514619883040936,13,6,8,1
31,Nivo,SKCM,node,6,0.5925925925925926,0.4090909090909091,0.5714285714285714,0.4970760233918129,14,5,7,2
32,Nivo,SKCM,node,7,0.6296296296296297,0.4342657342657342,0.4642857142857143,0.39181286549707606,12,7,8,1
33,Nivo,SKCM,node,8,0.43209876543209874,0.5940559440559441,0.35714285714285715,0.4766081871345029,3,16,2,7
34,Nivo,SKCM,node,9,0.6049382716049383,0.5041958041958042,0.5357142857142857,0.23391812865497078,13,6,7,2
35,Nivo,SKCM,node,10,0.5925925925925926,0.44475524475524475,0.5714285714285714,0.41520467836257313,15,4,8,1
36,Nivo,SKCM,node,11,0.5925925925925926,0.4412587412587412,0.5357142857142857,0.4444444444444444,12,7,6,3
37,Nivo,SKCM,node,12,0.4567901234567901,0.644055944055944,0.25,0.3391812865497076,2,17,4,5
38,Nivo,SKCM,node,13,0.6049382716049383,0.40559440559440557,0.5,0.5146198830409356,12,7,7,2
39,Nivo,SKCM,node,14,0.5802469135802469,0.43916083916083914,0.6071428571428571,0.40350877192982454,15,4,7,2
40,Nivo,SKCM,node,15,0.41975308641975306,0.5762237762237762,0.5,0.5614035087719298,8,11,3,6
41,Nivo,SKCM,node,16,0.5925925925925926,0.4643356643356643,0.5714285714285714,0.3391812865497076,15,4,8,1
42,Nivo,SKCM,node,17,0.43209876543209874,0.6097902097902098,0.39285714285714285,0.4678362573099415,6,13,4,5
43,Nivo,SKCM,node,18,0.5555555555555556,0.4384615384615385,0.6785714285714286,0.4210526315789474,16,3,6,3
44,Nivo,SKCM,node,19,0.5925925925925926,0.44755244755244755,0.5714285714285714,0.3976608187134503,13,6,6,3
45,Nivo,SKCM,node,20,0.6172839506172839,0.4496503496503497,0.5,0.39181286549707606,13,6,8,1
46,Nivo,SKCM,node,21,0.6172839506172839,0.49510489510489514,0.5,0.23976608187134502,13,6,8,1
47,Nivo,SKCM,node,22,0.5679012345679012,0.43916083916083914,0.6428571428571429,0.3450292397660819,16,3,7,2
48,Nivo,SKCM,node,23,0.6419753086419753,0.44965034965034967,0.39285714285714285,0.4035087719298246,9,10,7,2
49,Nivo,SKCM,node,24,0.5432098765432098,0.3874125874125874,0.7142857142857143,0.543859649122807,17,2,6,3
50,Nivo,SKCM,norm-node,0,0.48148148148148145,0.509090909090909,0.42857142857142855,0.4035087719298246,8,11,5,4
51,Nivo,SKCM,norm-node,1,0.5185185185185185,0.5321678321678323,0.35714285714285715,0.34502923976608185,8,11,7,2
52,Nivo,SKCM,norm-node,2,0.5679012345679012,0.5923076923076923,0.42857142857142855,0.33918128654970764,10,9,7,2
53,Nivo,SKCM,norm-node,3,0.5679012345679012,0.5853146853146853,0.42857142857142855,0.2923976608187135,9,10,6,3
