,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Pembro,SKCM,targets,0,1,0.59375,0.6040564373897707,0.696969696969697,0.6710526315789475,16,3,7,7
1,Pembro,SKCM,DiffExp,0,79,0.9166666666666666,0.9753086419753085,0.7878787878787878,0.849624060150376,15,4,3,11
2,Pembro,SKCM,edge,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,Pembro,SKCM,edge,0,0,0.9166666666666666,0.9753086419753085,0.7878787878787878,0.849624060150376,15,4,3,11
4,Pembro,SKCM,edge-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,Pembro,SKCM,edge-random,0,0,0.9166666666666666,0.9753086419753085,0.7878787878787878,0.849624060150376,15,4,3,11
6,Pembro,SKCM,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
7,Pembro,SKCM,node,0,0,0.9166666666666666,0.9753086419753085,0.7878787878787878,0.849624060150376,15,4,3,11
8,Pembro,SKCM,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
9,Pembro,SKCM,node-random,0,0,0.9166666666666666,0.9753086419753085,0.7878787878787878,0.849624060150376,15,4,3,11
10,Pembro,SKCM,node-norm,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,Pembro,SKCM,node-norm,0,0,0.9166666666666666,0.9753086419753085,0.7878787878787878,0.849624060150376,15,4,3,11
12,Pembro,SKCM,node-norm-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
13,Pembro,SKCM,node-norm-random,0,0,0.9166666666666666,0.9753086419753085,0.7878787878787878,0.849624060150376,15,4,3,11
14,Pembro,SKCM,targets,1,1,0.6041666666666666,0.5895061728395061,0.6666666666666666,0.7424812030075189,14,5,6,8
15,Pembro,SKCM,DiffExp,1,79,0.8854166666666666,0.9634038800705467,0.8484848484848485,0.9135338345864662,16,3,2,12
16,Pembro,SKCM,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
17,Pembro,SKCM,edge,1,0,0.8854166666666666,0.9634038800705467,0.8484848484848485,0.9135338345864662,16,3,2,12
18,Pembro,SKCM,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,Pembro,SKCM,edge-random,1,0,0.8854166666666666,0.9634038800705467,0.8484848484848485,0.9135338345864662,16,3,2,12
20,Pembro,SKCM,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
21,Pembro,SKCM,node,1,0,0.8854166666666666,0.9634038800705467,0.8484848484848485,0.9135338345864662,16,3,2,12
22,Pembro,SKCM,node-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
23,Pembro,SKCM,node-random,1,0,0.8854166666666666,0.9634038800705467,0.8484848484848485,0.9135338345864662,16,3,2,12
24,Pembro,SKCM,node-norm,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
25,Pembro,SKCM,node-norm,1,0,0.8854166666666666,0.9634038800705467,0.8484848484848485,0.9135338345864662,16,3,2,12
26,Pembro,SKCM,node-norm-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
27,Pembro,SKCM,node-norm-random,1,0,0.8854166666666666,0.9634038800705467,0.8484848484848485,0.9135338345864662,16,3,2,12
28,Pembro,SKCM,targets,2,1,0.6354166666666666,0.6199294532627866,0.5757575757575758,0.6240601503759399,14,5,9,5
29,Pembro,SKCM,DiffExp,2,79,0.90625,0.9735449735449736,0.696969696969697,0.7894736842105263,16,3,7,7
30,Pembro,SKCM,edge,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
31,Pembro,SKCM,edge,2,0,0.90625,0.9735449735449736,0.696969696969697,0.7894736842105263,16,3,7,7
32,Pembro,SKCM,edge-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
33,Pembro,SKCM,edge-random,2,0,0.90625,0.9735449735449736,0.696969696969697,0.7894736842105263,16,3,7,7
34,Pembro,SKCM,node,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
35,Pembro,SKCM,node,2,0,0.90625,0.9735449735449736,0.696969696969697,0.7894736842105263,16,3,7,7
36,Pembro,SKCM,node-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
37,Pembro,SKCM,node-random,2,0,0.90625,0.9735449735449736,0.696969696969697,0.7894736842105263,16,3,7,7
38,Pembro,SKCM,node-norm,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
39,Pembro,SKCM,node-norm,2,0,0.90625,0.9735449735449736,0.696969696969697,0.7894736842105263,16,3,7,7
40,Pembro,SKCM,node-norm-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
41,Pembro,SKCM,node-norm-random,2,0,0.90625,0.9735449735449736,0.696969696969697,0.7894736842105263,16,3,7,7
42,Pembro,SKCM,targets,3,1,0.6354166666666666,0.6578483245149913,0.5454545454545454,0.5169172932330828,14,5,10,4
43,Pembro,SKCM,DiffExp,3,79,0.9166666666666666,0.9678130511463845,0.696969696969697,0.8157894736842105,14,5,5,9
44,Pembro,SKCM,edge,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
45,Pembro,SKCM,edge,3,0,0.9166666666666666,0.9678130511463845,0.696969696969697,0.8157894736842105,14,5,5,9
46,Pembro,SKCM,edge-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
47,Pembro,SKCM,edge-random,3,0,0.9166666666666666,0.9678130511463845,0.696969696969697,0.8157894736842105,14,5,5,9
48,Pembro,SKCM,node,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
49,Pembro,SKCM,node,3,0,0.9166666666666666,0.9678130511463845,0.696969696969697,0.8157894736842105,14,5,5,9
50,Pembro,SKCM,node-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
51,Pembro,SKCM,node-random,3,0,0.9166666666666666,0.9678130511463845,0.696969696969697,0.8157894736842105,14,5,5,9
52,Pembro,SKCM,node-norm,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
53,Pembro,SKCM,node-norm,3,0,0.9166666666666666,0.9678130511463845,0.696969696969697,0.8157894736842105,14,5,5,9
54,Pembro,SKCM,node-norm-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
55,Pembro,SKCM,node-norm-random,3,0,0.9166666666666666,0.9678130511463845,0.696969696969697,0.8157894736842105,14,5,5,9
56,Pembro,SKCM,targets,4,1,0.6145833333333334,0.6377865961199295,0.6363636363636364,0.5864661654135338,14,5,7,7
57,Pembro,SKCM,DiffExp,4,79,0.9270833333333334,0.9753086419753088,0.7272727272727273,0.849624060150376,14,5,4,10
58,Pembro,SKCM,edge,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
59,Pembro,SKCM,edge,4,0,0.9270833333333334,0.9753086419753088,0.7272727272727273,0.849624060150376,14,5,4,10
60,Pembro,SKCM,edge-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
61,Pembro,SKCM,edge-random,4,0,0.9270833333333334,0.9753086419753088,0.7272727272727273,0.849624060150376,14,5,4,10
62,Pembro,SKCM,node,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
63,Pembro,SKCM,node,4,0,0.9270833333333334,0.9753086419753088,0.7272727272727273,0.849624060150376,14,5,4,10
64,Pembro,SKCM,node-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
65,Pembro,SKCM,node-random,4,0,0.9270833333333334,0.9753086419753088,0.7272727272727273,0.849624060150376,14,5,4,10
66,Pembro,SKCM,node-norm,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
67,Pembro,SKCM,node-norm,4,0,0.9270833333333334,0.9753086419753088,0.7272727272727273,0.849624060150376,14,5,4,10
68,Pembro,SKCM,node-norm-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
69,Pembro,SKCM,node-norm-random,4,0,0.9270833333333334,0.9753086419753088,0.7272727272727273,0.849624060150376,14,5,4,10
70,Pembro,SKCM,targets,5,1,0.59375,0.6205908289241623,0.6666666666666666,0.6240601503759399,16,3,8,6
71,Pembro,SKCM,DiffExp,5,79,0.8854166666666666,0.9779541446208113,0.6666666666666666,0.8157894736842106,13,6,5,9
72,Pembro,SKCM,edge,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
73,Pembro,SKCM,edge,5,0,0.8854166666666666,0.9779541446208113,0.6666666666666666,0.8157894736842106,13,6,5,9
74,Pembro,SKCM,edge-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
75,Pembro,SKCM,edge-random,5,0,0.8854166666666666,0.9779541446208113,0.6666666666666666,0.8157894736842106,13,6,5,9
76,Pembro,SKCM,node,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
77,Pembro,SKCM,node,5,0,0.8854166666666666,0.9779541446208113,0.6666666666666666,0.8157894736842106,13,6,5,9
78,Pembro,SKCM,node-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
79,Pembro,SKCM,node-random,5,0,0.8854166666666666,0.9779541446208113,0.6666666666666666,0.8157894736842106,13,6,5,9
80,Pembro,SKCM,node-norm,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
