,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,Pembro,SKCM,targets,0,1,0.59375,0.6040564373897707,0.696969696969697,0.6710526315789475,16,3,7,7
1,Pembro,SKCM,DiffExp,0,13,0.7708333333333334,0.8390652557319224,0.7878787878787878,0.8571428571428571,17,2,5,9
2,Pembro,SKCM,edge,0,7,0.53125,0.5652557319223986,0.5757575757575758,0.5037593984962406,15,4,10,4
3,Pembro,SKCM,edge-random,0,7,0.6354166666666666,0.6900352733686067,0.6666666666666666,0.6466165413533834,13,6,5,9
4,Pembro,SKCM,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,Pembro,SKCM,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
6,Pembro,SKCM,node-norm,0,23,0.7708333333333334,0.8478835978835979,0.45454545454545453,0.5225563909774436,9,10,8,6
7,Pembro,SKCM,node-norm-random,0,23,0.78125,0.8844797178130511,0.6060606060606061,0.6691729323308271,12,7,6,8
8,Pembro,SKCM,edge+targets,0,7,0.53125,0.5652557319223986,0.5757575757575758,0.5037593984962406,15,4,10,4
9,Pembro,SKCM,edge+targets-random,0,7,0.6770833333333334,0.7632275132275133,0.696969696969697,0.744360902255639,13,6,4,10
10,Pembro,SKCM,node+targets,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,Pembro,SKCM,node+targets-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
12,Pembro,SKCM,node-norm+targets,0,23,0.7708333333333334,0.8478835978835979,0.45454545454545453,0.5225563909774436,9,10,8,6
13,Pembro,SKCM,node-norm+targets-random,0,23,0.7395833333333334,0.8350970017636685,0.696969696969697,0.8646616541353385,15,4,6,8
14,Pembro,SKCM,targets,1,1,0.6041666666666666,0.5895061728395061,0.6666666666666666,0.7424812030075189,14,5,6,8
15,Pembro,SKCM,DiffExp,1,13,0.7708333333333334,0.8201058201058201,0.8181818181818182,0.8796992481203008,15,4,2,12
16,Pembro,SKCM,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
17,Pembro,SKCM,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
18,Pembro,SKCM,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,Pembro,SKCM,node-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
20,Pembro,SKCM,node-norm,1,23,0.71875,0.8020282186948854,0.6363636363636364,0.6240601503759399,12,7,5,9
21,Pembro,SKCM,node-norm-random,1,23,0.6979166666666666,0.8148148148148148,0.6363636363636364,0.706766917293233,12,7,5,9
22,Pembro,SKCM,edge+targets,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
23,Pembro,SKCM,edge+targets-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
24,Pembro,SKCM,node+targets,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
25,Pembro,SKCM,node+targets-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
26,Pembro,SKCM,node-norm+targets,1,23,0.71875,0.8020282186948854,0.6363636363636364,0.6240601503759399,12,7,5,9
27,Pembro,SKCM,node-norm+targets-random,1,23,0.7604166666666666,0.8778659611992945,0.6363636363636364,0.6654135338345865,11,8,4,10
28,Pembro,SKCM,targets,2,1,0.6354166666666666,0.6199294532627866,0.5757575757575758,0.6240601503759399,14,5,9,5
29,Pembro,SKCM,DiffExp,2,13,0.8229166666666666,0.8858024691358025,0.7272727272727273,0.7556390977443609,13,6,3,11
30,Pembro,SKCM,edge,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
31,Pembro,SKCM,edge-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
32,Pembro,SKCM,node,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
33,Pembro,SKCM,node-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
34,Pembro,SKCM,node-norm,2,23,0.7291666666666666,0.814373897707231,0.45454545454545453,0.4736842105263158,8,11,7,7
35,Pembro,SKCM,node-norm-random,2,23,0.8958333333333334,0.933862433862434,0.6363636363636364,0.7030075187969924,15,4,8,6
36,Pembro,SKCM,edge+targets,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
37,Pembro,SKCM,edge+targets-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
38,Pembro,SKCM,node+targets,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
39,Pembro,SKCM,node+targets-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
40,Pembro,SKCM,node-norm+targets,2,23,0.7291666666666666,0.814373897707231,0.45454545454545453,0.4736842105263158,8,11,7,7
41,Pembro,SKCM,node-norm+targets-random,2,23,0.8125,0.8880070546737213,0.6060606060606061,0.6541353383458647,14,5,8,6
42,Pembro,SKCM,targets,3,1,0.6354166666666666,0.6578483245149913,0.5454545454545454,0.5169172932330828,14,5,10,4
43,Pembro,SKCM,DiffExp,3,13,0.7916666666666666,0.9069664902998236,0.7272727272727273,0.6842105263157895,13,6,3,11
44,Pembro,SKCM,edge,3,14,0.6770833333333334,0.7072310405643739,0.6363636363636364,0.5902255639097745,12,7,5,9
