,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,crizotinib,LUAD,targets,0,0.6,0.6013824884792627,0.4666666666666667,0.3409090909090909,7,4,4,0
1,crizotinib,LUAD,targets,1,0.6666666666666666,0.564516129032258,0.6666666666666666,0.4545454545454546,9,2,3,1
2,crizotinib,LUAD,targets,2,0.5555555555555556,0.564516129032258,0.6666666666666666,0.5,10,1,4,0
3,crizotinib,LUAD,targets,3,0.6222222222222222,0.6059907834101382,0.5333333333333333,0.38636363636363635,7,4,3,1
4,crizotinib,LUAD,targets,4,0.5111111111111111,0.5806451612903226,0.7333333333333333,0.45454545454545453,11,0,4,0
5,crizotinib,LUAD,targets,5,0.6888888888888889,0.6843317972350231,0.6,0.09090909090909091,9,2,4,0
6,crizotinib,LUAD,targets,6,0.6,0.652073732718894,0.5333333333333333,0.29545454545454547,8,3,4,0
7,crizotinib,LUAD,targets,7,0.5777777777777777,0.5345622119815668,0.6666666666666666,0.5227272727272727,8,3,2,2
8,crizotinib,LUAD,targets,8,0.6666666666666666,0.6013824884792627,0.5333333333333333,0.34090909090909094,7,4,3,1
9,crizotinib,LUAD,targets,9,0.4888888888888889,0.5506912442396312,0.6666666666666666,0.6818181818181818,9,2,3,1
10,crizotinib,LUAD,targets,10,0.7333333333333333,0.6082949308755761,0.6,0.36363636363636365,8,3,3,1
11,crizotinib,LUAD,targets,11,0.6666666666666666,0.5138248847926267,0.8,0.6136363636363635,10,1,2,2
12,crizotinib,LUAD,targets,12,0.6,0.5944700460829493,0.4,0.4545454545454546,5,6,3,1
13,crizotinib,LUAD,targets,13,0.6444444444444445,0.5944700460829493,0.4,0.4772727272727273,5,6,3,1
14,crizotinib,LUAD,targets,14,0.7111111111111111,0.6267281105990783,0.5333333333333333,0.43181818181818177,8,3,4,0
15,crizotinib,LUAD,targets,15,0.7555555555555555,0.6774193548387096,0.4,0.11363636363636365,6,5,4,0
16,crizotinib,LUAD,targets,16,0.5333333333333333,0.5345622119815668,0.6,0.6136363636363636,6,5,1,3
17,crizotinib,LUAD,targets,17,0.5333333333333333,0.5691244239631337,0.6666666666666666,0.4090909090909091,9,2,3,1
18,crizotinib,LUAD,targets,18,0.5777777777777777,0.5253456221198156,0.7333333333333333,0.7954545454545455,10,1,3,1
19,crizotinib,LUAD,targets,19,0.7555555555555555,0.5852534562211981,0.4,0.4545454545454546,6,5,4,0
20,crizotinib,LUAD,targets,20,0.6888888888888889,0.5990783410138248,0.6666666666666666,0.2954545454545454,9,2,3,1
21,crizotinib,LUAD,targets,21,0.6222222222222222,0.6313364055299538,0.4666666666666667,0.25,6,5,3,1
22,crizotinib,LUAD,targets,22,0.5333333333333333,0.6221198156682028,0.6666666666666666,0.45454545454545453,10,1,4,0
23,crizotinib,LUAD,targets,23,0.6,0.6036866359447005,0.6666666666666666,0.5681818181818181,9,2,3,1
24,crizotinib,LUAD,targets,24,0.6222222222222222,0.6059907834101382,0.4,0.38636363636363635,5,6,3,1
25,crizotinib,LUAD,targets,25,0.6888888888888889,0.6013824884792627,0.6666666666666666,0.5,9,2,3,1
26,crizotinib,LUAD,targets,26,0.6666666666666666,0.6451612903225806,0.4,0.3181818181818182,6,5,4,0
27,crizotinib,LUAD,targets,27,0.6666666666666666,0.6129032258064516,0.4666666666666667,0.25,7,4,4,0
28,crizotinib,LUAD,targets,28,0.6444444444444445,0.6497695852534563,0.4,0.20454545454545453,6,5,4,0
29,crizotinib,LUAD,targets,29,0.7111111111111111,0.5829493087557603,0.4666666666666667,0.4090909090909091,6,5,3,1
30,crizotinib,LUAD,targets,30,0.5777777777777777,0.564516129032258,0.4666666666666667,0.5227272727272727,5,6,2,2
31,crizotinib,LUAD,targets,31,0.5555555555555556,0.5345622119815668,0.6,0.6136363636363636,6,5,1,3
32,crizotinib,LUAD,targets,32,0.6444444444444445,0.564516129032258,0.6,0.4772727272727273,8,3,3,1
33,crizotinib,LUAD,targets,33,0.6888888888888889,0.6129032258064516,0.6666666666666666,0.36363636363636365,9,2,3,1
34,crizotinib,LUAD,targets,34,0.6444444444444445,0.619815668202765,0.3333333333333333,0.4090909090909091,4,7,3,1
35,crizotinib,LUAD,targets,35,0.6222222222222222,0.5552995391705069,0.5333333333333333,0.5227272727272727,6,5,2,2
36,crizotinib,LUAD,targets,36,0.6444444444444445,0.49769585253456217,0.6666666666666666,0.75,10,1,4,0
37,crizotinib,LUAD,targets,37,0.6222222222222222,0.4907834101382488,0.5333333333333333,0.7272727272727273,5,6,1,3
38,crizotinib,LUAD,targets,38,0.6888888888888889,0.5368663594470047,0.6666666666666666,0.5681818181818182,7,4,1,3
39,crizotinib,LUAD,targets,39,0.6444444444444445,0.5691244239631337,0.8,0.36363636363636365,11,0,3,1
40,crizotinib,LUAD,targets,40,0.6222222222222222,0.5737327188940092,0.6666666666666666,0.4772727272727273,8,3,2,2
41,crizotinib,LUAD,targets,41,0.6444444444444445,0.6382488479262672,0.4666666666666667,0.2727272727272727,6,5,3,1
42,crizotinib,LUAD,targets,42,0.6666666666666666,0.631336405529954,0.6,0.38636363636363635,9,2,4,0
43,crizotinib,LUAD,targets,43,0.6888888888888889,0.5414746543778802,0.6,0.5681818181818181,8,3,3,1
44,crizotinib,LUAD,targets,44,0.5555555555555556,0.5852534562211982,0.5333333333333333,0.40909090909090906,7,4,3,1
45,crizotinib,LUAD,targets,45,0.6888888888888889,0.5460829493087558,0.6,0.5454545454545454,8,3,3,1
46,crizotinib,LUAD,targets,46,0.7111111111111111,0.6359447004608295,0.5333333333333333,0.2272727272727273,7,4,3,1
47,crizotinib,LUAD,targets,47,0.6,0.5944700460829493,0.5333333333333333,0.40909090909090906,7,4,3,1
48,crizotinib,LUAD,targets,48,0.6222222222222222,0.608294930875576,0.4666666666666667,0.5227272727272727,7,4,4,0
49,crizotinib,LUAD,targets,49,0.5777777777777777,0.596774193548387,0.4666666666666667,0.40909090909090906,6,5,3,1
50,crizotinib,LUAD,node,0,0.6444444444444445,0.7188940092165899,0.4666666666666667,0.2727272727272727,6,5,3,1
51,crizotinib,LUAD,node,1,0.5555555555555556,0.5714285714285714,0.4,0.5227272727272727,4,7,2,2
52,crizotinib,LUAD,node,2,0.6222222222222222,0.619815668202765,0.6,0.5681818181818182,7,4,2,2
53,crizotinib,LUAD,node,3,0.4888888888888889,0.5714285714285714,0.4,0.45454545454545453,3,8,1,3
54,crizotinib,LUAD,node,4,0.6444444444444445,0.6290322580645161,0.4,0.6363636363636364,3,8,1,3
55,crizotinib,LUAD,node,5,0.4888888888888889,0.5138248847926268,0.7333333333333333,0.75,7,4,0,4
56,crizotinib,LUAD,node,6,0.5555555555555556,0.532258064516129,0.6666666666666666,0.5681818181818181,8,3,2,2
57,crizotinib,LUAD,node,7,0.7333333333333333,0.7258064516129032,0.3333333333333333,0.20454545454545453,5,6,4,0
58,crizotinib,LUAD,node,8,0.5333333333333333,0.5599078341013825,0.7333333333333333,0.6363636363636364,8,3,1,3
59,crizotinib,LUAD,node,9,0.6222222222222222,0.6658986175115208,0.4,0.29545454545454547,3,8,1,3
60,crizotinib,LUAD,node,10,0.6,0.6543778801843319,0.4666666666666667,0.20454545454545456,7,4,4,0
61,crizotinib,LUAD,node,11,0.6666666666666666,0.6728110599078341,0.5333333333333333,0.38636363636363635,7,4,3,1
