,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,erlotinib,LUAD,targets,0,2,0.5333333333333333,0.5335968379446641,0.625,0.78125,4,4,2,6
1,erlotinib,LUAD,DiffExp,0,111,1.0,1.0,0.8125,0.921875,7,1,2,6
2,erlotinib,LUAD,edge,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,erlotinib,LUAD,edge-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
4,erlotinib,LUAD,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,erlotinib,LUAD,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
6,erlotinib,LUAD,node-norm,0,108,1.0,1.0,0.625,0.734375,5,3,3,5
7,erlotinib,LUAD,node-norm-random,0,108,1.0,1.0,0.625,0.75,5,3,3,5
8,erlotinib,LUAD,targets,1,2,0.5777777777777777,0.6857707509881423,0.5,0.3125,1,7,1,7
9,erlotinib,LUAD,DiffExp,1,111,1.0,1.0,0.9375,0.984375,7,1,0,8
10,erlotinib,LUAD,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,erlotinib,LUAD,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
12,erlotinib,LUAD,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
13,erlotinib,LUAD,node-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
14,erlotinib,LUAD,node-norm,1,112,1.0,1.0,0.5625,0.71875,3,5,2,6
15,erlotinib,LUAD,node-norm-random,1,112,1.0,1.0,0.6875,0.84375,6,2,3,5
16,erlotinib,LUAD,targets,2,2,0.6222222222222222,0.6264822134387352,0.625,0.625,4,4,2,6
17,erlotinib,LUAD,DiffExp,2,111,1.0,1.0,0.6875,0.890625,4,4,1,7
18,erlotinib,LUAD,edge,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,erlotinib,LUAD,edge-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
20,erlotinib,LUAD,node,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
21,erlotinib,LUAD,node-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
22,erlotinib,LUAD,node-norm,2,105,1.0,1.0,0.625,0.671875,4,4,2,6
23,erlotinib,LUAD,node-norm-random,2,105,1.0,1.0,0.875,0.953125,7,1,1,7
