,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,erlotinib,BRCA,targets,0,0.7307692307692307,0.7969924812030076,0.6666666666666666,0.4285714285714286,6,1,2,0
1,erlotinib,BRCA,targets,1,0.7307692307692307,0.7894736842105263,0.6666666666666666,0.7142857142857143,5,2,1,1
2,erlotinib,BRCA,targets,2,0.6923076923076923,0.7894736842105263,0.6666666666666666,0.8571428571428572,5,2,1,1
3,erlotinib,BRCA,targets,3,0.6153846153846154,0.7518796992481204,0.6666666666666666,0.7142857142857143,5,2,1,1
4,erlotinib,BRCA,targets,4,0.7307692307692307,0.8045112781954887,0.6666666666666666,0.7857142857142857,5,2,1,1
5,erlotinib,BRCA,targets,5,0.6153846153846154,0.7443609022556392,0.7777777777777778,0.7142857142857143,6,1,1,1
6,erlotinib,BRCA,targets,6,0.7307692307692307,0.8045112781954887,0.7777777777777778,0.7857142857142857,6,1,1,1
7,erlotinib,BRCA,targets,7,0.6153846153846154,0.736842105263158,0.8888888888888888,1.0,6,1,0,2
8,erlotinib,BRCA,targets,8,0.6538461538461539,0.8045112781954887,0.6666666666666666,0.6428571428571428,5,2,1,1
9,erlotinib,BRCA,targets,9,0.7307692307692307,0.7293233082706767,0.5555555555555556,0.7857142857142857,4,3,1,1
10,erlotinib,BRCA,targets,10,0.7307692307692307,0.8571428571428571,0.5555555555555556,0.5,5,2,2,0
11,erlotinib,BRCA,targets,11,0.6923076923076923,0.8421052631578947,0.6666666666666666,0.5714285714285714,6,1,2,0
12,erlotinib,BRCA,targets,12,0.7307692307692307,0.7744360902255639,0.6666666666666666,0.8571428571428572,5,2,1,1
13,erlotinib,BRCA,targets,13,0.8076923076923077,0.849624060150376,0.4444444444444444,0.5714285714285714,3,4,1,1
14,erlotinib,BRCA,targets,14,0.6538461538461539,0.7894736842105263,0.4444444444444444,0.6428571428571429,3,4,1,1
15,erlotinib,BRCA,targets,15,0.6153846153846154,0.7744360902255639,0.5555555555555556,0.5,4,3,1,1
