,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,sunitinib,LUAD,targets,0,6,0.7333333333333333,0.6524064171122994,0.6875,0.3125,11,1,4,0
1,sunitinib,LUAD,DiffExp,0,14,0.8888888888888888,0.9839572192513368,0.6875,0.6875,10,2,3,1
2,sunitinib,LUAD,edge,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,sunitinib,LUAD,edge,0,0,0.8888888888888888,0.9839572192513368,0.6875,0.6875,10,2,3,1
4,sunitinib,LUAD,edge-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,sunitinib,LUAD,edge-random,0,0,0.8888888888888888,0.9839572192513368,0.6875,0.6875,10,2,3,1
6,sunitinib,LUAD,node,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
7,sunitinib,LUAD,node,0,0,0.8888888888888888,0.9839572192513368,0.6875,0.6875,10,2,3,1
8,sunitinib,LUAD,node-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
9,sunitinib,LUAD,node-random,0,0,0.8888888888888888,0.9839572192513368,0.6875,0.6875,10,2,3,1
10,sunitinib,LUAD,node-norm,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,sunitinib,LUAD,node-norm,0,0,0.8888888888888888,0.9839572192513368,0.6875,0.6875,10,2,3,1
12,sunitinib,LUAD,node-norm-random,0,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
13,sunitinib,LUAD,node-norm-random,0,0,0.8888888888888888,0.9839572192513368,0.6875,0.6875,10,2,3,1
14,sunitinib,LUAD,targets,1,6,0.7555555555555555,0.6951871657754011,0.4375,0.4375,6,6,3,1
15,sunitinib,LUAD,DiffExp,1,14,0.8888888888888888,0.9679144385026738,0.625,0.6041666666666666,9,3,3,1
16,sunitinib,LUAD,edge,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
17,sunitinib,LUAD,edge,1,0,0.8888888888888888,0.9679144385026738,0.625,0.6041666666666666,9,3,3,1
18,sunitinib,LUAD,edge-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,sunitinib,LUAD,edge-random,1,0,0.8888888888888888,0.9679144385026738,0.625,0.6041666666666666,9,3,3,1
20,sunitinib,LUAD,node,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
21,sunitinib,LUAD,node,1,0,0.8888888888888888,0.9679144385026738,0.625,0.6041666666666666,9,3,3,1
22,sunitinib,LUAD,node-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
23,sunitinib,LUAD,node-random,1,0,0.8888888888888888,0.9679144385026738,0.625,0.6041666666666666,9,3,3,1
24,sunitinib,LUAD,node-norm,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
25,sunitinib,LUAD,node-norm,1,0,0.8888888888888888,0.9679144385026738,0.625,0.6041666666666666,9,3,3,1
26,sunitinib,LUAD,node-norm-random,1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
27,sunitinib,LUAD,node-norm-random,1,0,0.8888888888888888,0.9679144385026738,0.625,0.6041666666666666,9,3,3,1
28,sunitinib,LUAD,targets,2,6,0.8222222222222222,0.8101604278074865,0.5,0.3958333333333333,6,6,2,2
29,sunitinib,LUAD,DiffExp,2,14,0.8222222222222222,0.9411764705882353,0.625,0.6875,8,4,2,2
30,sunitinib,LUAD,edge,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
31,sunitinib,LUAD,edge,2,0,0.8222222222222222,0.9411764705882353,0.625,0.6875,8,4,2,2
32,sunitinib,LUAD,edge-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
33,sunitinib,LUAD,edge-random,2,0,0.8222222222222222,0.9411764705882353,0.625,0.6875,8,4,2,2
34,sunitinib,LUAD,node,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
35,sunitinib,LUAD,node,2,0,0.8222222222222222,0.9411764705882353,0.625,0.6875,8,4,2,2
36,sunitinib,LUAD,node-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
37,sunitinib,LUAD,node-random,2,0,0.8222222222222222,0.9411764705882353,0.625,0.6875,8,4,2,2
38,sunitinib,LUAD,node-norm,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
39,sunitinib,LUAD,node-norm,2,0,0.8222222222222222,0.9411764705882353,0.625,0.6875,8,4,2,2
40,sunitinib,LUAD,node-norm-random,2,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
41,sunitinib,LUAD,node-norm-random,2,0,0.8222222222222222,0.9411764705882353,0.625,0.6875,8,4,2,2
42,sunitinib,LUAD,targets,3,6,0.7333333333333333,0.7780748663101604,0.5625,0.6666666666666666,6,6,1,3
43,sunitinib,LUAD,DiffExp,3,14,0.8222222222222222,0.9705882352941175,0.75,0.7291666666666666,9,3,1,3
44,sunitinib,LUAD,edge,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
45,sunitinib,LUAD,edge,3,0,0.8222222222222222,0.9705882352941175,0.75,0.7291666666666666,9,3,1,3
46,sunitinib,LUAD,edge-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
47,sunitinib,LUAD,edge-random,3,0,0.8222222222222222,0.9705882352941175,0.75,0.7291666666666666,9,3,1,3
48,sunitinib,LUAD,node,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
49,sunitinib,LUAD,node,3,0,0.8222222222222222,0.9705882352941175,0.75,0.7291666666666666,9,3,1,3
