,drug,tissue,feature,iter,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
0,sunitinib,LUAD,targets,0,0.7333333333333333,0.6524064171122994,0.6875,0.3125,11,1,4,0
1,sunitinib,LUAD,targets,1,0.7555555555555555,0.6951871657754011,0.4375,0.4375,6,6,3,1
2,sunitinib,LUAD,targets,2,0.8222222222222222,0.8101604278074865,0.5,0.3958333333333333,6,6,2,2
3,sunitinib,LUAD,targets,3,0.7333333333333333,0.7780748663101604,0.5625,0.6666666666666666,6,6,1,3
4,sunitinib,LUAD,targets,4,0.7777777777777778,0.7352941176470588,0.6875,0.27083333333333337,10,2,3,1
5,sunitinib,LUAD,targets,5,0.7111111111111111,0.7700534759358288,0.625,0.7083333333333333,8,4,2,2
6,sunitinib,LUAD,targets,6,0.6888888888888889,0.7245989304812834,0.625,0.4166666666666667,8,4,2,2
7,sunitinib,LUAD,targets,7,0.7333333333333333,0.7352941176470588,0.5625,0.7083333333333333,8,4,3,1
8,sunitinib,LUAD,targets,8,0.7333333333333333,0.732620320855615,0.6875,0.6041666666666666,9,3,2,2
9,sunitinib,LUAD,targets,9,0.8,0.802139037433155,0.625,0.41666666666666663,8,4,2,2
10,sunitinib,LUAD,targets,10,0.7555555555555555,0.7754010695187166,0.625,0.5416666666666666,9,3,3,1
11,sunitinib,LUAD,targets,11,0.7555555555555555,0.6844919786096256,0.5625,0.4375,7,5,2,2
12,sunitinib,LUAD,targets,12,0.7555555555555555,0.7459893048128341,0.625,0.20833333333333334,9,3,3,1
13,sunitinib,LUAD,targets,13,0.6444444444444445,0.6363636363636364,0.875,0.8958333333333334,10,2,0,4
14,sunitinib,LUAD,targets,14,0.7333333333333333,0.7459893048128342,0.625,0.5208333333333334,9,3,3,1
15,sunitinib,LUAD,targets,15,0.7111111111111111,0.7379679144385026,0.5625,0.6875,7,5,2,2
16,sunitinib,LUAD,targets,16,0.7555555555555555,0.7754010695187166,0.6875,0.5416666666666666,10,2,3,1
