iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
0,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.05,0.5476190476190477,0.5777777777777778
1,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.05,0.5952380952380952,0.5666666666666667
2,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.05,0.5476190476190477,0.6111111111111112
3,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.05,0.5714285714285714,0.5805555555555556
4,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.05,0.6190476190476191,0.6388888888888888
0,Atezo,Atezo,drug targets,BLCA,KIRC,0.05,0.6428571428571429,0.7333333333333334
1,Atezo,Atezo,drug targets,BLCA,KIRC,0.05,0.5476190476190477,0.49444444444444446
2,Atezo,Atezo,drug targets,BLCA,KIRC,0.05,0.5952380952380952,0.5611111111111111
3,Atezo,Atezo,drug targets,BLCA,KIRC,0.05,0.6428571428571429,0.6277777777777778
4,Atezo,Atezo,drug targets,BLCA,KIRC,0.05,0.47619047619047616,0.49444444444444446
0,Atezo,Atezo,random sample,BLCA,KIRC,0.05,0.6666666666666666,0.6183333333333333
1,Atezo,Atezo,random sample,BLCA,KIRC,0.05,0.6190476190476191,0.5722222222222223
2,Atezo,Atezo,random sample,BLCA,KIRC,0.05,0.5904761904761905,0.5438888888888889
3,Atezo,Atezo,random sample,BLCA,KIRC,0.05,0.6285714285714286,0.6138888888888889
4,Atezo,Atezo,random sample,BLCA,KIRC,0.05,0.6190476190476191,0.6138888888888889
