drug,source tissue,target tissue,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,KIRC,BLCA,edge,0.1,0,167,0.9237668161434978,0.9732102143182855,0.7466666666666667,0.7403651115618661,48,10,9,8
Atezo,KIRC,BLCA,edge,0.1,1,167,0.9820627802690582,0.9998860009119926,0.72,0.6247464503042596,50,8,13,4
Atezo,KIRC,BLCA,edge,0.1,2,167,0.9461883408071748,0.9866621067031464,0.72,0.7322515212981744,46,12,9,8
Atezo,KIRC,BLCA,edge,0.1,3,167,0.9461883408071748,0.989170086639307,0.68,0.6217038539553752,45,13,11,6
Atezo,KIRC,BLCA,edge,0.1,4,167,0.9820627802690582,1.0,0.8133333333333334,0.7515212981744421,52,6,8,9
Atezo,KIRC,BLCA,edge,0.1,5,167,0.9820627802690582,1.0,0.8133333333333334,0.720081135902637,52,6,8,9
Atezo,KIRC,BLCA,edge,0.1,6,167,0.9955156950672646,1.0,0.6933333333333334,0.6997971602434078,44,14,9,8
Atezo,KIRC,BLCA,edge,0.1,7,167,0.9865470852017937,1.0,0.6533333333333333,0.6369168356997972,40,18,8,9
Atezo,KIRC,BLCA,edge,0.1,8,167,0.9327354260089686,0.9840401276789785,0.76,0.7129817444219066,49,9,9,8
Atezo,KIRC,BLCA,edge,0.1,9,167,0.968609865470852,0.9963520291837665,0.7066666666666667,0.7545638945233265,43,15,7,10
Atezo,KIRC,BLCA,edge,0.1,10,167,0.9820627802690582,0.9997720018239854,0.7066666666666667,0.6602434077079107,45,13,9,8
Atezo,KIRC,BLCA,edge,0.1,11,167,0.9282511210762332,0.9814181486548108,0.6933333333333334,0.6683569979716024,47,11,12,5
Atezo,KIRC,BLCA,edge,0.1,12,167,0.9641255605381166,0.9940720474236207,0.6533333333333333,0.6734279918864097,41,17,9,8
Atezo,KIRC,BLCA,edge,0.1,13,167,0.9730941704035875,1.0,0.6933333333333334,0.6146044624746451,46,12,11,6
Atezo,KIRC,BLCA,edge,0.1,14,167,0.9596412556053812,0.9945280437756497,0.6533333333333333,0.6115618661257607,42,16,10,7
Atezo,KIRC,BLCA,edge,0.1,15,167,0.9147982062780269,0.9851801185590515,0.6266666666666667,0.6156186612576064,39,19,9,8
Atezo,KIRC,BLCA,edge,0.1,16,167,1.0,1.0,0.64,0.6196754563894523,42,16,11,6
Atezo,KIRC,BLCA,edge,0.1,17,167,0.9910313901345291,0.9997720018239854,0.6666666666666666,0.6328600405679513,43,15,10,7
Atezo,KIRC,BLCA,edge,0.1,18,167,0.9327354260089686,0.9891700866393068,0.7333333333333333,0.6115618661257606,47,11,9,8
Atezo,KIRC,BLCA,edge,0.1,19,167,0.9865470852017937,1.0,0.72,0.6176470588235294,47,11,10,7
Atezo,KIRC,BLCA,edge,0.1,20,167,0.9641255605381166,0.9855221158230735,0.64,0.5699797160243408,40,18,9,8
Atezo,KIRC,BLCA,edge,0.1,21,167,0.9730941704035875,0.9972640218878249,0.6933333333333334,0.5507099391480731,46,12,11,6
Atezo,KIRC,BLCA,edge,0.1,22,167,0.9461883408071748,0.9937300501595987,0.6533333333333333,0.6186612576064909,44,14,12,5
Atezo,KIRC,BLCA,edge,0.1,23,167,0.9327354260089686,0.988828089375285,0.68,0.7302231237322515,42,16,8,9
Atezo,KIRC,BLCA,edge,0.1,24,167,0.9461883408071748,0.9954400364797082,0.7733333333333333,0.6724137931034483,50,8,9,8
Atezo,KIRC,BLCA,edge,0.1,25,167,0.9955156950672646,0.9997720018239854,0.6933333333333334,0.6288032454361054,46,12,11,6
Atezo,KIRC,BLCA,edge,0.1,26,167,0.9596412556053812,0.9986320109439124,0.7466666666666667,0.7241379310344828,46,12,7,10
Atezo,KIRC,BLCA,edge,0.1,27,167,0.968609865470852,1.0,0.72,0.6977687626774848,47,11,10,7
Atezo,KIRC,BLCA,edge,0.1,28,167,0.968609865470852,0.9927040583675331,0.6533333333333333,0.6115618661257607,44,14,12,5
Atezo,KIRC,BLCA,edge,0.1,29,167,0.968609865470852,0.9945280437756497,0.7866666666666666,0.7910750507099391,48,10,6,11
Atezo,KIRC,BLCA,edge,0.1,30,167,0.9327354260089686,0.9898540811673507,0.6533333333333333,0.6470588235294118,42,16,10,7
Atezo,KIRC,BLCA,edge,0.1,31,167,0.9641255605381166,0.9952120383036935,0.72,0.7008113590263693,46,12,9,8
Atezo,KIRC,BLCA,edge,0.1,32,167,0.9372197309417041,0.9936160510715915,0.6933333333333334,0.6328600405679513,43,15,8,9
Atezo,KIRC,BLCA,edge,0.1,33,167,0.9596412556053812,0.9899680802553579,0.7866666666666666,0.691683569979716,51,7,9,8
