iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
0,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.42857142857142855,0.5730994152046783
1,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.4642857142857143,0.5497076023391813
2,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.6783625730994153
3,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.7426900584795322
4,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.6140350877192983
5,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.5263157894736842
6,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5357142857142857,0.5964912280701755
7,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6428571428571429,0.6549707602339181
8,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.6491228070175439
9,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5,0.4970760233918129
10,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.6725146198830408
11,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.7142857142857143,0.783625730994152
12,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.75,0.6491228070175439
13,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6071428571428571,0.631578947368421
14,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6071428571428571,0.6140350877192982
15,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5,0.5672514619883041
16,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6428571428571429,0.6140350877192983
17,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.5497076023391813
18,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6071428571428571,0.5730994152046783
19,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.5555555555555556
20,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5357142857142857,0.6198830409356726
21,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6785714285714286,0.7251461988304093
22,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.4642857142857143,0.42105263157894735
23,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6071428571428571,0.7134502923976609
24,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6071428571428571,0.6257309941520468
25,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.39285714285714285,0.3976608187134503
26,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5357142857142857,0.5906432748538012
27,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.5789473684210527
28,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5,0.5555555555555556
29,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.7142857142857143,0.6783625730994152
30,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6785714285714286,0.7894736842105263
31,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5357142857142857,0.4385964912280702
32,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.2857142857142857,0.3391812865497076
33,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.5087719298245614
34,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5357142857142857,0.7426900584795322
35,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5714285714285714,0.5847953216374269
36,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.5,0.4327485380116959
37,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.6785714285714286,0.631578947368421
38,Pembro,Nivo,source biomarkers,STAD,SKCM,0.1,0.4642857142857143,0.4736842105263158
