drug,source tissue,target tissue,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Pembro,STAD,SKCM,edge,0.1,0,47,0.875,0.9409171075837741,0.5757575757575758,0.6090225563909775,12,7,7,7
Pembro,STAD,SKCM,edge,0.1,1,47,0.9375,0.9673721340388006,0.5757575757575758,0.5451127819548873,11,8,6,8
Pembro,STAD,SKCM,edge,0.1,2,47,0.8229166666666666,0.8950617283950617,0.6060606060606061,0.5939849624060151,12,7,6,8
Pembro,STAD,SKCM,edge,0.1,3,47,0.78125,0.8518518518518519,0.5757575757575758,0.650375939849624,13,6,8,6
Pembro,STAD,SKCM,edge,0.1,4,47,0.8229166666666666,0.9021164021164021,0.6060606060606061,0.5789473684210527,14,5,8,6
Pembro,STAD,SKCM,edge,0.1,5,47,0.8333333333333334,0.8659611992945326,0.7575757575757576,0.6879699248120301,17,2,6,8
Pembro,STAD,SKCM,edge,0.1,6,47,0.8229166666666666,0.8937389770723104,0.5757575757575758,0.6240601503759399,13,6,8,6
Pembro,STAD,SKCM,edge,0.1,7,47,0.9583333333333334,0.9828042328042328,0.36363636363636365,0.4285714285714286,10,9,12,2
Pembro,STAD,SKCM,edge,0.1,8,47,0.8645833333333334,0.9360670194003528,0.6363636363636364,0.6578947368421052,11,8,4,10
Pembro,STAD,SKCM,edge,0.1,9,47,0.8020833333333334,0.8699294532627866,0.6060606060606061,0.650375939849624,14,5,8,6
Pembro,STAD,SKCM,edge,0.1,10,47,0.8541666666666666,0.9122574955908289,0.5151515151515151,0.49624060150375937,12,7,9,5
Pembro,STAD,SKCM,edge,0.1,11,47,0.875,0.9501763668430334,0.42424242424242425,0.39097744360902253,8,11,8,6
Pembro,STAD,SKCM,edge,0.1,12,47,0.8958333333333334,0.9338624338624338,0.5757575757575758,0.5488721804511277,14,5,9,5
Pembro,STAD,SKCM,edge,0.1,13,47,0.8854166666666666,0.935626102292769,0.48484848484848486,0.4548872180451128,10,9,8,6
Pembro,STAD,SKCM,edge,0.1,14,47,0.8854166666666666,0.9109347442680775,0.6666666666666666,0.6578947368421053,13,6,5,9
Pembro,STAD,SKCM,edge,0.1,15,47,0.8541666666666666,0.896384479717813,0.6363636363636364,0.6015037593984963,14,5,7,7
Pembro,STAD,SKCM,edge,0.1,16,47,0.8229166666666666,0.900352733686067,0.6060606060606061,0.6015037593984962,12,7,6,8
Pembro,STAD,SKCM,edge,0.1,17,47,0.9166666666666666,0.955026455026455,0.6363636363636364,0.5488721804511278,13,6,6,8
Pembro,STAD,SKCM,edge,0.1,18,47,0.8541666666666666,0.9047619047619049,0.5454545454545454,0.6390977443609023,8,11,4,10
Pembro,STAD,SKCM,edge,0.1,19,47,0.8125,0.8606701940035273,0.6060606060606061,0.6428571428571429,13,6,7,7
Pembro,STAD,SKCM,edge,0.1,20,47,0.75,0.8245149911816578,0.6666666666666666,0.8157894736842106,16,3,8,6
Pembro,STAD,SKCM,edge,0.1,21,47,0.8541666666666666,0.9007936507936507,0.6060606060606061,0.6541353383458647,12,7,6,8
Pembro,STAD,SKCM,edge,0.1,22,47,0.84375,0.8977072310405644,0.5757575757575758,0.6203007518796992,10,9,5,9
Pembro,STAD,SKCM,edge,0.1,23,47,0.8020833333333334,0.8875661375661376,0.5757575757575758,0.5639097744360902,8,11,3,11
Pembro,STAD,SKCM,edge,0.1,24,47,0.875,0.9149029982363316,0.6060606060606061,0.5939849624060151,11,8,5,9
Pembro,STAD,SKCM,edge,0.1,25,47,0.8125,0.8774250440917107,0.5454545454545454,0.5977443609022557,11,8,7,7
Pembro,STAD,SKCM,edge,0.1,26,47,0.8020833333333334,0.8725749559082893,0.48484848484848486,0.47744360902255645,10,9,8,6
Pembro,STAD,SKCM,edge,0.1,27,47,0.78125,0.8840388007054674,0.6363636363636364,0.6503759398496242,11,8,4,10
Pembro,STAD,SKCM,edge,0.1,28,47,0.8020833333333334,0.8831569664902998,0.5757575757575758,0.5375939849624061,12,7,7,7
Pembro,STAD,SKCM,edge,0.1,29,47,0.8125,0.9263668430335097,0.48484848484848486,0.49248120300751885,10,9,8,6
Pembro,STAD,SKCM,edge,0.1,30,47,0.8541666666666666,0.9188712522045855,0.5151515151515151,0.48872180451127817,10,9,7,7
Pembro,STAD,SKCM,edge,0.1,31,47,0.8333333333333334,0.9078483245149913,0.5151515151515151,0.5037593984962406,9,10,6,8
Pembro,STAD,SKCM,edge,0.1,32,47,0.8229166666666666,0.9109347442680776,0.6060606060606061,0.5977443609022557,10,9,4,10
Pembro,STAD,SKCM,edge,0.1,33,47,0.8541666666666666,0.904320987654321,0.6060606060606061,0.5827067669172933,12,7,6,8
Pembro,STAD,SKCM,edge,0.1,34,47,0.8229166666666666,0.8734567901234568,0.5454545454545454,0.6165413533834587,11,8,7,7
Pembro,STAD,SKCM,edge,0.1,35,47,0.84375,0.8783068783068783,0.696969696969697,0.6541353383458647,17,2,8,6
Pembro,STAD,SKCM,edge,0.1,36,47,0.875,0.9184303350970018,0.6060606060606061,0.5827067669172933,12,7,6,8
Pembro,STAD,SKCM,edge,0.1,37,47,0.8333333333333334,0.8862433862433863,0.5757575757575758,0.5864661654135338,12,7,7,7
Pembro,STAD,SKCM,edge,0.1,38,47,0.8645833333333334,0.9312169312169312,0.45454545454545453,0.47744360902255645,10,9,9,5
Pembro,STAD,SKCM,edge,0.1,39,47,0.875,0.9166666666666666,0.5757575757575758,0.6127819548872181,12,7,7,7
Pembro,STAD,SKCM,edge,0.1,40,47,0.8020833333333334,0.8875661375661376,0.696969696969697,0.6315789473684211,16,3,7,7
Pembro,STAD,SKCM,edge,0.1,41,47,0.8541666666666666,0.9126984126984127,0.45454545454545453,0.4699248120300752,9,10,8,6
Pembro,STAD,SKCM,edge,0.1,42,47,0.8958333333333334,0.9382716049382716,0.45454545454545453,0.5,8,11,7,7
Pembro,STAD,SKCM,edge,0.1,43,47,0.8645833333333334,0.931657848324515,0.48484848484848486,0.4962406015037594,13,6,11,3
Pembro,STAD,SKCM,edge,0.1,44,47,0.9270833333333334,0.9594356261022927,0.6060606060606061,0.5300751879699248,13,6,7,7
Pembro,STAD,SKCM,edge,0.1,45,47,0.8333333333333334,0.8765432098765432,0.6060606060606061,0.6390977443609023,12,7,6,8
Pembro,STAD,SKCM,edge,0.1,46,47,0.7916666666666666,0.8884479717813052,0.5454545454545454,0.605263157894737,12,7,8,6
