,patient,Gene,Raw,Normalized,Response
0,A549_LUNG,CEBPD,-20.92,-46.159770800000004,0
1,A549_LUNG,XPO7,-0.2,-5.543067999999998,0
2,A549_LUNG,EED,1.96,49.40440680000001,0
3,A549_LUNG,HSPA4,10.34,498.6587012000001,0
4,A549_LUNG,MTA1,0.8699999999999998,19.9803287,0
5,A549_LUNG,PPARD,-9.36,-36.4924872,0
6,A549_LUNG,LYPLA1,0.84,34.3772604,0
7,A549_LUNG,POLE2,0.5900000000000001,12.532260800000001,0
8,A549_LUNG,TIMM9,0.5,21.86063,0
9,A549_LUNG,RALB,1.44,53.2692576,0
10,A549_LUNG,ZFP36,-3.6700000000000004,-49.70937930000001,0
11,A549_LUNG,CASP3,-5.33,-89.26549059999999,0
12,A549_LUNG,CAST,0.74,37.8096858,0
13,A549_LUNG,GLRX,0.14,7.5207451999999995,0
14,A549_LUNG,MCM3,11.200000000000001,424.9149661,0
15,A549_LUNG,TMEM109,0.42,16.7831706,0
16,A549_LUNG,TEX10,-0.13,-3.167244600000001,0
17,A549_LUNG,MYCBP2,-2.3200000000000003,-37.320332,0
18,A549_LUNG,PLCB3,-2.79,-36.240230700000005,0
19,A549_LUNG,PIK3R4,0.38,7.5724234,0
20,A549_LUNG,ZNF131,-0.43,-7.9049867,0
21,A549_LUNG,RRAGA,0.96,38.724288,0
22,A549_LUNG,GNB5,1.7300000000000002,42.85311190000001,0
23,A549_LUNG,CALM3,5.360000000000001,331.23986959999996,0
24,A549_LUNG,PMM2,-0.6799999999999999,-22.107357599999997,0
25,A549_LUNG,PNKP,-2.0300000000000002,-33.5763624,0
26,A549_LUNG,PIH1D1,-0.96,-33.79769580000001,0
27,A549_LUNG,PARP1,10.720000000000004,437.994633,0
28,A549_LUNG,NFE2L2,4.0,146.3014008,0
29,A549_LUNG,PDHX,-2.37,-60.4425129,0
30,A549_LUNG,DNAJB6,1.38,65.4844849,0
31,A549_LUNG,TCTN1,-0.1,-1.949654,0
32,A549_LUNG,HEATR1,-0.15000000000000002,-3.636312,0
33,A549_LUNG,DDX42,0.29,12.9830564,0
