,patient,Gene,Raw,Normalized,Response
0,A549_LUNG,SBDS,0.04000000000000001,1.7507984,0
1,A549_LUNG,CCNC,0.37000000000000005,11.221663399999999,0
2,A549_LUNG,IL6ST,0.41000000000000003,11.9003156,0
3,A549_LUNG,KRAS,1.9300000000000013,36.70647700000001,0
4,A549_LUNG,MLLT6,-0.31000000000000005,-3.1087079000000006,0
5,A549_LUNG,STAG2,1.2500000000000004,37.6741375,0
6,A549_LUNG,CCND3,1.0400000000000003,52.93629280000001,0
7,A549_LUNG,BUB1B,0.07,1.7086923,0
8,A549_LUNG,TRRAP,-0.26,-3.1841394000000003,0
9,A549_LUNG,CHIC2,-0.16,-1.1571728000000001,0
10,A549_LUNG,ZRSR2,-1.1500000000000001,-8.9380309,0
11,A549_LUNG,STRN,-0.21,-3.0507351,0
12,A549_LUNG,SMAD2,2.1900000000000004,79.8370851,0
13,A549_LUNG,MED12,-1.76,-13.6822439,0
14,A549_LUNG,PBRM1,0.1,1.4139260000000002,0
15,A549_LUNG,SET,0.5700000000000001,43.9962879,0
16,A549_LUNG,MSI2,0.0,0.0,0
17,A549_LUNG,TFG,0.7400000000000002,36.1718254,0
18,A549_LUNG,NBN,1.3800000000000003,37.3217688,0
19,A549_LUNG,B2M,0.6699999999999999,59.969562700000004,0
20,A549_LUNG,PICALM,0.33999999999999997,14.883771999999999,0
21,A549_LUNG,SDHAF2,0.4,11.472292000000001,0
22,A549_LUNG,DAXX,0.9900000000000002,24.239189699999994,0
23,A549_LUNG,SDHD,0.73,28.077468899999996,0
24,A549_LUNG,PCM1,0.13,4.3471063999999995,0
25,A549_LUNG,ETV6,-6.53,-32.3842572,0
26,A549_LUNG,PSIP1,0.39,14.3377455,0
27,A549_LUNG,DGCR8,-0.53,-6.2752795,0
28,A549_LUNG,MAP2K2,1.08,40.379722400000006,0
29,A549_LUNG,TMSB4X,0.02,1.7901362,0
30,A549_LUNG,ASPSCR1,-0.34,-5.268388400000001,0
31,A549_LUNG,BRD3,-0.55,-4.8902897,0
32,A549_LUNG,FANCA,1.2000000000000002,26.500440000000005,0
33,A549_LUNG,TFE3,-0.15000000000000002,-3.6510210000000005,0
34,A549_LUNG,RANBP2,-0.5300000000000001,-7.1292264,0
35,A549_LUNG,TFPT,-0.16,-2.3251272,0
36,A549_LUNG,BLM,1.0800000000000005,19.401422800000006,0
37,A549_LUNG,NUMA1,0.13999999999999999,3.5401194,0
38,A549_LUNG,NDRG1,0.060000000000000005,1.5947046000000002,0
39,A549_LUNG,MAP2K1,2.1600000000000006,70.21404720000001,0
40,A549_LUNG,NCKIPSD,-0.47000000000000003,-3.0050249,0
41,A549_LUNG,NFKB2,0.5,14.346025000000001,0
42,A549_LUNG,CREB1,0.10000000000000002,2.7990787,0
43,A549_LUNG,CIC,-0.04,-0.6365292,0
44,A549_LUNG,ZMYM3,-0.09,-1.0762730999999999,0
45,A549_LUNG,NCOR2,0.68,27.182986500000002,0
46,A549_LUNG,SPOP,0.4799999999999999,13.4610182,0
47,A549_LUNG,RFWD3,0.33,8.376436,0
48,A549_LUNG,PML,-4.68,-23.051280900000005,0
49,A549_LUNG,ELK4,-0.19,-1.5040248,0
50,A549_LUNG,ZNF384,-0.26,-1.9602816000000003,0
51,A549_LUNG,HIF1A,2.980000000000001,156.6243089,0
52,A549_LUNG,EPS15,-0.54,-4.3855875,0
53,A549_LUNG,GPHN,-0.03,-0.40832789999999997,0
54,A549_LUNG,RAC1,0.8500000000000003,65.3336261,0
55,A549_LUNG,PHF6,-0.51,-8.6817049,0
56,A549_LUNG,TAF15,0.49000000000000005,29.8145204,0
57,A549_LUNG,TBL1XR1,0.009999999999999995,1.9348732999999998,0
58,A549_LUNG,ABL2,-0.6399999999999999,-0.9682231000000001,0
59,A549_LUNG,RALGDS,-0.3,-2.4474359999999997,0
60,A549_LUNG,DDB2,0.7499999999999999,23.39889,0
61,A549_LUNG,LATS1,-0.54,-3.7283328000000004,0
62,A549_LUNG,BCR,-1.9,-7.3172016,0
63,A549_LUNG,CASP9,-1.1500000000000004,-7.888252200000002,0
64,A549_LUNG,FLNA,0.77,77.55629370000001,0
65,A549_LUNG,GOLGA5,0.04,0.9418696,0
66,A549_LUNG,MET,1.9700000000000009,85.47357729999999,0
67,A549_LUNG,POLQ,-0.51,-4.0810508,0
68,A549_LUNG,STAG1,-0.7000000000000001,-5.841061300000002,0
69,A549_LUNG,TRIM24,-1.65,-12.777137100000001,0
70,A549_LUNG,SPEN,-0.06000000000000001,0.8758689,0
71,A549_LUNG,KNSTRN,0.01,0.2440989,0
72,A549_LUNG,TCF12,-0.030000000000000006,3.2267468999999998,0
73,A549_LUNG,BCL10,-1.51,-10.2209182,0
74,A549_LUNG,ATR,0.46000000000000013,17.9707218,0
75,A549_LUNG,NUP98,-0.69,-14.207344800000001,0
76,A549_LUNG,NTHL1,0.7700000000000002,16.288364400000003,0
77,A549_LUNG,NRAS,-0.07,6.6979112,0
78,A549_LUNG,CALR,0.44,38.719849200000006,0
79,A549_LUNG,CRTC1,-0.48,-0.84612,0
80,A549_LUNG,PRPF40B,-0.86,-6.7049456,0
81,A549_LUNG,FANCC,0.07,2.3271726,0
82,A549_LUNG,ATRX,0.28,15.948698900000002,0
83,A549_LUNG,PMS2,0.52,7.512566400000001,0
84,A549_LUNG,MAP2K4,0.25,12.012791000000002,0
85,A549_LUNG,FANCD2,2.140000000000001,53.60156099999999,0
86,A549_LUNG,FEN1,1.9700000000000009,73.0029573,0
87,A549_LUNG,TPM3,0.24000000000000005,42.73663240000001,0
88,A549_LUNG,PPM1D,-0.28,-3.1059335999999997,0
89,A549_LUNG,FLCN,-0.17,-2.3217804,0
90,A549_LUNG,RBM10,-0.09000000000000001,-1.7855712000000006,0
91,A549_LUNG,FH,0.6300000000000001,26.0453781,0
92,A549_LUNG,XPO1,1.1900000000000006,67.19478969999999,0
93,A549_LUNG,ABI1,0.06000000000000001,-1.3021151,0
94,A549_LUNG,CDKN1B,-0.5000000000000001,-2.462655599999998,0
95,A549_LUNG,POLE,1.4700000000000009,33.9855792,0
96,A549_LUNG,CTCF,0.8900000000000003,22.2461778,0
97,A549_LUNG,MAPK1,1.1700000000000006,46.3392263,0
98,A549_LUNG,NIN,-0.14,-0.5815859000000003,0
99,A549_LUNG,FANCG,0.9200000000000002,22.652006199999995,0
100,A549_LUNG,CRNKL1,-0.09000000000000001,-1.8679914,0
101,A549_LUNG,CREBBP,-4.809999999999999,-37.30374610000001,0
102,A549_LUNG,RAF1,1.740000000000001,54.60168400000001,0
103,A549_LUNG,KMT2A,-8.120000000000003,-67.05517350000002,0
104,A549_LUNG,BCL9L,0.1,1.6328810000000002,0
105,A549_LUNG,ARID1A,0.5700000000000002,10.926024700000003,0
106,A549_LUNG,MALT1,-0.13,-2.3814572000000003,0
107,A549_LUNG,SF3B1,0.05999999999999999,20.482332900000003,0
108,A549_LUNG,ERCC3,1.1400000000000001,40.641589100000004,0
109,A549_LUNG,VHL,-0.009999999999999998,6.923038800000002,0
110,A549_LUNG,NCOA4,-0.33000000000000007,-5.610886900000001,0
111,A549_LUNG,BTG1,0.04,0.9640464000000001,0
112,A549_LUNG,CASP8,0.7100000000000002,22.083286499999996,0
113,A549_LUNG,BARD1,-2.9499999999999997,-10.7069444,0
114,A549_LUNG,ARHGAP35,0.23,12.772541700000001,0
115,A549_LUNG,ACVR1B,-0.05,2.2784002999999995,0
116,A549_LUNG,ERCC4,-1.0400000000000003,6.284422200000001,0
117,A549_LUNG,ACVR1,-0.04000000000000001,1.1634599999999997,0
118,A549_LUNG,MYC,0.3900000000000001,49.1378669,0
119,A549_LUNG,IDH2,-1.19,-13.9554373,0
120,A549_LUNG,MDM4,-1.95,-14.5498532,0
121,A549_LUNG,POLG,0.05,1.6697208,0
122,A549_LUNG,ATM,-1.3000000000000007,-3.092705000000004,0
123,A549_LUNG,SKI,-0.66,1.6340278000000006,0
124,A549_LUNG,CDK4,1.520000000000001,88.37415220000001,0
125,A549_LUNG,AKAP9,0.01999999999999999,1.5627435,0
126,A549_LUNG,PATZ1,-0.3,-3.4996679999999993,0
127,A549_LUNG,RPL5,-0.9199999999999997,-38.771390000000004,0
128,A549_LUNG,NOTCH1,-28.19,-95.1675682,0
129,A549_LUNG,HLA-A,0.06999999999999999,9.840614400000002,0
130,A549_LUNG,CNBP,0.16,9.4751593,0
131,A549_LUNG,BRCA2,-4.7299999999999995,-21.3139588,0
132,A549_LUNG,SND1,0.07999999999999999,3.2645407999999994,0
133,A549_LUNG,GNA11,0.02000000000000001,1.0730514000000004,0
134,A549_LUNG,RAD51B,-1.66,-0.5617561999999994,0
135,A549_LUNG,EWSR1,0.1600000000000001,25.121571400000004,0
136,A549_LUNG,EED,0.7000000000000002,17.5326875,0
137,A549_LUNG,XPC,0.4,13.2867769,0
138,A549_LUNG,JAK1,1.4900000000000004,63.7549679,0
139,A549_LUNG,KTN1,0.21000000000000002,12.8644166,0
140,A549_LUNG,CLP1,-0.059999999999999984,-0.02042019999999989,0
141,A549_LUNG,CNTRL,-0.4600000000000001,-3.8767098000000004,0
142,A549_LUNG,SDHB,0.7100000000000001,29.461381100000004,0
143,A549_LUNG,CBFB,-0.37,0.8994472000000001,0
144,A549_LUNG,CDKN2C,-0.5,0.25820350000000003,0
145,A549_LUNG,SMC1A,0.5800000000000001,21.1350124,0
146,A549_LUNG,STAT3,-3.0700000000000007,-78.00270920000001,0
147,A549_LUNG,CTNNB1,-5.080000000000001,-183.8710030000001,0
148,A549_LUNG,RPL10,0.51,63.814969000000005,0
149,A549_LUNG,USP9X,-0.23,-1.3904702,0
150,A549_LUNG,ZNRF3,-0.29000000000000004,-1.9849315000000003,0
151,A549_LUNG,DDX6,-0.7,-11.216251199999999,0
152,A549_LUNG,PRKAR1A,0.9500000000000002,46.08226800000001,0
153,A549_LUNG,ELL,-3.5599999999999996,-9.4101004,0
154,A549_LUNG,MTCP1,0.029999999999999992,0.5957178,0
155,A549_LUNG,HNRNPA2B1,1.2000000000000004,127.06729429999999,0
156,A549_LUNG,EIF3E,0.11,13.376615100000002,0
157,A549_LUNG,NPM1,-2.5600000000000005,-133.43022520000002,0
158,A549_LUNG,CANT1,0.06999999999999999,2.2408484,0
159,A549_LUNG,BRAF,-6.440000000000001,-70.46615640000002,0
160,A549_LUNG,ZCCHC8,0.010000000000000002,0.2299141,0
161,A549_LUNG,DDIT3,-0.28,-0.2721444999999989,0
162,A549_LUNG,KDM6A,-1.3800000000000006,-18.3052578,0
163,A549_LUNG,RABEP1,0.11000000000000001,3.0369218,0
164,A549_LUNG,EIF4A2,0.29,21.964830300000006,0
165,A549_LUNG,BCL3,0.030000000000000006,6.601047100000001,0
166,A549_LUNG,DCTN1,0.029999999999999964,13.643860300000002,0
167,A549_LUNG,MYH9,0.8900000000000002,50.62491069999999,0
168,A549_LUNG,CDK12,-1.38,-17.3232329,0
169,A549_LUNG,ARID1B,-0.8999999999999998,-3.7455202000000005,0
170,A549_LUNG,IDH1,-0.77,-20.473623100000008,0
171,A549_LUNG,NFKBIE,-0.51,-1.8638185,0
172,A549_LUNG,GMPS,0.12000000000000001,6.432676600000001,0
173,A549_LUNG,CDC73,-1.1,-19.389347,0
174,A549_LUNG,MSH2,0.6600000000000001,26.120199000000007,0
175,A549_LUNG,ERC1,-0.24,-2.9306256,0
176,A549_LUNG,RARA,-1.9600000000000013,-24.19530929999999,0
177,A549_LUNG,PRCC,-0.05,-1.4086486000000003,0
178,A549_LUNG,CBL,-5.0,-36.426568800000005,0
179,A549_LUNG,DDX10,0.27,9.6709255,0
180,A549_LUNG,IKBKB,0.10000000000000006,12.419336099999995,0
181,A549_LUNG,EZH2,-3.1100000000000003,-45.11955369999999,0
182,A549_LUNG,PPFIBP1,0.13,9.458981700000002,0
183,A549_LUNG,DDX3X,0.28,30.2817835,0
184,A549_LUNG,TSC2,0.1,7.0702957,0
185,A549_LUNG,RNF213,0.07,3.7129387000000005,0
186,A549_LUNG,ASXL1,-0.5899999999999999,-10.4126775,0
187,A549_LUNG,MLLT10,-1.7000000000000002,-25.1622903,0
188,A549_LUNG,RB1,0.07999999999999999,13.508395599999995,0
189,A549_LUNG,DDX5,0.9900000000000003,75.15952570000002,0
190,A549_LUNG,POLD1,0.5800000000000001,22.863343000000004,0
191,A549_LUNG,RAD17,0.36,12.400125599999999,0
192,A549_LUNG,DICER1,-0.39,-1.7883145,0
193,A549_LUNG,PTEN,-3.9799999999999995,-42.731009799999995,0
194,A549_LUNG,ATIC,0.15,15.932806499999996,0
195,A549_LUNG,FAT1,0.33,13.1328124,0
196,A549_LUNG,UBR5,0.13999999999999999,6.655531400000001,0
197,A549_LUNG,WWTR1,0.009999999999999998,8.526159600000002,0
198,A549_LUNG,SRSF3,0.9200000000000004,58.0127131,0
199,A549_LUNG,ERCC5,0.39000000000000007,12.402880300000001,0
200,A549_LUNG,BMPR1A,-0.15,0.5173337,0
201,A549_LUNG,TPR,0.33000000000000007,22.463832900000003,0
202,A549_LUNG,MLLT1,-1.44,-13.8269444,0
203,A549_LUNG,SDHC,0.65,29.638980599999993,0
204,A549_LUNG,LSM14A,-0.020000000000000004,1.5820815,0
205,A549_LUNG,ITGAV,0.26,15.735512900000002,0
206,A549_LUNG,ERCC2,0.15,12.294092899999999,0
207,A549_LUNG,TOP1,0.8700000000000003,35.2020518,0
208,A549_LUNG,FUS,0.53,60.6940647,0
209,A549_LUNG,CBLB,-1.1300000000000001,-6.4294597,0
210,A549_LUNG,SMARCD1,0.35000000000000003,11.947958,0
211,A549_LUNG,KAT6A,-0.8399999999999999,-6.498645000000001,0
212,A549_LUNG,ARNT,-0.37,-0.2957869000000004,0
213,A549_LUNG,BIRC6,-0.09,3.753948200000001,0
214,A549_LUNG,TCF3,0.25,7.4979724,0
215,A549_LUNG,SS18L1,-0.3,-0.6614102999999998,0
216,A549_LUNG,MEN1,-1.2900000000000003,-12.845712099999998,0
217,A549_LUNG,PALB2,0.2900000000000002,11.179649499999998,0
218,A549_LUNG,PMS1,0.30000000000000004,13.003314999999997,0
219,A549_LUNG,FIP1L1,0.03,1.0281163000000002,0
220,A549_LUNG,CCND1,-2.6800000000000006,-52.6654245,0
221,A549_LUNG,BCL2L12,0.05,1.366826,0
222,A549_LUNG,PPP6C,-0.15999999999999998,2.2195270000000007,0
223,A549_LUNG,RAP1GDS1,0.24000000000000002,9.7633444,0
224,A549_LUNG,NFE2L2,-1.6,-26.620867600000004,0
225,A549_LUNG,SH3GL1,-0.94,-3.538695400000001,0
226,A549_LUNG,DEK,-0.10999999999999999,-2.0046945000000003,0
227,A549_LUNG,CCNB1IP1,-0.27,-0.4530613000000001,0
228,A549_LUNG,NCOA1,-0.45999999999999996,2.419103799999998,0
229,A549_LUNG,WRN,0.20000000000000043,16.2542344,0
230,A549_LUNG,CHD4,-0.29000000000000004,5.8630609,0
231,A549_LUNG,YWHAE,0.33,34.8981003,0
232,A549_LUNG,FUBP1,0.35000000000000003,25.354733600000003,0
233,A549_LUNG,DNAJB1,0.25,11.643668499999999,0
234,A549_LUNG,RECQL4,0.3400000000000001,14.484774899999998,0
235,A549_LUNG,SUZ12,0.10999999999999999,11.899944999999999,0
236,A549_LUNG,PDE4DIP,-0.24000000000000002,-0.6648078000000002,0
237,A549_LUNG,U2AF1,-1.32,-26.606136500000005,0
238,A549_LUNG,PIM1,-0.1,-0.07849149999999971,0
239,A549_LUNG,LMNA,-0.15,-0.6743943000000003,0
240,A549_LUNG,HRAS,-2.2800000000000007,-49.5244106,0
241,A549_LUNG,SMAD3,-3.8399999999999994,-70.5506965,0
242,A549_LUNG,CHEK2,-0.4099999999999999,5.898036499999993,0
243,A549_LUNG,NCOA2,-0.6100000000000001,0.4344743000000003,0
244,A549_LUNG,PRDM2,-0.35,-2.3647575,0
245,A549_LUNG,TCF7L2,-0.25,-0.05030939999999928,0
246,A549_LUNG,FBXW7,-3.93,-37.157195999999985,0
247,A549_LUNG,FOXO3,-7.6000000000000005,-20.868484099999996,0
248,A549_LUNG,HSP90AA1,0.19000000000000003,57.54741249999999,0
249,A549_LUNG,RBM15,-3.1099999999999994,-10.209408899999998,0
250,A549_LUNG,BAP1,-0.21999999999999997,0.3216604999999999,0
251,A549_LUNG,PTPN11,0.6000000000000001,27.454152399999998,0
252,A549_LUNG,KDM5C,-0.46,-2.7491014000000003,0
253,A549_LUNG,POLR2A,-3.23,-54.84603620000001,0
254,A549_LUNG,LARP4B,-0.18,-3.9420306,0
255,A549_LUNG,MSH6,-1.9400000000000006,-20.448818000000003,0
256,A549_LUNG,EXT1,0.12,2.251938,0
257,A549_LUNG,EXT2,0.039999999999999994,2.8853892,0
258,A549_LUNG,TPM4,0.5900000000000001,41.45358499999999,0
259,A549_LUNG,APC,-0.64,-4.9603873,0
260,A549_LUNG,PABPC1,0.4999999999999999,61.02504799999999,0
261,A549_LUNG,ABL1,-4.250000000000001,-61.4293371,0
262,A549_LUNG,SDHA,0.22000000000000003,14.443898899999999,0
263,A549_LUNG,AXIN1,-2.1,-27.2997042,0
264,A549_LUNG,EP300,-9.999999999999998,-102.94131270000003,0
265,A549_LUNG,SRC,-3.61,-58.7719928,0
266,A549_LUNG,TCEA1,-2.3000000000000003,-34.4146022,0
267,A549_LUNG,KLF6,0.09,3.2158814999999996,0
268,A549_LUNG,SETDB1,0.21999999999999997,6.0717719,0
269,A549_LUNG,MUTYH,-0.29999999999999993,5.180635900000001,0
270,A549_LUNG,RAD21,-0.010000000000000024,5.6852063,0
271,A549_LUNG,KAT7,0.049999999999999996,3.0198452,0
272,A549_LUNG,PIK3CA,-9.580000000000004,-105.7868142,0
273,A549_LUNG,ARHGEF12,0.18,5.3070928,0
274,A549_LUNG,MTOR,-1.6500000000000004,2.6858256000000185,0
275,A549_LUNG,NONO,0.6200000000000001,46.80287260000001,0
276,A549_LUNG,TFRC,-0.39999999999999997,1.4703783000000006,0
277,A549_LUNG,SUFU,-2.3699999999999997,-7.126134,0
278,A549_LUNG,THRAP3,-0.45000000000000007,-0.9460787000000003,0
279,A549_LUNG,MAX,-1.47,-11.2042534,0
280,A549_LUNG,LPP,-0.06000000000000001,0.5664341999999996,0
281,A549_LUNG,GOPC,0.14,5.9463574,0
282,A549_LUNG,CTNND1,0.26999999999999996,15.579018200000002,0
283,A549_LUNG,BRIP1,0.44000000000000045,16.902074300000002,0
284,A549_LUNG,AKT2,-1.5299999999999998,-36.72129759999999,0
285,A549_LUNG,FANCF,-0.56,1.5924177000000002,0
286,A549_LUNG,XPA,0.46000000000000013,14.1293197,0
287,A549_LUNG,CUX1,0.18000000000000002,8.513176,0
288,A549_LUNG,PLCG1,-0.3200000000000001,6.686056800000002,0
289,A549_LUNG,JUN,-4.180000000000001,-52.110067,0
290,A549_LUNG,MYD88,0.30999999999999994,11.378943000000001,0
291,A549_LUNG,ARAF,0.26,17.495256200000004,0
292,A549_LUNG,HSP90AB1,-0.10000000000000002,45.956453700000004,0
293,A549_LUNG,CCDC6,-1.01,-9.285562599999999,0
294,A549_LUNG,ASXL2,0.13,5.104639,0
295,A549_LUNG,PCBP1,0.6099999999999999,47.7530681,0
296,A549_LUNG,PER1,-0.56,-1.5397094,0
297,A549_LUNG,HMGA1,0.0,4.4203851,0
298,A549_LUNG,NF1,-0.9000000000000001,-2.4704362000000017,0
299,A549_LUNG,RPL22,0.31,29.860913600000003,0
300,A549_LUNG,FADD,0.1,14.2409489,0
301,A549_LUNG,RHOA,-0.37,9.321479700000008,0
302,A549_LUNG,HERPUD1,-0.06,-1.0623816,0
303,A549_LUNG,CREB3L2,-0.47,-1.2217502,0
304,A549_LUNG,KAT6B,-0.010000000000000009,1.0573389999999996,0
305,A549_LUNG,STIL,-0.12,-0.7067100000000002,0
306,A549_LUNG,EML4,-0.9100000000000001,-10.932729200000002,0
307,A549_LUNG,PTPRK,0.07,3.6780422000000006,0
308,A549_LUNG,DNM2,0.019999999999999997,1.6533280000000001,0
309,A549_LUNG,AFF4,-1.07,-25.7369284,0
310,A549_LUNG,BCLAF1,-0.31000000000000005,0.1737183,0
311,A549_LUNG,TRIM33,-0.31,-5.808783900000002,0
312,A549_LUNG,CDKN1A,-5.329999999999998,-110.39211449999999,0
313,A549_LUNG,FANCE,-6.93,-52.90114080000001,0
314,A549_LUNG,CEP89,0.07,0.7336529,0
315,A549_LUNG,TSC1,-0.09,7.315228399999999,0
316,A549_LUNG,ARHGAP5,0.25,11.7239368,0
317,A549_LUNG,ATP1A1,0.15000000000000002,5.2009089,0
318,A549_LUNG,KMT2D,-2.440000000000001,-21.031315099999997,0
319,A549_LUNG,KDM5A,-0.09000000000000005,1.8690835,0
320,A549_LUNG,ID3,-0.09,0.6272745000000002,0
321,A549_LUNG,LZTR1,0.19,6.872273900000001,0
322,A549_LUNG,CHD2,-0.01,-0.1469881,0
323,A549_LUNG,GNAS,-0.19000000000000003,3.183787699999998,0
324,A549_LUNG,POT1,-0.01999999999999999,1.0751241,0
325,A549_LUNG,AFF1,-1.54,-15.258329400000001,0
326,A549_LUNG,PIK3CB,-1.19,-4.014966900000001,0
327,A549_LUNG,SRSF2,-1.3799999999999997,-19.340355,0
328,A549_LUNG,DROSHA,0.13000000000000003,8.448406900000002,0
329,A549_LUNG,BCL9,0.25,6.3519015,0
330,A549_LUNG,NUP214,-1.3599999999999999,-44.5861345,0
331,A549_LUNG,FBXO11,0.04,1.3352172,0
332,A549_LUNG,CLIP1,-0.30000000000000004,-0.21675769999999994,0
333,A549_LUNG,CLTC,-1.7500000000000002,-22.343635500000005,0
334,A549_LUNG,RPN1,0.16,10.914210599999999,0
335,A549_LUNG,SETD2,-0.44000000000000006,-0.22159439999999986,0
336,A549_LUNG,KMT2C,-0.66,0.12819530000000035,0
337,A549_LUNG,CUL3,-0.6,3.252764599999999,0
338,A549_LUNG,SETD1B,-0.5999999999999999,-4.713300099999999,0
339,A549_LUNG,SS18,0.10000000000000002,4.722586799999999,0
340,A549_LUNG,FGFR1OP,-0.32,-2.9935598000000003,0
341,A549_LUNG,SMARCB1,-1.48,-3.954636899999999,0
342,A549_LUNG,PPP2R1A,-1.0999999999999999,-14.7729405,0
343,A549_LUNG,PIK3R1,-4.01,-36.317573700000004,0
344,A549_LUNG,CASP3,-0.46,11.684278999999998,0
345,A549_LUNG,CHCHD7,0.19,7.0286774,0
346,A549_LUNG,CNOT3,-0.039999999999999994,2.5107068999999997,0
347,A549_LUNG,SMARCE1,0.13,8.072001799999999,0
348,A549_LUNG,PAFAH1B2,0.06,3.6309516,0
349,A549_LUNG,BAX,0.01,1.1109642,0
350,A549_LUNG,SDC4,0.13,4.967182000000001,0
351,A549_LUNG,BRD4,-3.2999999999999994,-36.04713520000001,0
352,A549_LUNG,NSD1,-0.41000000000000003,0.09761860000000089,0
353,A549_LUNG,CTNNA1,-0.05,6.510540100000001,0
354,A549_LUNG,MDM2,-4.979999999999999,-90.89888520000001,0
355,A549_LUNG,IGF2BP2,-0.26999999999999996,8.2799594,0
356,A549_LUNG,ATF1,-0.31999999999999995,-0.3171879000000004,0
357,A549_LUNG,SUB1,-0.32999999999999996,-0.0877492000000002,0
358,A549_LUNG,CYLD,0.15000000000000002,5.3435296999999995,0
359,A549_LUNG,NAB2,0.08,7.208667599999999,0
360,A549_LUNG,NACA,0.24000000000000002,24.627847100000004,0
361,A549_LUNG,EIF1AX,-2.51,-21.936904799999997,0
362,A549_LUNG,NT5C2,0.21,8.4746033,0
363,A549_LUNG,SFPQ,0.8400000000000001,61.17940630000001,0
364,A549_LUNG,ERBB2,-3.3699999999999997,-48.091910999999996,0
365,A549_LUNG,CCNE1,-2.7,-40.0377017,0
366,A549_LUNG,CAMTA1,0.04,1.2420177000000001,0
367,A549_LUNG,EZR,0.42000000000000004,36.38874010000001,0
368,A549_LUNG,TRIP11,-0.62,-8.698261599999999,0
369,A549_LUNG,CRTC3,0.04,0.2238682,0
370,A549_LUNG,BRCA1,-8.83,-111.09733550000003,0
371,A549_LUNG,USP8,0.029999999999999995,8.4989706,0
372,A549_LUNG,TRIM27,-0.33999999999999997,-1.1881163000000006,0
373,A549_LUNG,LASP1,-0.11000000000000001,4.027312500000001,0
374,A549_LUNG,AKT1,-7.560000000000001,-122.05840039999998,0
375,A549_LUNG,COX6C,-0.67,-3.8803459,0
376,A549_LUNG,KIF5B,-0.7599999999999999,5.679482299999999,0
377,A549_LUNG,RMI2,0.06,5.2340004,0
378,A549_LUNG,NCOR1,-3.49,-35.510017000000005,0
