,patient,Gene,Raw,Normalized,Response
0,AU565_BREAST,CCL5,0.0,0.0,1
1,AU565_BREAST,CXCR4,0.7890501187099036,0.11520649647526718,1
2,AU565_BREAST,CXCR1,0.0,0.0,1
3,AU565_BREAST,CD74,0.7934377620662715,0.2473810519700675,1
4,AU565_BREAST,CD44,0.0,0.0,1
5,AU565_BREAST,MIF,1.8801722448119287,0.3294602541737761,1
6,AU565_BREAST,CXCR2,0.5799510460667942,0.09945060732021363,1
7,AU565_BREAST,GNAQ,-0.016696422432219027,-0.003972667751080726,1
8,AU565_BREAST,ARRB1,0.4921293304019071,0.1228182816533718,1
9,AU565_BREAST,CXCL10,0.0,0.0,1
10,AU565_BREAST,CXCL9,0.0,0.0,1
11,AU565_BREAST,CXCL1,0.0,0.0,1
12,AU565_BREAST,CCL2,0.0,0.0,1
13,AU565_BREAST,CXCL13,0.0,0.0,1
14,AU565_BREAST,PPBP,0.0,0.0,1
15,AU565_BREAST,CXCL12,0.0,0.0,1
16,AU565_BREAST,CXCL6,0.0,0.0,1
17,AU565_BREAST,CXCL2,0.0,0.0,1
18,AU565_BREAST,CXCL3,0.0,0.0,1
19,AU565_BREAST,GNAI1,-0.19316622593864752,-0.09658311296932376,1
20,AU565_BREAST,CCL3,0.0,0.0,1
21,AU565_BREAST,CCL4,0.0,0.0,1
22,AU565_BREAST,CXCL5,0.0,0.0,1
23,BT20_BREAST,CCL5,0.0,0.0,0
24,BT20_BREAST,CXCR4,0.0,0.0,0
25,BT20_BREAST,CXCR1,0.0,0.0,0
26,BT20_BREAST,CD74,0.0,0.0,0
27,BT20_BREAST,CD44,0.0,0.0,0
28,BT20_BREAST,MIF,0.0,0.0,0
29,BT20_BREAST,CXCR2,0.0,0.0,0
30,BT20_BREAST,GNAQ,0.0,0.0,0
31,BT20_BREAST,ARRB1,0.0,0.0,0
32,BT20_BREAST,CXCL10,0.0,0.0,0
33,BT20_BREAST,CXCL9,0.0,0.0,0
34,BT20_BREAST,CXCL1,0.0,0.0,0
35,BT20_BREAST,CCL2,0.0,0.0,0
36,BT20_BREAST,CXCL13,0.0,0.0,0
37,BT20_BREAST,PPBP,0.0,0.0,0
38,BT20_BREAST,CXCL12,0.0,0.0,0
39,BT20_BREAST,CXCL6,0.0,0.0,0
40,BT20_BREAST,CXCL2,0.0,0.0,0
41,BT20_BREAST,CXCL3,0.0,0.0,0
42,BT20_BREAST,GNAI1,0.0,0.0,0
43,BT20_BREAST,CCL3,0.0,0.0,0
44,BT20_BREAST,CCL4,0.0,0.0,0
45,BT20_BREAST,CXCL5,0.0,0.0,0
46,BT474_BREAST,CCL5,0.0,0.0,1
47,BT474_BREAST,CXCR4,0.0,0.0,1
48,BT474_BREAST,CXCR1,0.0,0.0,1
49,BT474_BREAST,CD74,0.0,0.0,1
50,BT474_BREAST,CD44,0.0,0.0,1
51,BT474_BREAST,MIF,0.0,0.0,1
52,BT474_BREAST,CXCR2,0.0,0.0,1
53,BT474_BREAST,GNAQ,0.0,0.0,1
54,BT474_BREAST,ARRB1,0.0,0.0,1
55,BT474_BREAST,CXCL10,0.0,0.0,1
56,BT474_BREAST,CXCL9,0.0,0.0,1
57,BT474_BREAST,CXCL1,0.0,0.0,1
58,BT474_BREAST,CCL2,0.0,0.0,1
59,BT474_BREAST,CXCL13,0.0,0.0,1
60,BT474_BREAST,PPBP,0.0,0.0,1
61,BT474_BREAST,CXCL12,0.0,0.0,1
62,BT474_BREAST,CXCL6,0.0,0.0,1
63,BT474_BREAST,CXCL2,0.0,0.0,1
64,BT474_BREAST,CXCL3,0.0,0.0,1
65,BT474_BREAST,GNAI1,0.0,0.0,1
66,BT474_BREAST,CCL3,0.0,0.0,1
67,BT474_BREAST,CCL4,0.0,0.0,1
68,BT474_BREAST,CXCL5,0.0,0.0,1
69,BT549_BREAST,CCL5,0.0,0.0,0
70,BT549_BREAST,CXCR4,0.0,0.0,0
71,BT549_BREAST,CXCR1,0.0,0.0,0
72,BT549_BREAST,CD74,0.0,0.0,0
73,BT549_BREAST,CD44,0.0,0.0,0
74,BT549_BREAST,MIF,0.0,0.0,0
75,BT549_BREAST,CXCR2,0.0,0.0,0
76,BT549_BREAST,GNAQ,0.0,0.0,0
