,patient,Gene,Raw,Normalized,Response
0,A549_LUNG,DDX5,2.26,171.1039672,0
1,A549_LUNG,PATZ1,-1.52,-17.731651199999998,0
2,A549_LUNG,NOTCH1,-22.769999999999996,-68.9263839,0
3,A549_LUNG,LARP4B,-0.78,-17.0821326,0
4,A549_LUNG,NUP214,-3.54,-56.9965134,0
5,A549_LUNG,NRAS,3.42,86.40380339999999,0
6,A549_LUNG,CHD4,0.77,30.452037,0
7,A549_LUNG,U2AF1,1.06,56.7249036,0
8,A549_LUNG,MAX,0.46,10.6922262,0
9,A549_LUNG,ZRSR2,-4.07,-17.063322199999995,0
10,A549_LUNG,ERC1,-0.62,-7.570782800000001,0
11,A549_LUNG,FANCA,2.9,64.04273,0
12,A549_LUNG,ERCC2,-1.15,-14.196313,0
13,A549_LUNG,CHEK2,0.8899999999999999,12.040106900000001,0
14,A549_LUNG,PALB2,-0.24000000000000019,0.32495040000000364,0
15,A549_LUNG,DDX6,-1.87,-35.3701524,0
16,A549_LUNG,GNAS,1.06,84.9761402,0
17,A549_LUNG,CBLB,-4.57,-25.4306333,0
18,A549_LUNG,SMC1A,1.27,45.0351779,0
19,A549_LUNG,CASP3,-1.4300000000000002,-26.0429598,0
20,A549_LUNG,ARID1A,-3.7700000000000005,-58.974223099999996,0
21,A549_LUNG,XPC,1.62,31.9401792,0
22,A549_LUNG,EIF3E,0.6200000000000001,46.140703800000004,0
23,A549_LUNG,KMT2D,0.2799999999999999,4.392393599999999,0
24,A549_LUNG,PDE4DIP,-0.46,-2.9294456,0
25,A549_LUNG,TPR,-1.16,-27.9550813,0
26,A549_LUNG,EZR,0.8700000000000001,55.766138700000006,0
27,A549_LUNG,PIM1,0.17,3.2154684000000002,0
28,A549_LUNG,HSP90AA1,5.739999999999999,648.3827226999998,0
29,A549_LUNG,NUP98,-0.25,-0.1171750999999972,0
30,A549_LUNG,MLLT10,0.6099999999999999,12.613006600000006,0
31,A549_LUNG,HIF1A,-8.08,-342.4617542,0
32,A549_LUNG,FBXW7,-8.9,-62.842593699999995,0
33,A549_LUNG,MAP2K2,3.11,115.78146070000001,0
34,A549_LUNG,CTNND1,1.24,46.9486816,0
35,A549_LUNG,BRIP1,-3.62,-29.3027582,0
36,A549_LUNG,CCND1,-4.400000000000001,-130.00963039999993,0
37,A549_LUNG,IL6ST,1.6900000000000002,49.052520400000006,0
38,A549_LUNG,IGF2BP2,-3.98,-32.1911952,0
39,A549_LUNG,BRCA1,-0.8300000000000006,-7.060586299999997,0
40,A549_LUNG,MED12,-4.459999999999999,-38.431463199999996,0
41,A549_LUNG,IKBKB,-3.000000000000001,-17.7165398,0
42,A549_LUNG,MEN1,-1.2800000000000002,-23.3209241,0
43,A549_LUNG,CLIP1,-0.15,-5.652227999999999,0
44,A549_LUNG,TFPT,0.19,2.9058277,0
45,A549_LUNG,AKT2,6.26,300.11694259999996,0
46,A549_LUNG,POLR2A,-1.6300000000000003,-30.862538099999995,0
47,A549_LUNG,SMARCE1,3.23,170.2498351,0
