,patient,Gene,Raw,Normalized,Response
0,A549_LUNG,KMT2A,-8.790000000000001,-71.59709909999998,0
1,A549_LUNG,ACVR1,0.3,4.579137,0
2,A549_LUNG,EZR,0.75,48.07425750000001,0
3,A549_LUNG,PATZ1,-1.73,-20.1814188,0
4,A549_LUNG,CREBBP,-15.620000000000006,-148.90543480000002,0
5,A549_LUNG,FUS,1.81,126.80532389999999,0
6,A549_LUNG,PABPC1,-0.4,-29.177864,0
7,A549_LUNG,CNTRL,-0.99,-8.3433537,0
8,A549_LUNG,TSC2,0.29,4.540744600000001,0
9,A549_LUNG,RARA,-5.0,-54.4669387,0
10,A549_LUNG,KDM6A,-1.89,-21.2978669,0
11,A549_LUNG,SPOP,0.52,13.599294799999997,0
12,A549_LUNG,THRAP3,0.19,6.039697200000001,0
13,A549_LUNG,DCTN1,-0.4,-14.764840000000001,0
14,A549_LUNG,ASXL1,-3.4600000000000004,-76.9133434,0
15,A549_LUNG,NACA,1.3299999999999998,158.48887809999997,0
16,A549_LUNG,EML4,-0.04999999999999996,-1.3301719999999992,0
17,A549_LUNG,CASP9,-4.36,-44.0323376,0
18,A549_LUNG,KDM5C,0.62,15.6712368,0
19,A549_LUNG,GNAS,1.1300000000000001,90.5877721,0
20,A549_LUNG,APC,-3.16,-28.780806,0
21,A549_LUNG,SUFU,-8.18,-26.095192199999996,0
22,A549_LUNG,MSH2,6.52,206.35956480000002,0
23,A549_LUNG,BCL3,0.30000000000000004,5.93958,0
24,A549_LUNG,B2M,0.72,64.4449032,0
25,A549_LUNG,LZTR1,-1.8800000000000001,-21.347483800000003,0
26,A549_LUNG,PBRM1,0.67,11.760123199999999,0
27,A549_LUNG,NBN,3.9299999999999997,106.28590679999999,0
28,A549_LUNG,ATR,3.27,78.58639360000001,0
29,A549_LUNG,SUZ12,0.18000000000000005,13.951242199999998,0
30,A549_LUNG,NIN,-1.6400000000000001,-15.3251748,0
31,A549_LUNG,RALGDS,-3.3099999999999996,-32.1389746,0
32,A549_LUNG,ERCC5,0.19999999999999998,10.0564413,0
33,A549_LUNG,SMARCB1,0.7599999999999999,44.909427900000004,0
34,A549_LUNG,ASXL2,-0.91,-5.3538463000000025,0
35,A549_LUNG,DICER1,-3.9399999999999995,-68.0341864,0
36,A549_LUNG,ETV6,-1.5599999999999998,-8.2217304,0
37,A549_LUNG,DAXX,-0.41000000000000003,-9.8382371,0
38,A549_LUNG,ATRX,-1.1300000000000001,-28.360143799999996,0
39,A549_LUNG,FBXW7,-7.870000000000001,-59.5431608,0
40,A549_LUNG,EP300,-32.29999999999999,-287.5861554000001,0
41,A549_LUNG,CRNKL1,-1.08,-22.4158968,0
42,A549_LUNG,MAX,-0.21999999999999997,8.022178200000003,0
43,A549_LUNG,BRAF,-10.679999999999998,-92.38317479999999,0
44,A549_LUNG,DDX5,-3.5500000000000003,-106.15056440000001,0
45,A549_LUNG,BCLAF1,0.5,15.89394,0
46,A549_LUNG,CCNE1,-0.3700000000000001,2.3138151999999996,0
47,A549_LUNG,FIP1L1,0.67,17.630225900000003,0
48,A549_LUNG,PCM1,-0.13,-2.0297641,0
49,A549_LUNG,DGCR8,-3.79,-28.5481442,0
50,A549_LUNG,CDKN1A,2.01,107.09803799999999,0
51,A549_LUNG,STAG1,0.30000000000000004,3.1558230000000016,0
52,A549_LUNG,LATS1,-3.06,-21.127219200000003,0
53,A549_LUNG,ERCC2,-1.1,-13.5010375,0
54,A549_LUNG,FANCF,-8.24,-57.49682480000001,0
55,A549_LUNG,KAT7,1.27,25.886409999999998,0
56,A549_LUNG,DDB2,0.76,23.522336199999998,0
57,A549_LUNG,JAK1,3.43,163.0552438,0
58,A549_LUNG,AFF1,-0.5499999999999999,-4.373196999999998,0
59,A549_LUNG,RPL5,1.1,114.97475359999999,0
60,A549_LUNG,CDC73,0.72,19.457549100000005,0
61,A549_LUNG,NFE2L2,-0.66,5.000183600000003,0
62,A549_LUNG,TRRAP,-0.92,-5.5483692,0
63,A549_LUNG,AKT1,-0.3800000000000001,29.027529400000002,0
64,A549_LUNG,ACVR1B,-0.7,-5.5333482,0
65,A549_LUNG,TCF3,-3.35,-51.02128,0
66,A549_LUNG,SETD1B,-0.9600000000000001,-3.6731136,0
67,A549_LUNG,SRC,-3.3999999999999986,-40.62797329999999,0
68,A549_LUNG,KDM5A,-1.42,-28.817736099999998,0
69,A549_LUNG,FLNA,1.7,146.892716,0
70,A549_LUNG,NAB2,-1.45,-8.6206415,0
71,A549_LUNG,KAT6A,-1.3599999999999999,-7.453753400000002,0
72,A549_LUNG,RECQL4,0.6900000000000001,14.5543461,0
73,A549_LUNG,WRN,-1.9700000000000002,-11.837476200000001,0
74,A549_LUNG,BCL9L,-0.030000000000000027,-0.4898643000000007,0
75,A549_LUNG,MSH6,5.879999999999999,224.93421750000002,0
76,A549_LUNG,FANCD2,-1.1102230246251565e-16,12.322039499999988,0
77,A549_LUNG,FANCA,-0.7099999999999996,-16.844290199999996,0
78,A549_LUNG,FEN1,1.0399999999999998,84.4711914,0
79,A549_LUNG,FUBP1,-0.06,-2.6197608,0
80,A549_LUNG,ATF1,-0.8699999999999999,-20.624246099999997,0
81,A549_LUNG,RAD51B,-4.28,-27.973153599999996,0
82,A549_LUNG,BRIP1,-5.930000000000001,-44.011831,0
83,A549_LUNG,NFKB2,-0.6900000000000002,7.210982499999999,0
84,A549_LUNG,TSC1,-1.96,-3.924093099999998,0
85,A549_LUNG,XPO1,0.7499999999999998,39.48479999999999,0
86,A549_LUNG,NUMA1,-0.62,-15.7682616,0
87,A549_LUNG,POLQ,-0.38,-3.9973758000000004,0
88,A549_LUNG,CASP3,-1.64,-21.369601200000005,0
89,A549_LUNG,DNAJB1,0.26,11.283305799999999,0
90,A549_LUNG,MALT1,-0.3400000000000001,-4.488618799999999,0
91,A549_LUNG,SKI,-4.18,-22.647783399999998,0
92,A549_LUNG,CTCF,-2.4999999999999996,-41.1571011,0
93,A549_LUNG,EPS15,-0.62,-8.7762674,0
94,A549_LUNG,ARHGEF12,-1.55,-22.3101575,0
95,A549_LUNG,TPR,-1.47,-40.9326498,0
96,A549_LUNG,DDIT3,0.47000000000000003,18.801953200000003,0
97,A549_LUNG,HIF1A,0.66,51.1051844,0
98,A549_LUNG,LSM14A,0.14,6.346561200000001,0
99,A549_LUNG,USP8,0.62,17.8985382,0
100,A549_LUNG,ERCC4,-5.57,-17.835603800000005,0
101,A549_LUNG,KIF5B,-0.65,-20.6790296,0
102,A549_LUNG,EZH2,-4.64,-77.9113506,0
103,A549_LUNG,EIF4A2,-0.37,-22.4590898,0
104,A549_LUNG,SPEN,-0.04000000000000001,-0.6186224,0
105,A549_LUNG,PRKACA,-13.530000000000001,-154.7604571,0
106,A549_LUNG,TFRC,0.33,29.5372473,0
107,A549_LUNG,NCOR2,-0.34999999999999976,30.343545999999996,0
108,A549_LUNG,ERCC3,-1.1102230246251565e-16,30.524006800000002,0
109,A549_LUNG,ERC1,-0.34,-4.151719600000001,0
110,A549_LUNG,ARHGAP35,-0.21999999999999997,-3.4096009999999985,0
111,A549_LUNG,RPL10,1.95,238.9516115,0
112,A549_LUNG,CUL3,-3.8000000000000007,-17.949140999999997,0
113,A549_LUNG,CAMTA1,-0.03,-1.0984152,0
114,A549_LUNG,HMGA1,0.44,27.5663256,0
115,A549_LUNG,ID3,0.36,8.2102104,0
116,A549_LUNG,FADD,-0.49,-5.4776322,0
117,A549_LUNG,POT1,-0.1,-1.120687,0
118,A549_LUNG,ELL,-10.01,-16.042591800000004,0
119,A549_LUNG,CDK12,0.22,4.680731300000001,0
120,A549_LUNG,PCBP1,0.56,35.359094400000004,0
121,A549_LUNG,CBLB,-6.43,-35.7809567,0
122,A549_LUNG,PIM1,-1.59,-19.2584775,0
123,A549_LUNG,IKBKB,-1.9200000000000004,-20.163680899999996,0
124,A549_LUNG,MAP2K4,-1.7399999999999998,-13.757155199999996,0
125,A549_LUNG,VHL,0.41,21.585834,0
126,A549_LUNG,TRIP11,-0.12,-1.269432,0
127,A549_LUNG,FANCC,-3.4999999999999996,-33.40419549999999,0
128,A549_LUNG,FGFR1OP,0.5,4.213815,0
129,A549_LUNG,SH3GL1,-0.04,-0.8692340000000001,0
130,A549_LUNG,TRIM33,-3.2800000000000002,-30.1551392,0
131,A549_LUNG,CHEK2,-0.6899999999999997,18.024266300000008,0
132,A549_LUNG,NRAS,1.1999999999999997,49.066390999999996,0
133,A549_LUNG,RAF1,0.5500000000000002,17.246879999999997,0
134,A549_LUNG,CLTC,-0.38,-15.1147265,0
135,A549_LUNG,TCF7L2,-1.3900000000000001,-14.737831700000001,0
136,A549_LUNG,CHD4,-1.88,2.3297394999999987,0
137,A549_LUNG,SDHA,2.46,105.8857308,0
138,A549_LUNG,MET,5.0600000000000005,213.97012660000004,0
139,A549_LUNG,STAG2,1.37,29.8548032,0
140,A549_LUNG,NCOA1,-0.6599999999999999,2.1147493999999996,0
141,A549_LUNG,PDE4DIP,-0.36,-2.2926096,0
142,A549_LUNG,CLP1,0.16000000000000003,8.823770300000003,0
143,A549_LUNG,NUP98,-0.4700000000000001,1.751118400000001,0
144,A549_LUNG,JUN,-7.740000000000001,-116.20782319999998,0
145,A549_LUNG,CDKN2C,-0.1299999999999999,10.376905500000003,0
146,A549_LUNG,MYD88,0.09,4.1132732999999995,0
147,A549_LUNG,MTCP1,0.28,9.016470200000002,0
148,A549_LUNG,CYLD,-0.9099999999999999,-7.4315216,0
149,A549_LUNG,PML,-3.9499999999999997,-23.890973700000004,0
150,A549_LUNG,CBFB,-0.71,19.42439100000001,0
151,A549_LUNG,CREB1,-4.43,-64.09982930000001,0
152,A549_LUNG,BRD4,-4.45,-49.6291854,0
153,A549_LUNG,ATM,-5.94,-56.25592179999999,0
154,A549_LUNG,HRAS,2.1199999999999997,118.98573199999998,0
155,A549_LUNG,STAT3,0.9200000000000003,95.98285899999998,0
156,A549_LUNG,RAP1GDS1,-0.46,-11.0648216,0
157,A549_LUNG,BUB1B,-0.6799999999999999,-7.7016539999999996,0
158,A549_LUNG,ARID1B,0.25000000000000006,14.3443003,0
159,A549_LUNG,ABI1,0.37,11.4480614,0
160,A549_LUNG,ABL2,-0.41,-5.388809399999999,0
161,A549_LUNG,PTPN11,2.9799999999999995,132.97527300000002,0
162,A549_LUNG,RBM15,0.35,12.427733499999999,0
163,A549_LUNG,RPL22,1.5899999999999999,180.9719473,0
164,A549_LUNG,CCND1,-0.7400000000000001,30.977122100000003,0
165,A549_LUNG,SDHB,2.8200000000000003,124.5206784,0
166,A549_LUNG,SFPQ,0.95,55.7592406,0
167,A549_LUNG,PMS2,-0.26999999999999996,17.446455500000003,0
168,A549_LUNG,BCL9,-2.21,-9.6064722,0
169,A549_LUNG,CTNNB1,-15.120000000000003,-351.8978084000001,0
170,A549_LUNG,MUTYH,-1.71,9.671821800000002,0
171,A549_LUNG,KMT2C,-0.21999999999999997,-1.0241465999999995,0
172,A549_LUNG,TMEM127,-0.4700000000000001,-2.4402070000000022,0
173,A549_LUNG,PALB2,-2.3800000000000003,-5.257961899999998,0
174,A549_LUNG,XPA,-0.1600000000000001,27.079054099999997,0
175,A549_LUNG,IL6ST,1.9200000000000002,71.1676954,0
176,A549_LUNG,SDHC,2.14,110.0651183,0
177,A549_LUNG,NTHL1,-1.47,-8.872772999999999,0
178,A549_LUNG,CANT1,-0.39000000000000007,-12.484726800000002,0
179,A549_LUNG,GNA11,-0.28,-4.212462800000001,0
180,A549_LUNG,RHOA,-4.3500000000000005,-32.55059500000001,0
181,A549_LUNG,PPP2R1A,1.83,92.1850254,0
182,A549_LUNG,SDHAF2,1.68,69.5491226,0
183,A549_LUNG,PICALM,-0.09,0.9026885999999994,0
184,A549_LUNG,BCR,-2.8,-17.404016,0
185,A549_LUNG,BAX,0.08999999999999997,14.538113599999999,0
186,A549_LUNG,ABL1,-7.04,-68.4020309,0
187,A549_LUNG,CTNNA1,-0.74,18.024804699999994,0
188,A549_LUNG,EIF1AX,-0.5700000000000001,-7.3632326000000035,0
189,A549_LUNG,SMAD3,-9.32,-242.62933520000004,0
190,A549_LUNG,TPM4,0.28,24.3118624,0
191,A549_LUNG,YWHAE,-1.0099999999999998,25.6871166,0
192,A549_LUNG,GPHN,-0.38,-5.1721534,0
193,A549_LUNG,ARHGAP5,0.43,16.0424784,0
194,A549_LUNG,BCL10,-2.3,-10.463865700000001,0
195,A549_LUNG,ZRSR2,-3.59,-33.7302758,0
196,A549_LUNG,POLD1,-0.4399999999999999,26.462214000000003,0
197,A549_LUNG,IDH1,-0.8700000000000001,7.936000999999997,0
198,A549_LUNG,FH,2.21,100.604258,0
199,A549_LUNG,NT5C2,0.12999999999999995,5.5657277,0
200,A549_LUNG,HLA-A,-0.39,12.615593099999998,0
201,A549_LUNG,PMS1,1.02,34.60430070000001,0
202,A549_LUNG,NSD1,0.14,5.197036600000001,0
203,A549_LUNG,TCEA1,-4.14,-46.7216185,0
204,A549_LUNG,ARAF,0.18,-7.195751000000001,0
205,A549_LUNG,NPM1,-5.83,-189.87170160000002,0
206,A549_LUNG,TBL1XR1,-0.18,1.5798091999999992,0
207,A549_LUNG,ARID1A,-5.1,-57.64015030000001,0
208,A549_LUNG,BRD3,-0.33,-1.2980207999999989,0
