,Patient,Gene1,Gene2,Edge,Curvature,Response
0,A549_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
1,A549_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.9328467665800994,0
2,A549_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,0.0,0
3,A549_LUNG,IGFBP5,IGFALS,IGFBP5;IGFALS,0.0,0
4,A549_LUNG,IGFBP5,PAPPA,IGFBP5;PAPPA,0.55860642519672,0
5,A549_LUNG,IGFBP3,IGFALS,IGFBP3;IGFALS,0.0,0
6,CALU3_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,1
7,CALU3_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.8722252126116949,1
8,CALU3_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,0.9102592347668803,1
9,CALU3_LUNG,IGFBP5,IGFALS,IGFBP5;IGFALS,0.0,1
10,CALU3_LUNG,IGFBP5,PAPPA,IGFBP5;PAPPA,0.0,1
11,CALU3_LUNG,IGFBP3,IGFALS,IGFBP3;IGFALS,0.8403175896633084,1
12,CALU6_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.7556774450608376,1
13,CALU6_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.6824065297570681,1
14,CALU6_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,2.8743607034975582e-05,1
15,CALU6_LUNG,IGFBP5,IGFALS,IGFBP5;IGFALS,-2.976555548583068,1
16,CALU6_LUNG,IGFBP5,PAPPA,IGFBP5;PAPPA,-0.5639860540498267,1
17,CALU6_LUNG,IGFBP3,IGFALS,IGFBP3;IGFALS,0.0,1
18,CORL105_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
19,CORL105_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.8300150815665244,0
20,CORL105_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,0.6469750790559703,0
21,CORL105_LUNG,IGFBP5,IGFALS,IGFBP5;IGFALS,0.0,0
22,CORL105_LUNG,IGFBP5,PAPPA,IGFBP5;PAPPA,0.31524007709763835,0
23,CORL105_LUNG,IGFBP3,IGFALS,IGFBP3;IGFALS,0.8269127092426987,0
24,DV90_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,1
25,DV90_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.8793980248080668,1
26,DV90_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,0.8582263629636041,1
27,DV90_LUNG,IGFBP5,IGFALS,IGFBP5;IGFALS,0.0,1
28,DV90_LUNG,IGFBP5,PAPPA,IGFBP5;PAPPA,0.0,1
29,DV90_LUNG,IGFBP3,IGFALS,IGFBP3;IGFALS,0.847424623558669,1
30,EKVX_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.4733531923564753,1
31,EKVX_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.6527281908072731,1
32,EKVX_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-2.334979843060636,1
33,EKVX_LUNG,IGFBP5,IGFALS,IGFBP5;IGFALS,0.0,1
34,EKVX_LUNG,IGFBP5,PAPPA,IGFBP5;PAPPA,0.5113028143319804,1
35,EKVX_LUNG,IGFBP3,IGFALS,IGFBP3;IGFALS,0.0,1
36,HCC1195_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.6064267867821791,0
37,HCC1195_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,0.8748445262446668,0
38,HCC1195_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,0.0,0
39,HCC1195_LUNG,IGFBP5,IGFALS,IGFBP5;IGFALS,0.0,0
40,HCC1195_LUNG,IGFBP5,PAPPA,IGFBP5;PAPPA,0.0,0
41,HCC1195_LUNG,IGFBP3,IGFALS,IGFBP3;IGFALS,0.0,0
