,patient,Gene,Raw,Normalized,Response
0,A101D_SKIN,GRB2,3.9801322345637935,0.29056753131336527,0
1,A101D_SKIN,SRC,2.5310391111686097,0.2621640123089881,0
2,A101D_SKIN,ERBB2,2.2081425979254803,0.2830731233931126,0
3,A101D_SKIN,EGFR,2.390864536483548,0.25043134331373795,0
4,A101D_SKIN,NTRK2,0.6056409442542618,0.2943842410852044,0
5,A101D_SKIN,SOS1,0.9682692993054519,0.17563670040819954,0
6,A101D_SKIN,ERBB3,2.835530123395648,0.29927666482684107,0
7,A101D_SKIN,SHC3,0.990949576268331,0.1122909275167207,0
8,A2058_SKIN,GRB2,0.6445654725980039,0.11710623053332259,1
9,A2058_SKIN,SRC,0.0,0.0,1
10,A2058_SKIN,ERBB2,0.6636767713573568,0.13533170595283428,1
11,A2058_SKIN,EGFR,0.0,0.0,1
12,A2058_SKIN,NTRK2,0.0,0.0,1
13,A2058_SKIN,SOS1,0.0,0.0,1
14,A2058_SKIN,ERBB3,1.3082422439553607,0.22864872125622504,1
15,A2058_SKIN,SHC3,0.0,0.0,1
16,A375_SKIN,GRB2,0.6240323093305455,0.10633079113483095,0
17,A375_SKIN,SRC,0.6067702803076962,0.10107487062824104,0
18,A375_SKIN,ERBB2,0.6482188808264711,0.12361909431356412,0
19,A375_SKIN,EGFR,0.0,0.0,0
20,A375_SKIN,NTRK2,0.0,0.0,0
21,A375_SKIN,SOS1,0.0,0.0,0
22,A375_SKIN,ERBB3,1.8790214704647128,0.2824512676096733,0
23,A375_SKIN,SHC3,0.0,0.0,0
24,C32_SKIN,GRB2,3.888669179863685,0.288866865628296,0
25,C32_SKIN,SRC,3.205656569808138,0.28396689729322927,0
26,C32_SKIN,ERBB2,2.431474479561883,0.28814707646944127,0
27,C32_SKIN,EGFR,1.8674398134683245,0.20553473760317717,0
28,C32_SKIN,NTRK2,0.5527598969104612,0.25683533117837454,0
29,C32_SKIN,SOS1,0.5908958728160638,0.18885423841619645,0
30,C32_SKIN,ERBB3,2.8128479978147922,0.30451200376609017,0
31,C32_SKIN,SHC3,1.5371114082609114,0.16803066307062303,0
32,CJM_SKIN,GRB2,3.6577522951523727,0.27785802215832317,0
33,CJM_SKIN,SRC,3.4558080911206517,0.29514299269627753,0
34,CJM_SKIN,ERBB2,2.6808372295911704,0.2846879172881103,0
35,CJM_SKIN,EGFR,3.449402328715051,0.2947324355625696,0
36,CJM_SKIN,NTRK2,-3.2749142236200224,-0.11911373300543013,0
37,CJM_SKIN,SOS1,1.5571103910200264,0.23983072775128694,0
38,CJM_SKIN,ERBB3,2.6641552527409273,0.28397804920854547,0
39,CJM_SKIN,SHC3,-1.2891464988637211,0.1522317150944164,0
40,COLO792_SKIN,GRB2,0.6500093957286572,0.12062978986149749,1
41,COLO792_SKIN,SRC,1.1892924847365345,0.17006304748635936,1
42,COLO792_SKIN,ERBB2,1.2556472970735861,0.1925924309568367,1
43,COLO792_SKIN,EGFR,0.54723496887642,0.07476169711285047,1
44,COLO792_SKIN,NTRK2,0.0,0.0,1
45,COLO792_SKIN,SOS1,0.0,0.0,1
46,COLO792_SKIN,ERBB3,3.0330630625705854,0.3239806223672367,1
47,COLO792_SKIN,SHC3,0.5478130089925988,0.07479717415434443,1
48,COLO800_SKIN,GRB2,2.328756041321842,0.2551820438155014,0
49,COLO800_SKIN,SRC,3.3455005712489863,0.29253195526645087,0
50,COLO800_SKIN,ERBB2,2.7397183668358345,0.29931132000685734,0
51,COLO800_SKIN,EGFR,1.7994830883783177,0.19874901738051712,0
52,COLO800_SKIN,NTRK2,0.0,0.0,0
53,COLO800_SKIN,SOS1,0.3743648626583944,0.12793849886705172,0
54,COLO800_SKIN,ERBB3,2.8710815467386923,0.30609347844231316,0
55,COLO800_SKIN,SHC3,1.3222090320977617,0.14863589128594007,0
56,COLO829_SKIN,GRB2,0.0,0.0,0
57,COLO829_SKIN,SRC,0.0,0.0,0
58,COLO829_SKIN,ERBB2,0.0,0.0,0
59,COLO829_SKIN,EGFR,0.0,0.0,0
60,COLO829_SKIN,NTRK2,0.0,0.0,0
61,COLO829_SKIN,SOS1,0.0,0.0,0
62,COLO829_SKIN,ERBB3,0.0,0.0,0
63,COLO829_SKIN,SHC3,0.0,0.0,0
