,Gene,U,pval,adj_pvals
0,SKP1,1906.0,0.5128386505320024,0.7352848823707168
1,TP53,1740.0,0.148600534153464,0.49144899733018454
2,CDC20,1777.0,0.20409611139261374,0.49144899733018454
3,CDC6,1847.0,0.34954063428982285,0.6730685798296138
4,CDK1,1748.5,0.16019643701014696,0.49144899733018454
5,CDK2,1984.0,0.7770333934825754,0.9324400721790904
6,CCNA1,2179.0,0.5208267916792577,0.7352848823707168
7,CCNA2,1980.5,0.7642342849615438,0.9324400721790904
8,E2F1,2024.0,0.9259635649011039,0.9904779416985188
9,CDT1,2032.0,0.9562611275140038,0.9904779416985188
10,SKP2,1673.0,0.07783720909353943,0.49144899733018454
11,CDKN1B,1853.0,0.3645788140743741,0.6730685798296138
12,ELAVL1,2047.0,0.9904779416985188,0.9904779416985188
13,MYBL2,1947.0,0.6456188686886568,0.8608251582515424
14,CDK4,1826.0,0.3005849295098858,0.6558216643852054
15,CDK6,1717.0,0.11986601131518008,0.49144899733018454
16,RB1,2003.0,0.8471487903544125,0.9681700461193286
17,CDKN1C,2310.5,0.20477041555424358,0.49144899733018454
18,CDKN1A,1689.0,0.09156025722624608,0.49144899733018454
19,CCNL2,1705.0,0.10716381237832791,0.49144899733018454
20,FZR1,1752.0,0.165213582007956,0.49144899733018454
21,CDC25B,1893.0,0.4736902295556027,0.7352848823707168
22,E2F3,2196.5,0.4682966054427109,0.7352848823707168
23,E2F2,2315.0,0.19582796701188032,0.49144899733018454
