,patient,Gene,Raw,Normalized,Response
0,AU565_BREAST,DCN,0.0,0.0,0
1,AU565_BREAST,TGFB1,0.8837229678868236,0.07486576755665694,0
2,AU565_BREAST,TGFB3,1.1883434322053148,0.12687715171233896,0
3,AU565_BREAST,TGFBR3,0.886692455224124,0.10465986793964535,0
4,AU565_BREAST,TGFBR2,1.5801852046589369,0.1678448866254712,0
5,AU565_BREAST,TGFBR1,2.1706785068311567,0.22806223836492975,0
6,AU565_BREAST,FMOD,0.0,0.0,0
7,AU565_BREAST,ACVRL1,0.0,0.0,0
8,AU565_BREAST,LTBP3,0.7900022903439771,0.22034487358309995,0
9,AU565_BREAST,LTBP1,0.8319248883245455,0.23006600873547794,0
10,AU565_BREAST,ENG,1.2726726249845495,0.17056684552849088,0
11,AU565_BREAST,IYD,0.0,0.0,0
12,AU565_BREAST,DUOXA2,0.0,0.0,0
13,AU565_BREAST,GNAI2,0.0,0.0,0
14,AU565_BREAST,GNAI1,0.0,0.0,0
15,AU565_BREAST,FAAH,0.6313942212259255,0.31569711061296274,0
16,AU565_BREAST,CNR1,0.6313942212259255,0.08296155198453016,0
17,AU565_BREAST,TPH1,0.0,0.0,0
18,AU565_BREAST,TDO2,0.0,0.0,0
19,AU565_BREAST,IDO1,0.0,0.0,0
20,AU565_BREAST,IDO2,0.0,0.0,0
21,AU565_BREAST,DRD2,0.0,0.0,0
22,AU565_BREAST,KYNU,0.0,0.0,0
23,AU565_BREAST,AFMID,0.0,0.0,0
24,AU565_BREAST,SLC35A2,1.0,0.5,0
25,AU565_BREAST,GPR55,0.0,0.0,0
26,AU565_BREAST,UGT3A2,1.0,0.5,0
27,AU565_BREAST,ADORA2A,0.0,0.0,0
28,AU565_BREAST,AMBN,0.0,0.0,0
29,AU565_BREAST,ENAM,0.0,0.0,0
30,AU565_BREAST,AMTN,0.0,0.0,0
31,AU565_BREAST,MAPK15,1.0,0.5,0
32,AU565_BREAST,CLIC3,1.0,0.5,0
33,AU565_BREAST,ODAM,0.0,0.0,0
34,AU565_BREAST,CNR2,0.0,0.0,0
35,BT20_BREAST,DCN,0.0,0.0,0
36,BT20_BREAST,TGFB1,0.7935902136642897,0.09279827185991554,0
37,BT20_BREAST,TGFB3,0.8060152552962645,0.08065727168589862,0
38,BT20_BREAST,TGFBR3,0.5611603181549696,0.07670546958900977,0
39,BT20_BREAST,TGFBR2,0.6399187623609088,0.08774392510655284,0
40,BT20_BREAST,TGFBR1,1.6225454278694784,0.1787196834431288,0
41,BT20_BREAST,FMOD,0.0,0.0,0
42,BT20_BREAST,ACVRL1,0.0,0.0,0
43,BT20_BREAST,LTBP3,1.0447416943517127,0.2637368389896888,0
44,BT20_BREAST,LTBP1,0.7677292993402651,0.19225391566595457,0
45,BT20_BREAST,ENG,0.6343318720850235,0.08626919186126192,0
46,BT20_BREAST,IYD,0.0,0.0,0
47,BT20_BREAST,DUOXA2,0.0,0.0,0
48,BT20_BREAST,GNAI2,0.0,0.0,0
49,BT20_BREAST,GNAI1,0.0,0.0,0
50,BT20_BREAST,FAAH,0.6306123402014332,0.3153061701007166,0
51,BT20_BREAST,CNR1,0.6306123402014332,0.08236575351361154,0
52,BT20_BREAST,TPH1,0.0,0.0,0
53,BT20_BREAST,TDO2,0.0,0.0,0
54,BT20_BREAST,IDO1,0.0,0.0,0
55,BT20_BREAST,IDO2,0.0,0.0,0
56,BT20_BREAST,DRD2,0.0,0.0,0
57,BT20_BREAST,KYNU,0.0,0.0,0
58,BT20_BREAST,AFMID,0.0,0.0,0
59,BT20_BREAST,SLC35A2,0.0,0.0,0
60,BT20_BREAST,GPR55,0.0,0.0,0
61,BT20_BREAST,UGT3A2,0.0,0.0,0
62,BT20_BREAST,ADORA2A,0.0,0.0,0
63,BT20_BREAST,AMBN,0.0,0.0,0
64,BT20_BREAST,ENAM,0.0,0.0,0
65,BT20_BREAST,AMTN,0.0,0.0,0
66,BT20_BREAST,MAPK15,1.0,0.5,0
67,BT20_BREAST,CLIC3,1.0,0.5,0
68,BT20_BREAST,ODAM,0.0,0.0,0
69,BT20_BREAST,CNR2,0.0,0.0,0
70,BT474_BREAST,DCN,0.0,0.0,0
71,BT474_BREAST,TGFB1,1.0636623644564551,0.09500413209232172,0
72,BT474_BREAST,TGFB3,0.8367928273999076,0.09924508804463278,0
73,BT474_BREAST,TGFBR3,0.0,0.0,0
74,BT474_BREAST,TGFBR2,0.6602549873355297,0.1103549808614961,0
75,BT474_BREAST,TGFBR1,1.0839574000611096,0.018537274891934345,0
76,BT474_BREAST,FMOD,0.6560655073874411,0.1628647031621663,0
77,BT474_BREAST,ACVRL1,0.0,0.0,0
78,BT474_BREAST,LTBP3,0.9698832569125446,0.24593620988327353,0
79,BT474_BREAST,LTBP1,0.49756371615254447,0.1213109287486058,0
80,BT474_BREAST,ENG,0.6467597013217474,0.10125613894948089,0
81,BT474_BREAST,IYD,0.0,0.0,0
82,BT474_BREAST,DUOXA2,0.0,0.0,0
83,BT474_BREAST,GNAI2,0.0,0.0,0
84,BT474_BREAST,GNAI1,0.0,0.0,0
85,BT474_BREAST,FAAH,0.0,0.0,0
86,BT474_BREAST,CNR1,0.0,0.0,0
87,BT474_BREAST,TPH1,0.0,0.0,0
88,BT474_BREAST,TDO2,0.0,0.0,0
89,BT474_BREAST,IDO1,0.0,0.0,0
90,BT474_BREAST,IDO2,0.0,0.0,0
91,BT474_BREAST,DRD2,0.0,0.0,0
92,BT474_BREAST,KYNU,0.0,0.0,0
93,BT474_BREAST,AFMID,0.0,0.0,0
94,BT474_BREAST,SLC35A2,1.0,0.5,0
95,BT474_BREAST,GPR55,0.0,0.0,0
96,BT474_BREAST,UGT3A2,1.0,0.5,0
97,BT474_BREAST,ADORA2A,0.0,0.0,0
98,BT474_BREAST,AMBN,0.0,0.0,0
99,BT474_BREAST,ENAM,0.0,0.0,0
100,BT474_BREAST,AMTN,1.0,0.5,0
101,BT474_BREAST,MAPK15,0.0,0.0,0
102,BT474_BREAST,CLIC3,0.0,0.0,0
103,BT474_BREAST,ODAM,1.0,0.5,0
104,BT474_BREAST,CNR2,0.0,0.0,0
105,BT549_BREAST,DCN,-2.38527216387513,-0.6047152390988366,0
106,BT549_BREAST,TGFB1,-0.175728172854815,0.08205937460338861,0
107,BT549_BREAST,TGFB3,-0.02245440868736459,0.08026830243115557,0
108,BT549_BREAST,TGFBR3,1.029787983703832,0.14907025389884773,0
109,BT549_BREAST,TGFBR2,1.1602801382241699,0.11275979822371471,0
110,BT549_BREAST,TGFBR1,2.543253965477591,0.25638765255614804,0
111,BT549_BREAST,FMOD,0.0,0.0,0
112,BT549_BREAST,ACVRL1,0.0,0.0,0
113,BT549_BREAST,LTBP3,0.9905547310960037,0.24761525700610104,0
114,BT549_BREAST,LTBP1,0.5926638634568621,0.1471555611893692,0
115,BT549_BREAST,ENG,0.612880886528685,0.08678996583008138,0
116,BT549_BREAST,IYD,0.0,0.0,0
117,BT549_BREAST,DUOXA2,0.0,0.0,0
118,BT549_BREAST,GNAI2,0.0,0.0,0
119,BT549_BREAST,GNAI1,0.0,0.0,0
120,BT549_BREAST,FAAH,0.0,0.0,0
121,BT549_BREAST,CNR1,0.0,0.0,0
122,BT549_BREAST,TPH1,0.0,0.0,0
123,BT549_BREAST,TDO2,0.0,0.0,0
124,BT549_BREAST,IDO1,0.0,0.0,0
125,BT549_BREAST,IDO2,0.0,0.0,0
126,BT549_BREAST,DRD2,0.0,0.0,0
127,BT549_BREAST,KYNU,0.0,0.0,0
128,BT549_BREAST,AFMID,0.0,0.0,0
129,BT549_BREAST,SLC35A2,1.0,0.5,0
130,BT549_BREAST,GPR55,0.0,0.0,0
131,BT549_BREAST,UGT3A2,1.0,0.5,0
132,BT549_BREAST,ADORA2A,0.0,0.0,0
133,BT549_BREAST,AMBN,0.0,0.0,0
134,BT549_BREAST,ENAM,0.0,0.0,0
135,BT549_BREAST,AMTN,0.0,0.0,0
136,BT549_BREAST,MAPK15,1.0,0.5,0
137,BT549_BREAST,CLIC3,1.0,0.5,0
138,BT549_BREAST,ODAM,0.0,0.0,0
139,BT549_BREAST,CNR2,0.0,0.0,0
140,CAL120_BREAST,DCN,-0.8688973873477142,-0.3531438666737942,0
141,CAL120_BREAST,TGFB1,-0.4376642554115635,0.10974267895295672,0
142,CAL120_BREAST,TGFB3,-0.009870634484385299,0.0883614792884907,0
143,CAL120_BREAST,TGFBR3,2.1434944625930177,0.2557240503007693,0
144,CAL120_BREAST,TGFBR2,1.1882430776760131,0.1460569094264151,0
145,CAL120_BREAST,TGFBR1,1.638500353503363,0.1804025282469133,0
146,CAL120_BREAST,FMOD,0.0,0.0,0
147,CAL120_BREAST,ACVRL1,0.0,0.0,0
148,CAL120_BREAST,LTBP3,1.0190795946755529,0.26056291514617685,0
149,CAL120_BREAST,LTBP1,-1.6458231709566786,-0.3642715289489606,0
150,CAL120_BREAST,ENG,0.24125988959549305,0.027424658700518478,0
151,CAL120_BREAST,IYD,0.0,0.0,0
152,CAL120_BREAST,DUOXA2,0.0,0.0,0
153,CAL120_BREAST,GNAI2,2.035605986998166,0.44288086556459916,0
154,CAL120_BREAST,GNAI1,0.9471492434742865,0.43501252745203733,0
155,CAL120_BREAST,FAAH,0.0,0.0,0
156,CAL120_BREAST,CNR1,0.5115810094347464,0.12205422608644993,0
157,CAL120_BREAST,TPH1,0.0,0.0,0
158,CAL120_BREAST,TDO2,0.0,0.0,0
159,CAL120_BREAST,IDO1,0.0,0.0,0
160,CAL120_BREAST,IDO2,0.0,0.0,0
161,CAL120_BREAST,DRD2,0.5768757340891331,0.1500729857815621,0
162,CAL120_BREAST,KYNU,0.0,0.0,0
163,CAL120_BREAST,AFMID,0.0,0.0,0
164,CAL120_BREAST,SLC35A2,0.0,0.0,0
165,CAL120_BREAST,GPR55,0.0,0.0,0
166,CAL120_BREAST,UGT3A2,0.0,0.0,0
167,CAL120_BREAST,ADORA2A,0.0,0.0,0
168,CAL120_BREAST,AMBN,0.0,0.0,0
169,CAL120_BREAST,ENAM,0.0,0.0,0
170,CAL120_BREAST,AMTN,0.0,0.0,0
171,CAL120_BREAST,MAPK15,1.0,0.5,0
172,CAL120_BREAST,CLIC3,1.0,0.5,0
173,CAL120_BREAST,ODAM,0.0,0.0,0
174,CAL120_BREAST,CNR2,0.0,0.0,0
175,CAL148_BREAST,DCN,0.0,0.0,1
176,CAL148_BREAST,TGFB1,0.9708105413304537,0.14064580289051756,1
177,CAL148_BREAST,TGFB3,0.968217865814571,0.15276736013072476,1
178,CAL148_BREAST,TGFBR3,0.0,0.0,1
179,CAL148_BREAST,TGFBR2,0.0,0.0,1
180,CAL148_BREAST,TGFBR1,0.0,0.0,1
181,CAL148_BREAST,FMOD,0.0,0.0,1
182,CAL148_BREAST,ACVRL1,0.0,0.0,1
183,CAL148_BREAST,LTBP3,0.911130371460475,0.22736811342097207,1
184,CAL148_BREAST,LTBP1,1.0278980356845497,0.25710462883777346,1
185,CAL148_BREAST,ENG,0.0,0.0,1
186,CAL148_BREAST,IYD,0.0,0.0,1
187,CAL148_BREAST,DUOXA2,0.0,0.0,1
188,CAL148_BREAST,GNAI2,0.0,0.0,1
189,CAL148_BREAST,GNAI1,0.0,0.0,1
190,CAL148_BREAST,FAAH,0.0,0.0,1
191,CAL148_BREAST,CNR1,0.0,0.0,1
192,CAL148_BREAST,TPH1,0.0,0.0,1
193,CAL148_BREAST,TDO2,0.0,0.0,1
194,CAL148_BREAST,IDO1,0.0,0.0,1
195,CAL148_BREAST,IDO2,0.0,0.0,1
196,CAL148_BREAST,DRD2,0.0,0.0,1
197,CAL148_BREAST,KYNU,0.0,0.0,1
198,CAL148_BREAST,AFMID,0.0,0.0,1
199,CAL148_BREAST,SLC35A2,0.0,0.0,1
200,CAL148_BREAST,GPR55,0.0,0.0,1
201,CAL148_BREAST,UGT3A2,0.0,0.0,1
202,CAL148_BREAST,ADORA2A,0.0,0.0,1
203,CAL148_BREAST,AMBN,0.0,0.0,1
204,CAL148_BREAST,ENAM,0.0,0.0,1
205,CAL148_BREAST,AMTN,0.0,0.0,1
206,CAL148_BREAST,MAPK15,0.0,0.0,1
207,CAL148_BREAST,CLIC3,0.0,0.0,1
208,CAL148_BREAST,ODAM,0.0,0.0,1
209,CAL148_BREAST,CNR2,0.0,0.0,1
210,CAL51_BREAST,DCN,0.0,0.0,1
211,CAL51_BREAST,TGFB1,-7.945605831531474,-0.09255244696145756,1
212,CAL51_BREAST,TGFB3,-9.223732903139124,-0.11408182817131649,1
213,CAL51_BREAST,TGFBR3,1.831389909488477,0.23081487034644574,1
214,CAL51_BREAST,TGFBR2,-1.507531095377972,-0.08071849786776844,1
215,CAL51_BREAST,TGFBR1,-0.909569846195887,-0.06253429900936792,1
216,CAL51_BREAST,FMOD,-7.689205698733659,-1.9136211393241334,1
217,CAL51_BREAST,ACVRL1,-3.5156274836178083,-0.5771169120852211,1
218,CAL51_BREAST,LTBP3,0.9495133809069235,0.23744740425083832,1
219,CAL51_BREAST,LTBP1,0.7149426714170225,0.17882068443925891,1
220,CAL51_BREAST,ENG,-6.233204094581268,-0.696919100962001,1
221,CAL51_BREAST,IYD,0.0,0.0,1
222,CAL51_BREAST,DUOXA2,0.0,0.0,1
223,CAL51_BREAST,GNAI2,0.0,0.0,1
224,CAL51_BREAST,GNAI1,0.0,0.0,1
225,CAL51_BREAST,FAAH,0.0,0.0,1
226,CAL51_BREAST,CNR1,0.0,0.0,1
227,CAL51_BREAST,TPH1,0.0,0.0,1
228,CAL51_BREAST,TDO2,0.0,0.0,1
229,CAL51_BREAST,IDO1,0.8341932239848188,0.3372310052318288,1
230,CAL51_BREAST,IDO2,0.0,0.0,1
231,CAL51_BREAST,DRD2,0.0,0.0,1
232,CAL51_BREAST,KYNU,0.0,0.0,1
233,CAL51_BREAST,AFMID,0.8341932239848188,0.2695314897208789,1
234,CAL51_BREAST,SLC35A2,0.0,0.0,1
235,CAL51_BREAST,GPR55,0.0,0.0,1
236,CAL51_BREAST,UGT3A2,0.0,0.0,1
237,CAL51_BREAST,ADORA2A,0.0,0.0,1
238,CAL51_BREAST,AMBN,0.0,0.0,1
239,CAL51_BREAST,ENAM,0.0,0.0,1
240,CAL51_BREAST,AMTN,0.0,0.0,1
241,CAL51_BREAST,MAPK15,1.0,0.5,1
242,CAL51_BREAST,CLIC3,1.0,0.5,1
243,CAL51_BREAST,ODAM,0.0,0.0,1
244,CAL51_BREAST,CNR2,0.0,0.0,1
245,CAL851_BREAST,DCN,0.0,0.0,0
246,CAL851_BREAST,TGFB1,0.9106007119676582,0.1048275372510954,0
247,CAL851_BREAST,TGFB3,0.9181235442585871,0.09605574273547723,0
248,CAL851_BREAST,TGFBR3,0.0,0.0,0
249,CAL851_BREAST,TGFBR2,0.0,0.0,0
250,CAL851_BREAST,TGFBR1,0.0,0.0,0
251,CAL851_BREAST,FMOD,0.0,0.0,0
252,CAL851_BREAST,ACVRL1,0.0,0.0,0
253,CAL851_BREAST,LTBP3,1.1814904502592882,0.29609950541561014,0
254,CAL851_BREAST,LTBP1,0.647233805966957,0.16039557804356946,0
255,CAL851_BREAST,ENG,0.0,0.0,0
256,CAL851_BREAST,IYD,0.0,0.0,0
257,CAL851_BREAST,DUOXA2,0.0,0.0,0
258,CAL851_BREAST,GNAI2,0.0,0.0,0
259,CAL851_BREAST,GNAI1,0.0,0.0,0
260,CAL851_BREAST,FAAH,0.0,0.0,0
261,CAL851_BREAST,CNR1,0.0,0.0,0
262,CAL851_BREAST,TPH1,0.0,0.0,0
263,CAL851_BREAST,TDO2,0.0,0.0,0
264,CAL851_BREAST,IDO1,0.0,0.0,0
265,CAL851_BREAST,IDO2,0.0,0.0,0
266,CAL851_BREAST,DRD2,0.0,0.0,0
267,CAL851_BREAST,KYNU,0.0,0.0,0
268,CAL851_BREAST,AFMID,0.0,0.0,0
269,CAL851_BREAST,SLC35A2,0.0,0.0,0
