,Patient,Gene1,Gene2,Edge,Curvature,Response
0,A549_LUNG,FN1,ALB,FN1;ALB,0.0,0
1,A549_LUNG,FN1,PLG,FN1;PLG,0.0,0
2,A549_LUNG,FN1,SERPINF2,FN1;SERPINF2,0.0,0
3,A549_LUNG,FN1,FGG,FN1;FGG,0.0,0
4,A549_LUNG,FN1,ITGB3,FN1;ITGB3,0.5415237793778971,0
5,A549_LUNG,FN1,ERVFRD-1,FN1;ERVFRD-1,0.0,0
6,A549_LUNG,PLG,SERPIND1,PLG;SERPIND1,0.0,0
7,A549_LUNG,PLG,ALB,PLG;ALB,0.0,0
8,A549_LUNG,PLG,SERPINF2,PLG;SERPINF2,0.0,0
9,A549_LUNG,PLG,FGA,PLG;FGA,0.0,0
10,A549_LUNG,PLG,SERPINC1,PLG;SERPINC1,0.0,0
11,A549_LUNG,PLG,ERVFRD-1,PLG;ERVFRD-1,0.0,0
12,A549_LUNG,F2,SERPIND1,F2;SERPIND1,0.0,0
13,A549_LUNG,F2,AHSG,F2;AHSG,0.0,0
14,A549_LUNG,F2,ALB,F2;ALB,0.0,0
15,A549_LUNG,F2,FGB,F2;FGB,0.0,0
16,A549_LUNG,F2,FGA,F2;FGA,0.0,0
17,A549_LUNG,F2,F13B,F2;F13B,0.0,0
18,A549_LUNG,F2,SERPINC1,F2;SERPINC1,0.0,0
19,A549_LUNG,F2,FGG,F2;FGG,0.0,0
20,A549_LUNG,AHSG,FGA,AHSG;FGA,0.0,0
21,A549_LUNG,AHSG,FGG,AHSG;FGG,0.0,0
22,A549_LUNG,AHSG,ALB,AHSG;ALB,0.0,0
23,A549_LUNG,SERPIND1,FGA,SERPIND1;FGA,0.0,0
24,A549_LUNG,SERPIND1,FGB,SERPIND1;FGB,0.0,0
25,A549_LUNG,SERPIND1,FGG,SERPIND1;FGG,0.0,0
26,A549_LUNG,FGA,ALB,FGA;ALB,0.0,0
27,A549_LUNG,FGA,FGB,FGA;FGB,0.0,0
28,A549_LUNG,FGA,SERPINF2,FGA;SERPINF2,0.0,0
29,A549_LUNG,FGA,FGG,FGA;FGG,0.0,0
30,A549_LUNG,FGA,F13B,FGA;F13B,0.0,0
31,A549_LUNG,FGA,SERPINC1,FGA;SERPINC1,0.0,0
32,A549_LUNG,FGA,ITGB3,FGA;ITGB3,0.5049389047373833,0
33,A549_LUNG,FGB,FGG,FGB;FGG,0.0,0
34,A549_LUNG,FGB,SERPINC1,FGB;SERPINC1,0.0,0
35,A549_LUNG,FGB,ITGB3,FGB;ITGB3,0.5079455579376895,0
36,A549_LUNG,FGG,ITGB3,FGG;ITGB3,0.5016486998720697,0
37,A549_LUNG,ERVFRD-1,MFSD2A,ERVFRD-1;MFSD2A,0.0,0
38,CALU3_LUNG,FN1,ALB,FN1;ALB,0.0,0
39,CALU3_LUNG,FN1,PLG,FN1;PLG,0.0,0
40,CALU3_LUNG,FN1,SERPINF2,FN1;SERPINF2,0.0,0
41,CALU3_LUNG,FN1,FGG,FN1;FGG,0.0,0
42,CALU3_LUNG,FN1,ITGB3,FN1;ITGB3,0.0,0
43,CALU3_LUNG,FN1,ERVFRD-1,FN1;ERVFRD-1,0.0,0
44,CALU3_LUNG,PLG,SERPIND1,PLG;SERPIND1,0.0,0
45,CALU3_LUNG,PLG,ALB,PLG;ALB,0.0,0
46,CALU3_LUNG,PLG,SERPINF2,PLG;SERPINF2,0.0,0
47,CALU3_LUNG,PLG,FGA,PLG;FGA,0.0,0
48,CALU3_LUNG,PLG,SERPINC1,PLG;SERPINC1,0.0,0
49,CALU3_LUNG,PLG,ERVFRD-1,PLG;ERVFRD-1,0.0,0
50,CALU3_LUNG,F2,SERPIND1,F2;SERPIND1,0.0,0
51,CALU3_LUNG,F2,AHSG,F2;AHSG,0.0,0
52,CALU3_LUNG,F2,ALB,F2;ALB,0.0,0
53,CALU3_LUNG,F2,FGB,F2;FGB,0.0,0
54,CALU3_LUNG,F2,FGA,F2;FGA,0.0,0
55,CALU3_LUNG,F2,F13B,F2;F13B,0.0,0
56,CALU3_LUNG,F2,SERPINC1,F2;SERPINC1,0.0,0
57,CALU3_LUNG,F2,FGG,F2;FGG,0.0,0
58,CALU3_LUNG,AHSG,FGA,AHSG;FGA,0.0,0
59,CALU3_LUNG,AHSG,FGG,AHSG;FGG,0.0,0
60,CALU3_LUNG,AHSG,ALB,AHSG;ALB,0.0,0
61,CALU3_LUNG,SERPIND1,FGA,SERPIND1;FGA,0.0,0
62,CALU3_LUNG,SERPIND1,FGB,SERPIND1;FGB,0.0,0
63,CALU3_LUNG,SERPIND1,FGG,SERPIND1;FGG,0.0,0
64,CALU3_LUNG,FGA,ALB,FGA;ALB,0.0,0
65,CALU3_LUNG,FGA,FGB,FGA;FGB,0.0,0
66,CALU3_LUNG,FGA,SERPINF2,FGA;SERPINF2,0.0,0
67,CALU3_LUNG,FGA,FGG,FGA;FGG,0.0,0
68,CALU3_LUNG,FGA,F13B,FGA;F13B,0.0,0
69,CALU3_LUNG,FGA,SERPINC1,FGA;SERPINC1,0.0,0
