,Patient,Gene1,Gene2,Edge,Curvature,Response
0,AU565_BREAST,CCL5,CCL2,CCL5;CCL2,0.0,1
1,AU565_BREAST,CCL5,CXCL6,CCL5;CXCL6,0.0,1
2,AU565_BREAST,CCL5,CXCL13,CCL5;CXCL13,0.0,1
3,AU565_BREAST,CCL5,CXCR1,CCL5;CXCR1,0.0,1
4,AU565_BREAST,CCL5,PPBP,CCL5;PPBP,0.0,1
5,AU565_BREAST,CCL5,CXCL10,CCL5;CXCL10,0.0,1
6,AU565_BREAST,CCL5,CXCR2,CCL5;CXCR2,0.0,1
7,AU565_BREAST,CCL5,CXCL9,CCL5;CXCL9,0.0,1
8,AU565_BREAST,CCL5,CXCL1,CCL5;CXCL1,0.0,1
9,AU565_BREAST,CCL5,CXCL12,CCL5;CXCL12,0.0,1
10,AU565_BREAST,CCL5,CXCR4,CCL5;CXCR4,0.0,1
11,AU565_BREAST,CCL5,CXCL2,CCL5;CXCL2,0.0,1
12,AU565_BREAST,CCL5,CCL4,CCL5;CCL4,0.0,1
13,AU565_BREAST,CXCR4,CD74,CXCR4;CD74,0.0,1
14,AU565_BREAST,CXCR4,MIF,CXCR4;MIF,0.5512260025971206,1
15,AU565_BREAST,CXCR4,CCL2,CXCR4;CCL2,0.0,1
16,AU565_BREAST,CXCR4,GNAQ,CXCR4;GNAQ,-0.010067410011612488,1
17,AU565_BREAST,CXCR4,CXCL13,CXCR4;CXCL13,0.0,1
18,AU565_BREAST,CXCR4,CXCL5,CXCR4;CXCL5,0.0,1
19,AU565_BREAST,CXCR4,PPBP,CXCR4;PPBP,0.0,1
20,AU565_BREAST,CXCR4,CXCL10,CXCR4;CXCL10,0.0,1
21,AU565_BREAST,CXCR4,CXCR2,CXCR4;CXCR2,0.0,1
22,AU565_BREAST,CXCR4,CXCL9,CXCR4;CXCL9,0.0,1
23,AU565_BREAST,CXCR4,CXCL1,CXCR4;CXCL1,0.0,1
24,AU565_BREAST,CXCR4,CXCL12,CXCR4;CXCL12,0.0,1
25,AU565_BREAST,CXCR4,CCL3,CXCR4;CCL3,0.0,1
26,AU565_BREAST,CXCR4,CCL4,CXCR4;CCL4,0.0,1
27,AU565_BREAST,CXCR4,ARRB1,CXCR4;ARRB1,0.24789152612439547,1
28,AU565_BREAST,CXCR4,CXCL2,CXCR4;CXCL2,0.0,1
29,AU565_BREAST,CXCR4,CD44,CXCR4;CD44,0.0,1
30,AU565_BREAST,CXCR1,CCL2,CXCR1;CCL2,0.0,1
31,AU565_BREAST,CXCR1,CXCL6,CXCR1;CXCL6,0.0,1
32,AU565_BREAST,CXCR1,CXCL13,CXCR1;CXCL13,0.0,1
33,AU565_BREAST,CXCR1,CXCL12,CXCR1;CXCL12,0.0,1
34,AU565_BREAST,CXCR1,CXCL1,CXCR1;CXCL1,0.0,1
35,AU565_BREAST,CXCR1,CXCL3,CXCR1;CXCL3,0.0,1
36,AU565_BREAST,CXCR1,PPBP,CXCR1;PPBP,0.0,1
37,AU565_BREAST,CXCR1,CXCL5,CXCR1;CXCL5,0.0,1
38,AU565_BREAST,CXCR1,CXCR2,CXCR1;CXCR2,0.0,1
39,AU565_BREAST,CXCR1,CCL3,CXCR1;CCL3,0.0,1
40,AU565_BREAST,CXCR1,CXCL10,CXCR1;CXCL10,0.0,1
41,AU565_BREAST,CXCR1,CXCL2,CXCR1;CXCL2,0.0,1
42,AU565_BREAST,CD74,CD44,CD74;CD44,0.0,1
43,AU565_BREAST,CD74,MIF,CD74;MIF,0.7934377620662715,1
44,AU565_BREAST,CD74,CXCR2,CD74;CXCR2,0.0,1
45,AU565_BREAST,CD44,CXCR2,CD44;CXCR2,0.0,1
46,AU565_BREAST,CD44,CXCL12,CD44;CXCL12,0.0,1
47,AU565_BREAST,MIF,CXCR2,MIF;CXCR2,0.5355084801485366,1
48,AU565_BREAST,CXCR2,CCL2,CXCR2;CCL2,0.0,1
49,AU565_BREAST,CXCR2,CXCL6,CXCR2;CXCL6,0.0,1
50,AU565_BREAST,CXCR2,GNAQ,CXCR2;GNAQ,-0.006629012420606539,1
51,AU565_BREAST,CXCR2,CXCL13,CXCR2;CXCL13,0.0,1
52,AU565_BREAST,CXCR2,CXCL3,CXCR2;CXCL3,0.0,1
53,AU565_BREAST,CXCR2,CXCL5,CXCR2;CXCL5,0.0,1
54,AU565_BREAST,CXCR2,PPBP,CXCR2;PPBP,0.0,1
55,AU565_BREAST,CXCR2,CXCL10,CXCR2;CXCL10,0.0,1
56,AU565_BREAST,CXCR2,CXCL12,CXCR2;CXCL12,0.0,1
57,AU565_BREAST,CXCR2,GNAI1,CXCR2;GNAI1,-0.19316622593864752,1
58,AU565_BREAST,CXCR2,CXCL1,CXCR2;CXCL1,0.0,1
59,AU565_BREAST,CXCR2,ARRB1,CXCR2;ARRB1,0.24423780427751163,1
60,AU565_BREAST,CXCR2,CCL4,CXCR2;CCL4,0.0,1
61,AU565_BREAST,CXCR2,CCL3,CXCR2;CCL3,0.0,1
62,AU565_BREAST,CXCR2,CXCL2,CXCR2;CXCL2,0.0,1
63,AU565_BREAST,CXCR2,CXCL9,CXCR2;CXCL9,0.0,1
64,AU565_BREAST,CXCL10,CCL2,CXCL10;CCL2,0.0,1
65,AU565_BREAST,CXCL10,CXCL6,CXCL10;CXCL6,0.0,1
66,AU565_BREAST,CXCL10,CXCL13,CXCL10;CXCL13,0.0,1
67,AU565_BREAST,CXCL10,CXCL3,CXCL10;CXCL3,0.0,1
68,AU565_BREAST,CXCL10,CXCL5,CXCL10;CXCL5,0.0,1
69,AU565_BREAST,CXCL10,PPBP,CXCL10;PPBP,0.0,1
70,AU565_BREAST,CXCL10,CXCL1,CXCL10;CXCL1,0.0,1
71,AU565_BREAST,CXCL10,CXCL12,CXCL10;CXCL12,0.0,1
72,AU565_BREAST,CXCL10,CXCL2,CXCL10;CXCL2,0.0,1
73,AU565_BREAST,CXCL10,CXCL9,CXCL10;CXCL9,0.0,1
74,AU565_BREAST,CXCL10,CCL4,CXCL10;CCL4,0.0,1
75,AU565_BREAST,CXCL10,CCL3,CXCL10;CCL3,0.0,1
76,AU565_BREAST,CXCL9,CCL2,CXCL9;CCL2,0.0,1
77,AU565_BREAST,CXCL9,CXCL13,CXCL9;CXCL13,0.0,1
78,AU565_BREAST,CXCL9,PPBP,CXCL9;PPBP,0.0,1
79,AU565_BREAST,CXCL9,CCL4,CXCL9;CCL4,0.0,1
